Data file,,DELRINNC010_PDMS_12DEG_001.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,01/12/2016,,,,,,,,,,
Lubricant,,PDMS,,,,,,,,,,
Specimens,,POM NC010 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 14:19:44 on 01/12/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,14:23:27,6,1795,223.5,0.26,13.3,7,14.8,0.037,10,0.6,0.25
,14:23:28,6,1795,224.5,0.26,13.3,7,14.8,0.037,10,0.6,0.25
,14:23:29,6,1795,225.5,0.25,13.3,7,14.8,0.037,10,0.6,0.24
,14:23:30,6,1795,226.5,0.25,13.3,7,14.8,0.037,10,0.5,0.24
,14:23:31,6,1795,227.5,0.25,13.3,7,14.8,0.036,10,0.6,0.24
,14:23:32,6,1795,228.5,0.25,13.3,7,14.8,0.038,10,0.6,0.24
,14:23:33,6,1795,229.5,0.25,13.3,7,14.8,0.037,10,0.6,0.24
,14:23:34,6,1795,230.5,0.25,13.3,7,14.8,0.037,10,0.6,0.24
,14:23:35,6,1795,231.5,0.25,13.3,7,14.8,0.035,10,0.6,0.24
,14:23:36,6,1795,232.5,0.25,13.3,7,14.8,0.035,10,0.6,0.24
,14:23:37,6,1795,233.5,0.25,13.3,7,14.8,0.035,10,0.5,0.24
,14:23:38,6,1795,234.5,0.25,13.3,7,14.8,0.037,10,0.6,0.24
,14:23:39,6,1795,235.5,0.26,13.3,7,14.8,0.037,10,0.6,0.25
,14:23:40,6,1795,236.5,0.25,13.3,6,14.8,0.04,10,0.6,0.24
