Data file,,DELRINNC010_ISO10_-8C_003.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_-8DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,31/03/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Delrin NC010 on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 14:45:01 on 31/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,15:16:24,4,3600,1882.5,0.95,13.3,7,-7.1,0.143,10,0.5,0.89
,15:16:25,4,3600,1883.5,0.95,13.3,7,-7.1,0.143,10,0.5,0.89
,15:16:26,4,3600,1884.5,0.95,13.3,7,-7.1,0.143,10,0.5,0.89
,15:16:27,4,3600,1885.5,0.96,13.3,7,-7.1,0.138,10,0.5,0.9
,15:16:28,4,3600,1886.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:16:29,4,3600,1887.5,0.96,13.3,7,-7.1,0.138,10,0.5,0.9
,15:16:30,4,3600,1888.5,0.95,13.3,7,-7.1,0.138,10,0.5,0.89
,15:16:31,4,3600,1889.5,0.95,13.3,7,-7.1,0.143,10,0.5,0.89
,15:16:32,4,3600,1890.5,0.95,13.3,7,-7.1,0.143,10,0.5,0.89
,15:16:33,4,3600,1891.5,0.95,13.3,7,-7.1,0.143,10,0.5,0.89
,15:16:34,4,3600,1892.5,0.96,13.3,7,-7.1,0.143,10,0.5,0.9
,15:16:35,4,3600,1893.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:16:36,4,3600,1894.5,0.96,13.3,7,-7.1,0.138,10,0.5,0.9
,15:16:37,4,3600,1895.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:16:38,4,3600,1896.5,0.96,13.3,7,-7.1,0.134,10,0.5,0.9
,15:16:39,4,3600,1897.5,0.96,13.3,7,-7.1,0.134,10,0.5,0.9
,15:16:40,4,3600,1898.5,0.96,13.3,7,-7.1,0.134,10,0.5,0.9
,15:16:41,4,3600,1899.5,0.96,13.3,7,-7.1,0.134,10,0.5,0.9
,15:16:42,4,3600,1900.5,0.96,13.3,7,-7.1,0.133,10,0.5,0.9
,15:16:43,4,3600,1901.5,0.95,13.3,7,-7.1,0.138,10,0.5,0.89
,15:16:44,4,3600,1902.5,0.95,13.3,7,-7.1,0.137,10,0.5,0.89
,15:16:45,4,3600,1903.5,0.95,13.3,7,-7.1,0.143,10,0.5,0.89
,15:16:46,4,3600,1904.5,0.95,13.3,7,-7.1,0.143,10,0.5,0.89
,15:16:47,4,3600,1905.5,0.96,13.3,7,-7.1,0.143,10,0.5,0.9
,15:16:48,4,3600,1906.5,0.95,13.3,6,-7.1,0.149,10,0.5,0.89
,15:16:49,4,3600,1907.5,0.96,13.3,7,-7.1,0.143,10,0.5,0.89
,15:16:50,4,3600,1908.5,0.96,13.3,7,-7.1,0.143,10,0.5,0.9
,15:16:51,4,3600,1909.5,0.96,13.3,7,-7.1,0.144,10,0.5,0.9
,15:16:52,4,3600,1910.5,0.96,13.3,7,-7.1,0.144,10,0.5,0.9
,15:16:53,4,3600,1911.5,0.96,13.3,7,-7.1,0.144,10,0.5,0.9
,15:16:54,4,3600,1912.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:16:55,4,3600,1913.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:16:56,4,3600,1914.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:16:57,4,3600,1915.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:16:58,4,3600,1916.5,0.96,13.3,7,-7.1,0.144,10,0.5,0.9
,15:16:59,4,3600,1917.5,0.96,13.3,7,-7.1,0.145,10,0.5,0.9
,15:17:00,4,3600,1918.5,0.97,13.3,7,-7.1,0.14,10,0.5,0.91
,15:17:01,4,3600,1919.5,0.97,13.3,7,-7.1,0.14,10,0.5,0.91
,15:17:02,4,3600,1920.5,0.97,13.3,7,-7.1,0.14,10,0.5,0.9
,15:17:03,4,3600,1921.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:17:04,4,3600,1922.5,0.96,13.3,7,-7.1,0.134,10,0.5,0.9
,15:17:05,4,3600,1923.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:17:06,4,3600,1924.5,0.96,13.3,7,-7.1,0.134,10,0.5,0.9
,15:17:07,4,3600,1925.5,0.96,13.3,7,-7.1,0.134,10,0.5,0.9
,15:17:08,4,3600,1926.5,0.96,13.3,7,-7.1,0.133,10,0.5,0.9
,15:17:09,4,3600,1927.5,0.96,13.3,7,-7.1,0.138,10,0.5,0.9
,15:17:10,4,3600,1928.5,0.96,13.3,7,-7.1,0.143,10,0.5,0.9
,15:17:11,4,3600,1929.5,0.96,13.3,7,-7.1,0.143,10,0.5,0.9
,15:17:12,4,3600,1930.5,0.96,13.3,7,-7.1,0.143,10,0.5,0.9
,15:17:13,4,3600,1931.5,0.96,13.3,7,-7.1,0.143,10,0.5,0.9
,15:17:14,4,3600,1932.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:17:15,4,3600,1933.5,0.96,13.3,7,-7.1,0.144,10,0.5,0.9
,15:17:16,4,3600,1934.5,0.96,13.3,7,-7.1,0.144,10,0.5,0.9
,15:17:17,4,3600,1935.5,0.96,13.3,7,-7.1,0.144,10,0.5,0.9
,15:17:18,4,3600,1936.5,0.96,13.3,7,-7.1,0.144,10,0.5,0.9
,15:17:19,4,3600,1937.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:17:20,4,3600,1938.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:17:21,4,3600,1939.5,0.96,13.3,7,-7.1,0.134,10,0.5,0.9
,15:17:22,4,3600,1940.5,0.96,13.3,7,-7.1,0.134,10,0.5,0.9
,15:17:23,4,3600,1941.5,0.96,13.3,7,-7.1,0.143,10,0.5,0.9
,15:17:24,4,3600,1942.5,0.96,13.3,6,-7.1,0.149,10,0.5,0.9
,15:17:25,4,3600,1943.5,0.96,13.3,6,-7.1,0.156,10,0.5,0.9
,15:17:26,4,3600,1944.5,0.96,13.3,7,-7.1,0.145,10,0.5,0.9
,15:17:27,4,3600,1945.5,0.97,13.3,7,-7.1,0.14,10,0.5,0.91
,15:17:28,4,3600,1946.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:17:29,4,3600,1947.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:17:30,4,3600,1948.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:17:31,4,3600,1949.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:17:32,4,3600,1950.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:17:33,4,3600,1951.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:17:34,4,3600,1952.5,0.96,13.3,7,-7.1,0.145,10,0.5,0.9
,15:17:35,4,3600,1953.5,0.97,13.3,7,-7.1,0.145,10,0.5,0.91
,15:17:36,4,3600,1954.5,0.97,13.3,7,-7.1,0.14,10,0.5,0.91
,15:17:37,4,3600,1955.5,0.97,13.3,7,-7.1,0.145,10,0.5,0.91
,15:17:38,4,3600,1956.5,0.97,13.3,7,-7.1,0.145,10,0.5,0.91
,15:17:39,4,3600,1957.5,0.97,13.3,7,-7.1,0.14,10,0.5,0.91
,15:17:40,4,3600,1958.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:17:41,4,3600,1959.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:17:42,4,3600,1960.5,0.96,13.3,7,-7.1,0.144,10,0.5,0.9
,15:17:43,4,3600,1961.5,0.96,13.3,7,-7.1,0.144,10,0.5,0.9
,15:17:44,4,3600,1962.5,0.96,13.3,7,-7.1,0.144,10,0.5,0.9
,15:17:45,4,3600,1963.5,0.97,13.3,7,-7.1,0.145,10,0.5,0.91
,15:17:46,4,3600,1964.5,0.97,13.3,7,-7.1,0.14,10,0.5,0.91
,15:17:47,4,3600,1965.5,0.97,13.3,7,-7.1,0.14,10,0.5,0.91
,15:17:48,4,3600,1966.5,0.97,13.3,7,-7.1,0.135,10,0.5,0.91
,15:17:49,4,3600,1967.5,0.96,13.3,7,-7.1,0.134,10,0.5,0.9
,15:17:50,4,3600,1968.5,0.96,13.3,7,-7.1,0.134,10,0.5,0.9
,15:17:51,4,3600,1969.5,0.96,13.3,7,-7.1,0.139,10,0.5,0.9
,15:17:52,4,3600,1970.5,0.96,13.3,7,-7.1,0.144,10,0.5,0.9
,15:17:53,4,3600,1971.5,0.96,13.3,7,-7.1,0.143,10,0.5,0.9
,15:17:54,4,3600,1972.5,0.96,13.3,7,-7.1,0.144,10,0.5,0.9
,15:17:55,4,3600,1973.5,0.96,13.3,7,-7.1,0.144,10,0.5,0.9
,15:17:56,4,3600,1974.5,0.96,13.3,7,-7.1,0.144,10,0.5,0.9
,15:17:57,4,3600,1975.5,0.96,13.3,7,-7.1,0.144,10,0.5,0.9
,15:17:58,4,3600,1976.5,0.96,13.3,7,-7.1,0.145,10,0.5,0.9
,15:17:59,4,3600,1977.5,0.97,13.3,7,-7.1,0.145,10,0.5,0.91
,15:18:00,4,3600,1978.5,0.97,13.3,7,-7.1,0.14,10,0.5,0.91
,15:18:01,4,3600,1979.5,0.97,13.3,7,-7.1,0.14,10,0.5,0.91
