Data file,,DELRIN500AF_ISO10_-8C_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_-8DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,04/04/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Delrin500AF on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 15:44:08 on 04/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,15:47:00,4,3600,171.5,1.16,13.3,7,-7.9,0.174,10,0.1,1.08
,15:47:01,4,3600,172.5,1.16,13.3,6,-7.9,0.18,10,0.1,1.08
,15:47:02,4,3600,173.5,1.16,13.3,7,-7.9,0.174,10,0.1,1.09
,15:47:03,4,3600,174.5,1.17,13.3,7,-7.9,0.175,10,0.1,1.09
,15:47:04,4,3600,175.5,1.17,13.3,7,-7.9,0.169,10,0.1,1.1
,15:47:05,4,3600,176.5,1.17,13.3,7,-7.9,0.169,10,0.1,1.09
,15:47:06,4,3600,177.5,1.17,13.3,7,-7.9,0.168,10,0.1,1.09
,15:47:07,4,3600,178.5,1.16,13.3,7,-7.9,0.174,10,0.1,1.09
,15:47:08,4,3600,179.5,1.16,13.3,7,-7.9,0.174,10,0.1,1.08
,15:47:09,4,3600,180.5,1.16,13.3,7,-7.9,0.168,10,0.1,1.09
,15:47:10,4,3600,181.5,1.17,13.3,7,-7.9,0.163,10,0.1,1.1
,15:47:11,4,3600,182.5,1.18,13.3,7,-7.9,0.164,10,0.1,1.1
,15:47:12,4,3600,183.5,1.17,13.3,7,-7.9,0.169,10,0.1,1.1
,15:47:13,4,3600,184.5,1.16,13.3,7,-7.9,0.168,10,0.1,1.09
,15:47:14,4,3600,185.5,1.16,13.3,7,-7.9,0.173,10,0.1,1.08
,15:47:15,4,3600,186.5,1.16,13.3,7,-7.9,0.173,10,0.1,1.08
,15:47:16,4,3600,187.5,1.16,13.3,7,-7.9,0.174,10,0.1,1.09
,15:47:17,4,3600,188.5,1.17,13.3,7,-7.9,0.175,10,0.1,1.09
,15:47:18,4,3600,189.5,1.17,13.3,7,-7.9,0.169,10,0.1,1.1
,15:47:19,4,3600,190.5,1.17,13.3,7,-7.9,0.169,10,0.1,1.1
,15:47:20,4,3600,191.5,1.17,13.3,7,-7.9,0.169,10,0.1,1.1
,15:47:21,4,3600,192.5,1.17,13.3,7,-7.9,0.176,10,0.1,1.1
,15:47:22,4,3600,193.5,1.17,13.3,7,-7.9,0.175,10,0.1,1.09
,15:47:23,4,3600,194.5,1.16,13.3,7,-7.9,0.174,10,0.1,1.09
,15:47:24,4,3600,195.5,1.16,13.3,7,-7.9,0.174,10,0.1,1.09
,15:47:25,4,3600,196.5,1.17,13.3,7,-7.9,0.175,10,0.1,1.09
,15:47:26,4,3600,197.5,1.17,13.3,7,-7.9,0.175,10,0.1,1.09
,15:47:27,4,3600,198.5,1.17,13.3,7,-7.9,0.168,10,0.1,1.09
,15:47:28,4,3600,199.5,1.17,13.3,7,-7.8,0.168,10,0.1,1.09
,15:47:30,4,3600,200.5,1.17,13.3,7,-7.8,0.168,10,0.1,1.09
,15:47:31,4,3600,201.5,1.17,13.3,7,-7.8,0.157,10,0.1,1.09
,15:47:32,4,3600,202.5,1.17,13.3,7,-7.8,0.162,10,0.1,1.09
,15:47:33,4,3600,203.5,1.16,13.3,7,-7.8,0.167,10,0.1,1.08
,15:47:34,4,3600,204.5,1.15,13.3,7,-7.8,0.172,10,0.1,1.07
,15:47:35,4,3600,205.5,1.15,13.3,7,-7.8,0.172,10,0.1,1.07
,15:47:36,4,3600,206.5,1.16,13.3,7,-7.8,0.173,10,0.1,1.08
,15:47:37,4,3600,207.5,1.16,13.3,7,-7.8,0.168,10,0.1,1.09
,15:47:38,4,3600,208.5,1.16,13.3,7,-7.8,0.174,10,0.1,1.09
,15:47:39,4,3600,209.5,1.16,13.3,7,-7.8,0.168,10,0.1,1.09
,15:47:41,4,3600,210.5,1.16,13.3,7,-7.8,0.168,10,0.1,1.09
,15:47:42,4,3600,211.5,1.16,13.3,7,-7.8,0.174,10,0.1,1.09
,15:47:43,4,3600,212.5,1.16,13.3,7,-7.8,0.174,10,0.1,1.09
,15:47:44,4,3600,213.5,1.16,13.3,7,-7.8,0.174,10,0.1,1.09
,15:47:45,4,3600,214.5,1.16,13.3,7,-7.8,0.167,10,0.1,1.08
,15:47:46,4,3600,215.5,1.16,13.3,7,-7.8,0.173,10,0.1,1.08
,15:47:47,4,3600,216.5,1.16,13.3,7,-7.8,0.167,10,0.1,1.08
,15:47:48,4,3600,217.5,1.16,13.3,7,-7.8,0.168,10,0.1,1.09
,15:47:49,4,3600,218.5,1.16,13.3,7,-7.8,0.168,10,0.1,1.09
,15:47:50,4,3600,219.5,1.16,13.3,7,-7.8,0.168,10,0.1,1.09
,15:47:52,4,3600,220.5,1.16,13.3,7,-7.8,0.167,10,0.1,1.08
,15:47:53,4,3600,221.5,1.16,13.3,7,-7.8,0.167,10,0.1,1.08
,15:47:54,4,3600,222.5,1.16,13.3,7,-7.8,0.161,10,0.1,1.09
,15:47:55,4,3600,223.5,1.16,13.3,7,-7.8,0.156,10,0.1,1.08
,15:47:56,4,3600,224.5,1.15,13.3,7,-7.8,0.161,10,0.1,1.08
,15:47:57,4,3600,225.5,1.14,13.3,7,-7.8,0.159,10,0.1,1.07
,15:47:58,4,3600,226.5,1.14,13.3,7,-7.8,0.165,10,0.1,1.07
,15:47:59,4,3600,227.5,1.14,13.3,7,-7.8,0.171,10,0.1,1.06
,15:48:00,4,3600,228.5,1.14,13.3,7,-7.8,0.171,10,0.1,1.06
,15:48:01,4,3600,229.5,1.13,13.3,6,-7.8,0.177,10,0.1,1.06
,15:48:03,4,3600,230.5,1.13,13.3,7,-7.8,0.17,10,0.1,1.06
,15:48:04,4,3600,231.5,1.14,13.3,7,-7.8,0.171,10,0.1,1.07
,15:48:05,4,3600,232.5,1.15,13.3,7,-7.8,0.172,10,0.1,1.08
,15:48:06,4,3600,233.5,1.16,13.3,7,-7.8,0.167,10,0.1,1.08
,15:48:07,4,3600,234.5,1.16,13.3,7,-7.8,0.174,10,0.1,1.09
,15:48:08,4,3600,235.5,1.16,13.3,7,-7.8,0.174,10,0.1,1.08
,15:48:09,4,3600,236.5,1.16,13.3,7,-7.8,0.173,10,0.1,1.08
,15:48:10,4,3600,237.5,1.16,13.3,7,-7.8,0.174,10,0.1,1.08
,15:48:11,4,3600,238.5,1.16,13.3,7,-7.8,0.167,10,0.1,1.09
,15:48:12,4,3600,239.5,1.16,13.3,7,-7.8,0.168,10,0.1,1.09
,15:48:14,4,3600,240.5,1.16,13.3,7,-7.8,0.161,10,0.1,1.08
,15:48:15,4,3600,241.5,1.16,13.3,7,-7.8,0.155,10,0.1,1.08
,15:48:16,4,3600,242.5,1.15,13.3,7,-7.7,0.166,10,0.1,1.07
