Data file,,RA0.3_HEF_12C_001_45MINS_NOLIDONBOX.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,22/03/2016,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,"Grit 320, No lid on box",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 10:26:05 on 22/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,10:57:02,4,2700,1856.8,1.89,13.3,9,10.6,0.211,10,0.2,1.77
,10:57:03,4,2700,1857.8,1.9,13.3,9,10.6,0.218,10,0.2,1.78
,10:57:04,4,2700,1858.8,1.9,13.3,9,10.6,0.212,10,0.2,1.78
,10:57:05,4,2700,1859.8,1.91,13.3,9,10.7,0.213,10,0.2,1.79
,10:57:06,4,2700,1860.8,1.91,13.3,9,10.7,0.213,10,0.2,1.79
,10:57:07,4,2700,1861.8,1.91,13.3,9,10.7,0.219,10,0.2,1.78
,10:57:08,4,2700,1862.8,1.9,13.3,9,10.7,0.212,10,0.2,1.78
,10:57:09,4,2700,1863.8,1.9,13.3,9,10.7,0.212,10,0.2,1.78
,10:57:10,4,2700,1864.8,1.91,13.3,9,10.7,0.213,10,0.2,1.79
,10:57:11,4,2700,1865.8,1.92,13.3,9,10.7,0.214,10,0.2,1.8
,10:57:12,4,2700,1866.8,1.92,13.3,9,10.7,0.208,10,0.2,1.8
,10:57:13,4,2700,1867.8,1.92,13.3,9,10.7,0.202,10,0.2,1.8
,10:57:14,4,2700,1868.8,1.92,13.3,9,10.7,0.202,10,0.2,1.79
,10:57:15,4,2700,1869.8,1.92,13.3,9,10.7,0.202,10,0.2,1.8
,10:57:16,4,2700,1870.8,1.92,13.3,9,10.7,0.202,10,0.2,1.79
,10:57:17,4,2700,1871.8,1.91,13.3,9,10.7,0.207,10,0.2,1.78
,10:57:18,4,2700,1872.8,1.91,13.3,9,10.7,0.213,10,0.2,1.79
,10:57:19,4,2700,1873.8,1.92,13.3,9,10.8,0.22,10,0.2,1.8
,10:57:20,4,2700,1874.8,1.93,13.3,9,10.8,0.215,10,0.2,1.81
,10:57:21,4,2700,1875.8,1.94,13.3,9,10.8,0.216,10,0.2,1.82
,10:57:22,4,2700,1876.8,1.94,13.3,9,10.8,0.216,10,0.2,1.82
,10:57:23,4,2700,1877.8,1.93,13.3,9,10.8,0.215,10,0.2,1.81
,10:57:24,4,2700,1878.8,1.93,13.3,9,10.8,0.221,10,0.2,1.8
,10:57:25,4,2700,1879.8,1.92,13.3,9,10.8,0.22,10,0.2,1.8
,10:57:26,4,2700,1880.8,1.91,13.3,9,10.8,0.213,10,0.2,1.79
,10:57:27,4,2700,1881.8,1.91,13.3,9,10.8,0.219,10,0.2,1.79
,10:57:28,4,2700,1882.8,1.91,13.3,9,10.9,0.213,10,0.2,1.79
,10:57:29,4,2700,1883.8,1.92,13.3,9,10.9,0.213,10,0.2,1.79
,10:57:30,4,2700,1884.8,1.92,13.3,9,10.9,0.214,10,0.2,1.8
,10:57:31,4,2700,1885.8,1.92,13.3,9,10.9,0.221,10,0.2,1.8
,10:57:32,4,2700,1886.8,1.93,13.3,9,10.9,0.215,10,0.2,1.8
,10:57:33,4,2700,1887.8,1.93,13.3,9,10.9,0.215,10,0.2,1.81
,10:57:34,4,2700,1888.8,1.93,13.3,9,10.9,0.215,10,0.2,1.81
,10:57:35,4,2700,1889.8,1.93,13.3,9,10.9,0.215,10,0.2,1.81
,10:57:36,4,2700,1890.8,1.93,13.3,9,10.9,0.215,10,0.2,1.81
,10:57:37,4,2700,1891.8,1.93,13.3,9,10.9,0.215,10,0.2,1.81
,10:57:38,4,2700,1892.8,1.93,13.3,9,10.9,0.215,10,0.2,1.81
,10:57:39,4,2700,1893.8,1.93,13.3,9,11,0.215,10,0.2,1.81
,10:57:40,4,2700,1894.8,1.94,13.3,9,11,0.216,10,0.2,1.82
,10:57:41,4,2700,1895.8,1.94,13.3,9,11,0.216,10,0.2,1.82
,10:57:42,4,2700,1896.8,1.94,13.3,9,11,0.216,10,0.2,1.81
,10:57:43,4,2700,1897.8,1.94,13.3,9,11,0.216,10,0.2,1.81
,10:57:44,4,2700,1898.8,1.94,13.3,9,11,0.223,10,0.2,1.82
,10:57:45,4,2700,1899.8,1.94,13.3,9,11,0.217,10,0.2,1.82
,10:57:46,4,2700,1900.8,1.95,13.3,9,11,0.211,10,0.2,1.82
,10:57:47,4,2700,1901.8,1.95,13.3,9,11.1,0.211,10,0.2,1.83
,10:57:48,4,2700,1902.8,1.95,13.3,9,11.1,0.211,10,0.2,1.83
,10:57:49,4,2700,1903.8,1.95,13.3,9,11.1,0.212,10,0.2,1.83
,10:57:50,4,2700,1904.8,1.95,13.3,9,11.1,0.211,10,0.2,1.82
,10:57:51,4,2700,1905.8,1.94,13.3,9,11.1,0.205,10,0.2,1.82
,10:57:52,4,2700,1906.8,1.93,13.3,9,11.1,0.209,10,0.2,1.81
,10:57:53,4,2700,1907.8,1.93,13.3,9,11.2,0.209,10,0.2,1.81
,10:57:54,4,2700,1908.8,1.93,13.3,9,11.2,0.203,10,0.2,1.81
,10:57:55,4,2700,1909.8,1.92,13.3,10,11.2,0.197,10,0.2,1.8
,10:57:56,4,2700,1910.8,1.92,13.3,10,11.2,0.197,10,0.2,1.8
,10:57:57,4,2700,1911.8,1.92,13.3,9,11.2,0.202,10,0.2,1.8
,10:57:58,4,2700,1912.8,1.91,13.3,9,11.2,0.207,10,0.2,1.78
,10:57:59,4,2700,1913.8,1.88,13.3,9,11.2,0.204,10,0.2,1.76
,10:58:00,4,2700,1914.8,1.86,13.3,9,11.2,0.202,10,0.2,1.74
,10:58:01,4,2700,1915.8,1.85,13.3,9,11.2,0.201,10,0.2,1.73
,10:58:02,4,2700,1916.8,1.85,13.3,9,11.3,0.201,10,0.2,1.74
,10:58:03,4,2700,1917.8,1.86,13.3,9,11.3,0.201,10,0.2,1.74
,10:58:04,4,2700,1918.8,1.86,13.3,9,11.3,0.201,10,0.2,1.74
,10:58:05,4,2700,1919.8,1.86,13.3,9,11.3,0.207,10,0.2,1.74
,10:58:06,4,2700,1920.8,1.85,13.3,9,11.3,0.207,10,0.2,1.74
,10:58:07,4,2700,1921.8,1.85,13.3,9,11.3,0.206,10,0.2,1.73
,10:58:08,4,2700,1922.8,1.85,13.3,9,11.4,0.206,10,0.2,1.73
,10:58:09,4,2700,1923.8,1.84,13.3,9,11.4,0.205,10,0.2,1.72
,10:58:10,4,2700,1924.8,1.84,13.3,9,11.4,0.205,10,0.2,1.72
,10:58:11,4,2700,1925.8,1.84,13.3,9,11.4,0.211,10,0.2,1.72
,10:58:12,4,2700,1926.8,1.84,13.3,8,11.4,0.218,10,0.2,1.72
,10:58:13,4,2700,1927.8,1.85,13.3,8,11.4,0.218,10,0.2,1.73
,10:58:14,4,2700,1928.8,1.85,13.3,9,11.5,0.213,10,0.2,1.74
,10:58:15,4,2700,1929.8,1.86,13.3,9,11.4,0.207,10,0.2,1.75
,10:58:16,4,2700,1930.8,1.87,13.3,9,11.5,0.208,10,0.2,1.75
,10:58:17,4,2700,1931.8,1.87,13.3,9,11.5,0.214,10,0.2,1.75
,10:58:18,4,2700,1932.8,1.86,13.3,9,11.5,0.207,10,0.2,1.74
,10:58:19,4,2700,1933.8,1.86,13.3,9,11.5,0.207,10,0.2,1.74
,10:58:20,4,2700,1934.8,1.86,13.3,9,11.5,0.213,10,0.2,1.74
,10:58:21,4,2700,1935.8,1.86,13.3,9,11.6,0.214,10,0.2,1.74
,10:58:22,4,2700,1936.8,1.87,13.3,9,11.6,0.214,10,0.2,1.75
,10:58:23,4,2700,1937.8,1.88,13.3,9,11.6,0.215,10,0.2,1.76
,10:58:24,4,2700,1938.8,1.89,13.3,9,11.6,0.216,10,0.2,1.77
,10:58:25,4,2700,1939.8,1.89,13.3,9,11.6,0.211,10,0.2,1.77
,10:58:26,4,2700,1940.8,1.89,13.3,9,11.6,0.211,10,0.2,1.77
,10:58:27,4,2700,1941.8,1.9,13.3,9,11.7,0.211,10,0.2,1.78
,10:58:28,4,2700,1942.8,1.91,13.3,9,11.7,0.213,10,0.2,1.79
,10:58:29,4,2700,1943.8,1.92,13.3,9,11.7,0.214,10,0.2,1.8
,10:58:30,4,2700,1944.8,1.92,13.3,9,11.7,0.214,10,0.2,1.8
,10:58:31,4,2700,1945.8,1.94,13.3,9,11.7,0.216,10,0.2,1.82
,10:58:32,4,2700,1946.8,1.95,13.3,9,11.8,0.211,10,0.2,1.83
,10:58:33,4,2700,1947.8,1.96,13.3,9,11.8,0.219,10,0.2,1.84
,10:58:34,4,2700,1948.8,1.95,13.3,9,11.8,0.218,10,0.2,1.83
,10:58:35,4,2700,1949.8,1.94,13.3,9,11.8,0.217,10,0.2,1.82
,10:58:36,4,2700,1950.8,1.94,13.3,9,11.8,0.216,10,0.2,1.82
,10:58:37,4,2700,1951.8,1.94,13.3,9,11.8,0.21,10,0.2,1.82
,10:58:38,4,2700,1952.8,1.94,13.3,9,11.8,0.205,10,0.2,1.82
,10:58:39,4,2700,1953.8,1.94,13.3,10,11.9,0.199,10,0.2,1.81
,10:58:40,4,2700,1954.8,1.93,13.3,10,11.9,0.198,10,0.2,1.81
,10:58:41,4,2700,1955.8,1.92,13.3,9,11.9,0.203,10,0.2,1.8
,10:58:42,4,2700,1956.8,1.92,13.3,9,11.9,0.202,10,0.2,1.79
,10:58:43,4,2700,1957.8,1.91,13.3,9,11.9,0.207,10,0.2,1.78
,10:58:44,4,2700,1958.8,1.9,13.3,9,12,0.205,10,0.2,1.77
,10:58:45,4,2700,1959.8,1.88,13.3,9,12,0.209,10,0.2,1.76
,10:58:46,4,2700,1960.8,1.87,13.3,9,12,0.214,10,0.2,1.75
,10:58:47,4,2700,1961.8,1.86,13.3,9,12,0.208,10,0.2,1.75
,10:58:48,4,2700,1962.8,1.86,13.3,9,12,0.207,10,0.2,1.75
,10:58:49,4,2700,1963.8,1.87,13.3,9,12.1,0.214,10,0.2,1.75
,10:58:50,4,2700,1964.8,1.87,13.3,9,12.1,0.214,10,0.2,1.75
,10:58:51,4,2700,1965.8,1.88,13.3,9,12.1,0.215,10,0.2,1.76
,10:58:52,4,2700,1966.8,1.88,13.3,9,12.1,0.209,10,0.2,1.76
,10:58:53,4,2700,1967.8,1.88,13.3,9,12.1,0.216,10,0.2,1.76
,10:58:54,4,2700,1968.8,1.88,13.3,9,12.1,0.21,10,0.2,1.76
,10:58:55,4,2700,1969.8,1.89,13.3,9,12.1,0.211,10,0.2,1.77
,10:58:56,4,2700,1970.8,1.9,13.3,9,12.2,0.212,10,0.2,1.78
,10:58:57,4,2700,1971.8,1.9,13.3,9,12.2,0.206,10,0.2,1.78
,10:58:58,4,2700,1972.8,1.9,13.3,9,12.2,0.206,10,0.2,1.78
,10:58:59,4,2700,1973.8,1.9,13.3,9,12.2,0.212,10,0.2,1.78
,10:59:00,4,2700,1974.8,1.9,13.3,9,12.2,0.218,10,0.2,1.78
,10:59:01,4,2700,1975.8,1.91,13.3,9,12.3,0.219,10,0.2,1.79
,10:59:02,4,2700,1976.8,1.91,13.3,9,12.3,0.213,10,0.2,1.79
,10:59:03,4,2700,1977.8,1.91,13.3,9,12.3,0.207,10,0.2,1.79
,10:59:04,4,2700,1978.8,1.91,13.3,9,12.3,0.207,10,0.2,1.79
,10:59:05,4,2700,1979.8,1.91,13.3,9,12.3,0.207,10,0.2,1.79
,10:59:06,4,2700,1980.8,1.92,13.3,9,12.3,0.208,10,0.2,1.79
,10:59:07,4,2700,1981.8,1.92,13.3,9,12.4,0.214,10,0.2,1.8
,10:59:08,4,2700,1982.8,1.92,13.3,9,12.4,0.214,10,0.2,1.8
,10:59:09,4,2700,1983.8,1.92,13.3,9,12.4,0.22,10,0.2,1.8
,10:59:10,4,2700,1984.8,1.92,13.3,9,12.4,0.22,10,0.2,1.8
,10:59:11,4,2700,1985.8,1.93,13.3,9,12.5,0.221,10,0.2,1.81
,10:59:12,4,2700,1986.8,1.93,13.3,9,12.5,0.215,10,0.2,1.81
,10:59:13,4,2700,1987.8,1.93,13.3,9,12.4,0.215,10,0.2,1.8
,10:59:14,4,2700,1988.8,1.92,13.3,9,12.5,0.214,10,0.2,1.8
,10:59:15,4,2700,1989.8,1.93,13.3,9,12.5,0.215,10,0.2,1.81
,10:59:16,4,2700,1990.8,1.93,13.3,9,12.5,0.215,10,0.2,1.81
,10:59:17,4,2700,1991.8,1.92,13.3,9,12.5,0.214,10,0.2,1.8
,10:59:18,4,2700,1992.8,1.92,13.3,9,12.5,0.22,10,0.2,1.79
,10:59:19,4,2700,1993.8,1.91,13.3,9,12.6,0.213,10,0.2,1.79
,10:59:20,4,2700,1994.8,1.92,13.3,9,12.6,0.213,10,0.2,1.79
,10:59:21,4,2700,1995.8,1.92,13.3,9,12.6,0.214,10,0.2,1.79
,10:59:22,4,2700,1996.8,1.92,13.3,9,12.6,0.208,10,0.2,1.8
,10:59:23,4,2700,1997.8,1.92,13.3,9,12.7,0.208,10,0.2,1.8
,10:59:24,4,2700,1998.8,1.92,13.3,9,12.7,0.213,10,0.2,1.79
,10:59:25,4,2700,1999.8,1.91,13.3,9,12.7,0.213,10,0.2,1.79
,10:59:26,4,2700,2000.8,1.91,13.3,9,12.7,0.213,10,0.2,1.79
,10:59:27,4,2700,2001.8,1.91,13.3,9,12.7,0.212,10,0.2,1.78
,10:59:28,4,2700,2002.8,1.9,13.3,9,12.7,0.212,10,0.2,1.78
,10:59:29,4,2700,2003.8,1.9,13.3,9,12.8,0.212,10,0.2,1.78
,10:59:30,4,2700,2004.8,1.91,13.3,9,12.8,0.212,10,0.2,1.79
,10:59:31,4,2700,2005.8,1.91,13.3,9,12.8,0.213,10,0.2,1.79
,10:59:32,4,2700,2006.8,1.91,13.3,9,12.8,0.213,10,0.2,1.79
,10:59:33,4,2700,2007.8,1.92,13.3,9,12.8,0.22,10,0.2,1.79
,10:59:34,4,2700,2008.8,1.92,13.3,9,12.8,0.22,10,0.2,1.8
,10:59:35,4,2700,2009.8,1.92,13.3,9,12.8,0.214,10,0.2,1.8
,10:59:36,4,2700,2010.8,1.92,13.3,9,12.8,0.213,10,0.2,1.79
,10:59:37,4,2700,2011.8,1.91,13.3,9,12.8,0.207,10,0.2,1.79
,10:59:38,4,2700,2012.8,1.92,13.3,9,12.9,0.213,10,0.2,1.8
,10:59:39,4,2700,2013.8,1.92,13.3,9,12.9,0.214,10,0.2,1.8
,10:59:40,4,2700,2014.8,1.93,13.3,9,12.9,0.215,10,0.2,1.81
,10:59:41,4,2700,2015.8,1.93,13.3,9,12.9,0.222,10,0.2,1.81
,10:59:42,4,2700,2016.8,1.93,13.3,9,12.9,0.221,10,0.2,1.81
,10:59:43,4,2700,2017.8,1.93,13.3,9,12.9,0.215,10,0.2,1.8
,10:59:44,4,2700,2018.8,1.92,13.3,9,12.9,0.214,10,0.2,1.8
,10:59:45,4,2700,2019.8,1.92,13.3,9,13,0.208,10,0.2,1.8
,10:59:46,4,2700,2020.8,1.92,13.3,9,13,0.213,10,0.2,1.79
,10:59:47,4,2700,2021.8,1.92,13.3,9,13,0.213,10,0.2,1.79
,10:59:48,4,2700,2022.8,1.92,13.3,9,13,0.214,10,0.2,1.8
,10:59:49,4,2700,2023.8,1.92,13.3,9,13,0.208,10,0.2,1.8
,10:59:50,4,2700,2024.8,1.92,13.3,9,13,0.214,10,0.2,1.8
,10:59:51,4,2700,2025.8,1.92,13.3,9,13,0.214,10,0.2,1.79
,10:59:52,4,2700,2026.8,1.92,13.3,9,13,0.213,10,0.2,1.79
,10:59:53,4,2700,2027.8,1.92,13.3,9,13,0.213,10,0.2,1.79
,10:59:54,4,2700,2028.8,1.91,13.3,9,13,0.213,10,0.2,1.79
,10:59:55,4,2700,2029.8,1.91,13.3,9,13.1,0.213,10,0.2,1.79
,10:59:56,4,2700,2030.8,1.91,13.3,9,13.1,0.213,10,0.2,1.79
,10:59:57,4,2700,2031.8,1.91,13.3,9,13.1,0.213,10,0.2,1.79
,10:59:58,4,2700,2032.8,1.91,13.3,9,13.1,0.207,10,0.2,1.79
,10:59:59,4,2700,2033.8,1.91,13.3,9,13.1,0.207,10,0.2,1.78
,11:00:00,4,2700,2034.8,1.9,13.3,9,13.1,0.212,10,0.2,1.78
,11:00:01,4,2700,2035.8,1.9,13.3,9,13.1,0.211,10,0.2,1.78
,11:00:02,4,2700,2036.8,1.9,13.3,9,13.1,0.212,10,0.2,1.78
,11:00:03,4,2700,2037.8,1.9,13.3,9,13.1,0.212,10,0.2,1.78
,11:00:04,4,2700,2038.8,1.9,13.3,9,13.1,0.206,10,0.2,1.78
,11:00:05,4,2700,2039.8,1.9,13.3,9,13.1,0.206,10,0.2,1.78
,11:00:06,4,2700,2040.8,1.89,13.3,9,13.1,0.205,10,0.2,1.77
,11:00:07,4,2700,2041.8,1.88,13.3,9,13.2,0.204,10,0.2,1.76
,11:00:08,4,2700,2042.8,1.88,13.3,9,13.2,0.198,10,0.2,1.76
,11:00:09,4,2700,2043.8,1.87,13.3,9,13.2,0.198,10,0.2,1.76
,11:00:10,4,2700,2044.8,1.87,13.3,9,13.2,0.197,10,0.2,1.75
,11:00:11,4,2700,2045.8,1.86,13.3,9,13.2,0.196,10,0.2,1.74
,11:00:12,4,2700,2046.8,1.86,13.3,9,13.2,0.196,10,0.2,1.74
,11:00:13,4,2700,2047.8,1.86,13.3,9,13.2,0.196,10,0.2,1.75
,11:00:14,4,2700,2048.8,1.87,13.3,9,13.2,0.197,10,0.2,1.75
,11:00:15,4,2700,2049.8,1.87,13.3,9,13.2,0.197,10,0.2,1.75
,11:00:16,4,2700,2050.8,1.86,13.3,9,13.2,0.196,10,0.2,1.74
,11:00:17,4,2700,2051.8,1.84,13.3,9,13.2,0.199,10,0.2,1.72
,11:00:18,4,2700,2052.8,1.82,13.3,9,13.2,0.197,10,0.2,1.7
,11:00:19,4,2700,2053.8,1.82,13.3,9,13.2,0.197,10,0.2,1.7
,11:00:20,4,2700,2054.8,1.82,13.3,9,13.2,0.203,10,0.2,1.7
,11:00:21,4,2700,2055.8,1.82,13.3,9,13.2,0.203,10,0.2,1.71
,11:00:22,4,2700,2056.8,1.83,13.3,9,13.2,0.203,10,0.2,1.71
,11:00:23,4,2700,2057.8,1.82,13.3,9,13.2,0.203,10,0.2,1.7
,11:00:24,4,2700,2058.8,1.82,13.3,9,13.2,0.197,10,0.2,1.7
,11:00:25,4,2700,2059.8,1.81,13.3,9,13.3,0.196,10,0.2,1.69
,11:00:26,4,2700,2060.8,1.8,13.3,9,13.3,0.195,10,0.2,1.68
,11:00:27,4,2700,2061.8,1.79,13.3,9,13.3,0.194,10,0.2,1.68
,11:00:28,4,2700,2062.8,1.78,13.3,9,13.3,0.193,10,0.2,1.67
,11:00:29,4,2700,2063.8,1.77,13.3,9,13.3,0.191,10,0.2,1.65
,11:00:30,4,2700,2064.8,1.76,13.3,9,13.3,0.191,10,0.2,1.65
,11:00:31,4,2700,2065.8,1.76,13.3,9,13.3,0.196,10,0.2,1.64
,11:00:32,4,2700,2066.8,1.75,13.3,9,13.3,0.195,10,0.2,1.64
,11:00:33,4,2700,2067.8,1.75,13.3,9,13.3,0.201,10,0.2,1.64
,11:00:34,4,2700,2068.8,1.75,13.3,9,13.3,0.201,10,0.2,1.64
,11:00:35,4,2700,2069.8,1.76,13.3,9,13.3,0.202,10,0.2,1.65
,11:00:36,4,2700,2070.8,1.78,13.3,9,13.3,0.198,10,0.2,1.66
,11:00:37,4,2700,2071.8,1.79,13.3,9,13.3,0.206,10,0.2,1.68
,11:00:38,4,2700,2072.8,1.8,13.3,9,13.3,0.206,10,0.2,1.69
,11:00:39,4,2700,2073.8,1.8,13.3,9,13.3,0.206,10,0.2,1.69
,11:00:40,4,2700,2074.8,1.8,13.3,9,13.3,0.207,10,0.2,1.69
,11:00:41,4,2700,2075.8,1.81,13.3,9,13.3,0.208,10,0.2,1.69
,11:00:42,4,2700,2076.8,1.82,13.3,9,13.3,0.208,10,0.2,1.7
,11:00:43,4,2700,2077.8,1.81,13.3,9,13.3,0.208,10,0.2,1.7
,11:00:44,4,2700,2078.8,1.82,13.3,9,13.3,0.208,10,0.2,1.7
,11:00:45,4,2700,2079.8,1.82,13.3,9,13.3,0.208,10,0.2,1.7
,11:00:46,4,2700,2080.8,1.82,13.3,9,13.3,0.208,10,0.2,1.7
,11:00:47,4,2700,2081.8,1.82,13.3,9,13.3,0.208,10,0.2,1.7
,11:00:48,4,2700,2082.8,1.82,13.3,9,13.3,0.203,10,0.2,1.7
,11:00:49,4,2700,2083.8,1.83,13.3,9,13.3,0.204,10,0.2,1.71
,11:00:50,4,2700,2084.8,1.84,13.3,9,13.3,0.205,10,0.2,1.72
,11:00:51,4,2700,2085.8,1.85,13.3,9,13.3,0.206,10,0.2,1.73
,11:00:52,4,2700,2086.8,1.85,13.3,9,13.2,0.206,10,0.2,1.73
,11:00:53,4,2700,2087.8,1.85,13.3,9,13.2,0.201,10,0.2,1.74
,11:00:54,4,2700,2088.8,1.85,13.3,9,13.2,0.2,10,0.2,1.73
,11:00:55,4,2700,2089.8,1.85,13.3,9,13.2,0.2,10,0.2,1.73
,11:00:56,4,2700,2090.8,1.85,13.3,9,13.2,0.2,10,0.2,1.73
,11:00:57,4,2700,2091.8,1.84,13.3,9,13.2,0.205,10,0.2,1.73
,11:00:58,4,2700,2092.8,1.85,13.3,9,13.2,0.206,10,0.2,1.73
,11:00:59,4,2700,2093.8,1.85,13.3,9,13.2,0.206,10,0.2,1.73
,11:01:00,4,2700,2094.8,1.86,13.3,9,13.2,0.207,10,0.2,1.74
,11:01:01,4,2700,2095.8,1.86,13.3,9,13.2,0.207,10,0.2,1.74
,11:01:02,4,2700,2096.8,1.86,13.3,9,13.2,0.207,10,0.2,1.74
,11:01:03,4,2700,2097.8,1.87,13.3,9,13.2,0.208,10,0.2,1.75
,11:01:04,4,2700,2098.8,1.87,13.3,9,13.2,0.214,10,0.2,1.75
,11:01:05,4,2700,2099.8,1.87,13.3,9,13.2,0.214,10,0.2,1.75
,11:01:06,4,2700,2100.8,1.87,13.3,9,13.2,0.215,10,0.2,1.76
,11:01:07,4,2700,2101.8,1.88,13.3,9,13.2,0.21,10,0.2,1.76
,11:01:08,4,2700,2102.8,1.89,13.3,9,13.2,0.211,10,0.2,1.77
,11:01:09,4,2700,2103.8,1.9,13.3,9,13.2,0.211,10,0.2,1.77
,11:01:10,4,2700,2104.8,1.9,13.3,9,13.2,0.211,10,0.2,1.78
,11:01:11,4,2700,2105.8,1.9,13.3,9,13.2,0.211,10,0.2,1.78
,11:01:12,4,2700,2106.8,1.9,13.3,9,13.2,0.211,10,0.2,1.78
,11:01:13,4,2700,2107.8,1.89,13.3,9,13.2,0.211,10,0.2,1.77
,11:01:14,4,2700,2108.8,1.9,13.3,9,13.2,0.211,10,0.2,1.77
,11:01:15,4,2700,2109.8,1.9,13.3,9,13.2,0.212,10,0.2,1.78
,11:01:16,4,2700,2110.8,1.91,13.3,9,13.2,0.212,10,0.2,1.78
,11:01:17,4,2700,2111.8,1.91,13.3,9,13.1,0.213,10,0.2,1.79
,11:01:18,4,2700,2112.8,1.91,13.3,9,13.1,0.213,10,0.2,1.79
,11:01:19,4,2700,2113.8,1.91,13.3,9,13.1,0.213,10,0.2,1.79
,11:01:20,4,2700,2114.8,1.92,13.3,9,13.1,0.214,10,0.2,1.8
,11:01:21,4,2700,2115.8,1.92,13.3,9,13.1,0.214,10,0.2,1.8
,11:01:22,4,2700,2116.8,1.92,13.3,9,13.1,0.214,10,0.2,1.8
,11:01:23,4,2700,2117.8,1.92,13.3,9,13.1,0.214,10,0.2,1.8
,11:01:24,4,2700,2118.8,1.93,13.3,9,13.1,0.215,10,0.2,1.81
,11:01:25,4,2700,2119.8,1.93,13.3,9,13.1,0.215,10,0.2,1.81
,11:01:26,4,2700,2120.8,1.94,13.3,9,13.1,0.216,10,0.2,1.81
,11:01:27,4,2700,2121.8,1.93,13.3,9,13.1,0.215,10,0.2,1.81
,11:01:28,4,2700,2122.8,1.94,13.3,9,13.1,0.222,10,0.2,1.82
,11:01:29,4,2700,2123.8,1.95,13.3,9,13.1,0.217,10,0.2,1.82
,11:01:30,4,2700,2124.8,1.95,13.3,9,13.1,0.218,10,0.2,1.83
,11:01:31,4,2700,2125.8,1.96,13.3,9,13.1,0.218,10,0.2,1.83
,11:01:32,4,2700,2126.8,1.96,13.3,9,13.1,0.213,10,0.2,1.84
,11:01:33,4,2700,2127.8,1.96,13.3,9,13.1,0.219,10,0.2,1.84
,11:01:34,4,2700,2128.8,1.96,13.3,9,13,0.219,10,0.2,1.84
,11:01:35,4,2700,2129.8,1.96,13.3,9,13,0.224,10,0.2,1.83
,11:01:36,4,2700,2130.8,1.95,13.3,9,13,0.217,10,0.2,1.83
,11:01:37,4,2700,2131.8,1.96,13.3,9,13,0.212,10,0.2,1.83
,11:01:38,4,2700,2132.8,1.96,13.3,9,13,0.218,10,0.2,1.83
,11:01:39,4,2700,2133.8,1.97,13.3,9,13,0.219,10,0.2,1.84
,11:01:40,4,2700,2134.8,1.96,13.3,9,13,0.213,10,0.2,1.84
,11:01:41,4,2700,2135.8,1.96,13.3,9,13,0.213,10,0.2,1.84
,11:01:42,4,2700,2136.8,1.97,13.3,9,13,0.219,10,0.2,1.84
,11:01:43,4,2700,2137.8,1.96,13.3,9,13,0.219,10,0.2,1.84
,11:01:44,4,2700,2138.8,1.96,13.3,9,13,0.219,10,0.2,1.84
,11:01:45,4,2700,2139.8,1.96,13.3,9,13,0.218,10,0.2,1.83
,11:01:46,4,2700,2140.8,1.97,13.3,9,13,0.22,10,0.2,1.85
,11:01:47,4,2700,2141.8,1.99,13.3,9,13,0.221,10,0.2,1.86
,11:01:48,4,2700,2142.8,2,13.3,9,13,0.223,10,0.2,1.87
,11:01:49,4,2700,2143.8,2.01,13.3,9,12.9,0.224,10,0.2,1.88
,11:01:50,4,2700,2144.8,2,13.3,9,12.9,0.223,10,0.2,1.87
,11:01:51,4,2700,2145.8,2,13.3,9,12.9,0.222,10,0.2,1.87
,11:01:52,4,2700,2146.8,1.99,13.3,9,12.9,0.222,10,0.2,1.87
,11:01:53,4,2700,2147.8,1.99,13.3,9,12.9,0.222,10,0.2,1.87
,11:01:54,4,2700,2148.8,2,13.3,9,12.9,0.222,10,0.2,1.87
,11:01:55,4,2700,2149.8,2,13.3,9,12.9,0.223,10,0.2,1.87
,11:01:56,4,2700,2150.8,2.01,13.3,9,12.9,0.224,10,0.2,1.88
,11:01:57,4,2700,2151.8,2.02,13.3,9,12.9,0.219,10,0.2,1.89
,11:01:58,4,2700,2152.8,2.03,13.3,9,12.8,0.227,10,0.2,1.9
,11:01:59,4,2700,2153.8,2.04,13.3,9,12.8,0.228,10,0.2,1.91
,11:02:00,4,2700,2154.8,2.05,13.3,9,12.8,0.222,10,0.2,1.92
,11:02:01,4,2700,2155.8,2.04,13.3,9,12.8,0.222,10,0.2,1.91
,11:02:02,4,2700,2156.8,2.04,13.3,9,12.8,0.221,10,0.2,1.91
,11:02:03,4,2700,2157.8,2.03,13.3,9,12.8,0.22,10,0.2,1.9
