Data file,,RA0.3_HEF65_12C_003_45MINS.TSV,,,,,,,,,,
,12:51:33,4,2700,254.8,1.72,13.3,9,12.3,0.192,10,50.1,1.61
,12:51:34,4,2700,255.8,1.71,13.3,9,12.3,0.185,10,50.1,1.6
,12:51:35,4,2700,256.8,1.71,13.3,9,12.3,0.18,10,50.1,1.6
,12:51:36,4,2700,257.8,1.71,13.3,9,12.3,0.18,10,50.1,1.6
,12:51:37,4,2700,258.8,1.7,13.3,9,12.3,0.19,10,50.1,1.6
,12:51:38,4,2700,259.8,1.7,13.3,9,12.3,0.189,10,50.1,1.59
,12:51:39,4,2700,260.8,1.7,13.3,9,12.3,0.195,10,50,1.59
,12:51:40,4,2700,261.8,1.7,13.3,9,12.2,0.19,10,50,1.6
,12:51:41,4,2700,262.8,1.71,13.3,9,12.2,0.19,10,46.9,1.6
,12:51:42,4,2700,263.8,1.71,13.3,9,12.2,0.19,10,29.6,1.6
,12:51:43,4,2700,264.8,1.7,13.3,9,12.2,0.19,10,24.2,1.59
,12:51:44,4,2700,265.8,1.69,13.3,9,12.2,0.188,10,23.8,1.58
,12:51:45,4,2700,266.8,1.69,13.3,9,12.2,0.188,10,29.6,1.58
,12:51:46,4,2700,267.8,1.69,13.3,9,12.1,0.188,10,37.7,1.58
,12:51:47,4,2700,268.8,1.69,13.3,9,12.1,0.188,10,34.7,1.58
,12:51:48,4,2700,269.8,1.7,13.3,9,12.1,0.184,10,26.3,1.59
,12:51:49,4,2700,270.8,1.7,13.3,9,12.1,0.184,10,20.8,1.59
,12:51:50,4,2700,271.8,1.69,13.3,9,12.1,0.178,10,20,1.58
,12:51:51,4,2700,272.8,1.68,13.3,9,12.1,0.177,10,27.6,1.57
,12:51:52,4,2700,273.8,1.66,13.3,9,12.1,0.175,10,17.8,1.56
,12:51:53,4,2700,274.8,1.66,13.3,9,12,0.175,10,8.2,1.55
,12:51:54,4,2700,275.8,1.66,13.3,9,12,0.175,10,4,1.55
,12:51:55,4,2700,276.8,1.65,13.3,9,12,0.179,10,2.7,1.55
,12:51:56,4,2700,277.8,1.63,13.3,9,12,0.177,10,1.7,1.53
,12:51:57,4,2700,278.8,1.61,13.3,9,12,0.18,10,6.8,1.51
,12:51:58,4,2700,279.8,1.59,13.3,9,12,0.183,10,41,1.49
,12:51:59,4,2700,280.8,1.59,13.3,9,11.9,0.182,10,46.5,1.49
,12:52:00,4,2700,281.8,1.59,13.3,9,11.9,0.182,10,48.7,1.49
,12:52:01,4,2700,282.8,1.6,13.3,9,11.9,0.183,10,49,1.5
,12:52:02,4,2700,283.8,1.61,13.3,9,11.9,0.184,10,44,1.5
,12:52:03,4,2700,284.8,1.61,13.3,9,11.9,0.185,10,45.7,1.51
,12:52:04,4,2700,285.8,1.62,13.3,9,11.9,0.18,10,48.8,1.51
,12:52:05,4,2700,286.8,1.62,13.3,9,11.9,0.18,10,40.3,1.52
,12:52:06,4,2700,287.8,1.62,13.3,9,11.9,0.186,10,29.3,1.52
,12:52:07,4,2700,288.8,1.61,13.3,9,11.8,0.185,10,37,1.51
,12:52:08,4,2700,289.8,1.62,13.3,9,11.8,0.185,10,27,1.51
,12:52:09,4,2700,290.8,1.62,13.3,9,11.8,0.18,10,18.7,1.52
,12:52:10,4,2700,291.8,1.62,13.3,9,11.8,0.181,10,17.1,1.52
,12:52:11,4,2700,292.8,1.62,13.3,9,11.8,0.181,10,15.5,1.52
,12:52:12,4,2700,293.8,1.62,13.3,9,11.8,0.181,10,25.7,1.52
,12:52:13,4,2700,294.8,1.63,13.3,9,11.8,0.182,10,45.3,1.53
,12:52:14,4,2700,295.8,1.63,13.3,9,11.8,0.182,10,38,1.53
,12:52:15,4,2700,296.8,1.63,13.3,9,11.7,0.182,10,18.6,1.53
,12:52:16,4,2700,297.8,1.63,13.3,9,11.7,0.182,10,9.5,1.53
,12:52:17,4,2700,298.8,1.64,13.3,9,11.7,0.177,10,14.2,1.53
,12:52:18,4,2700,299.8,1.63,13.3,9,11.7,0.177,10,10.8,1.53
,12:52:19,4,2700,300.8,1.62,13.3,9,11.7,0.176,10,37.5,1.52
,12:52:20,4,2700,301.8,1.6,13.3,9,11.7,0.169,10,39.4,1.5
,12:52:21,4,2700,302.8,1.59,13.3,9,11.6,0.167,10,25.4,1.48
,12:52:22,4,2700,303.8,1.57,13.3,9,11.6,0.166,10,16.1,1.47
,12:52:23,4,2700,304.8,1.57,13.3,9,11.6,0.17,10,7.8,1.47
,12:52:24,4,2700,305.8,1.57,13.3,9,11.6,0.174,10,8.5,1.46
,12:52:25,4,2700,306.8,1.56,13.3,9,11.6,0.174,10,5.3,1.46
,12:52:26,4,2700,307.8,1.56,13.3,9,11.6,0.179,10,5,1.46
,12:52:27,4,2700,308.8,1.55,13.3,9,11.5,0.178,10,6.7,1.46
,12:52:28,4,2700,309.8,1.55,13.3,9,11.5,0.173,10,3.4,1.45
,12:52:29,4,2700,310.8,1.55,13.3,9,11.5,0.173,10,1.8,1.45
,12:52:30,4,2700,311.8,1.55,13.3,9,11.5,0.173,10,1,1.45
,12:52:31,4,2700,312.8,1.55,13.3,9,11.5,0.173,10,0.6,1.45
,12:52:32,4,2700,313.8,1.54,13.3,9,11.5,0.172,10,0.5,1.45
,12:52:33,4,2700,314.8,1.54,13.3,9,11.5,0.172,10,0.4,1.44
,12:52:34,4,2700,315.8,1.54,13.3,9,11.4,0.171,10,0.3,1.44
,12:52:35,4,2700,316.8,1.53,13.3,9,11.4,0.171,10,0.3,1.44
,12:52:36,4,2700,317.8,1.53,13.3,9,11.4,0.171,10,0.2,1.43
,12:52:37,4,2700,318.8,1.53,13.3,9,11.4,0.17,10,0.2,1.43
,12:52:38,4,2700,319.8,1.52,13.3,9,11.4,0.17,10,0.2,1.42
,12:52:39,4,2700,320.8,1.52,13.3,9,11.4,0.17,10,0.2,1.42
,12:52:40,4,2700,321.8,1.52,13.3,9,11.3,0.17,10,0.2,1.42
,12:52:41,4,2700,322.8,1.52,13.3,9,11.3,0.169,10,0.2,1.42
,12:52:42,4,2700,323.8,1.52,13.3,9,11.3,0.169,10,0.2,1.42
,12:52:43,4,2700,324.8,1.52,13.3,9,11.3,0.169,10,0.2,1.42
,12:52:44,4,2700,325.8,1.52,13.3,9,11.3,0.174,10,0.2,1.42
,12:52:45,4,2700,326.8,1.51,13.3,9,11.3,0.169,10,0.2,1.42
,12:52:46,4,2700,327.8,1.52,13.3,9,11.2,0.169,10,1.9,1.42
,12:52:47,4,2700,328.8,1.53,13.3,9,11.2,0.165,10,1.9,1.43
,12:52:48,4,2700,329.8,1.53,13.3,9,11.2,0.166,10,1.4,1.44
,12:52:49,4,2700,330.8,1.53,13.3,9,11.2,0.166,10,1.4,1.44
,12:52:50,4,2700,331.8,1.53,13.3,9,11.2,0.165,10,0.9,1.43
,12:52:51,4,2700,332.8,1.52,13.3,9,11.2,0.164,10,0.5,1.42
,12:52:52,4,2700,333.8,1.51,13.3,9,11.2,0.164,10,0.3,1.41
,12:52:53,4,2700,334.8,1.51,13.3,9,11.2,0.159,10,0.3,1.41
,12:52:54,4,2700,335.8,1.5,13.3,9,11.2,0.158,10,0.2,1.41
,12:52:55,4,2700,336.8,1.5,13.3,9,11.1,0.158,10,0.3,1.4
,12:52:56,4,2700,337.8,1.49,13.3,10,11.1,0.153,10,0.3,1.4
,12:52:57,4,2700,338.8,1.49,13.3,9,11.1,0.157,10,0.3,1.39
,12:52:58,4,2700,339.8,1.47,13.3,9,11.1,0.155,10,0.3,1.38
,12:52:59,4,2700,340.8,1.46,13.3,9,11.1,0.159,10,1.5,1.37
,12:53:00,4,2700,341.8,1.46,13.3,9,11.1,0.163,10,17.2,1.37
,12:53:01,4,2700,342.8,1.45,13.3,9,11,0.167,10,25.6,1.36
,12:53:02,4,2700,343.8,1.46,13.3,9,11,0.167,10,26,1.37
,12:53:03,4,2700,344.8,1.46,13.3,9,11,0.168,10,15,1.37
,12:53:04,4,2700,345.8,1.47,13.3,9,11,0.169,10,8.4,1.38
,12:53:05,4,2700,346.8,1.48,13.3,9,11,0.169,10,5.7,1.38
,12:53:06,4,2700,347.8,1.48,13.3,9,11,0.169,10,2.9,1.38
,12:53:07,4,2700,348.8,1.48,13.3,9,11,0.169,10,1.6,1.38
,12:53:08,4,2700,349.8,1.47,13.3,9,11,0.169,10,0.9,1.38
,12:53:09,4,2700,350.8,1.47,13.3,9,10.9,0.169,10,0.5,1.38
,12:53:10,4,2700,351.8,1.47,13.3,9,10.9,0.164,10,0.4,1.38
,12:53:11,4,2700,352.8,1.49,13.3,9,10.9,0.165,10,0.3,1.39
,12:53:12,4,2700,353.8,1.49,13.3,9,10.9,0.166,10,0.3,1.4
,12:53:13,4,2700,354.8,1.49,13.3,9,10.9,0.166,10,0.6,1.4
,12:53:14,4,2700,355.8,1.49,13.3,9,10.9,0.166,10,1.2,1.39
,12:53:15,4,2700,356.8,1.48,13.3,9,10.9,0.165,10,0.7,1.39
,12:53:16,4,2700,357.8,1.48,13.3,9,10.9,0.16,10,0.4,1.39
,12:53:17,4,2700,358.8,1.48,13.3,9,10.8,0.16,10,0.3,1.39
,12:53:18,4,2700,359.8,1.48,13.3,9,10.8,0.16,10,0.2,1.38
,12:53:19,4,2700,360.8,1.48,13.3,9,10.8,0.16,10,0.2,1.39
,12:53:20,4,2700,361.8,1.48,13.3,9,10.8,0.161,10,0.2,1.39
,12:53:21,4,2700,362.8,1.49,13.3,9,10.8,0.165,10,0.1,1.39
,12:53:22,4,2700,363.8,1.48,13.3,9,10.8,0.165,10,0.1,1.39
,12:53:23,4,2700,364.8,1.48,13.3,9,10.8,0.165,10,0.1,1.39
,12:53:24,4,2700,365.8,1.47,13.3,9,10.8,0.16,10,0.1,1.38
,12:53:25,4,2700,366.8,1.47,13.3,9,10.7,0.16,10,0.1,1.38
,12:53:26,4,2700,367.8,1.47,13.3,9,10.7,0.159,10,0.1,1.38
,12:53:27,4,2700,368.8,1.47,13.3,9,10.7,0.16,10,0.1,1.38
,12:53:28,4,2700,369.8,1.47,13.3,9,10.7,0.159,10,0.1,1.38
,12:53:29,4,2700,370.8,1.47,13.3,9,10.7,0.159,10,0.1,1.38
,12:53:30,4,2700,371.8,1.47,13.3,9,10.7,0.155,10,0.1,1.37
,12:53:31,4,2700,372.8,1.46,13.3,9,10.7,0.158,10,0.1,1.37
,12:53:32,4,2700,373.8,1.44,13.3,9,10.7,0.156,10,0.1,1.35
,12:53:33,4,2700,374.8,1.43,13.3,9,10.7,0.154,10,0.1,1.34
,12:53:34,4,2700,375.8,1.41,13.3,9,10.7,0.153,10,0.1,1.32
,12:53:35,4,2700,376.8,1.41,13.3,9,10.7,0.153,10,0.1,1.32
,12:53:36,4,2700,377.8,1.41,13.3,9,10.7,0.153,10,0.1,1.32
,12:53:37,4,2700,378.8,1.41,13.3,9,10.6,0.157,10,0.1,1.32
,12:53:38,4,2700,379.8,1.4,13.3,9,10.6,0.161,10,0.1,1.31
,12:53:39,4,2700,380.8,1.4,13.3,9,10.6,0.161,10,0.1,1.31
,12:53:40,4,2700,381.8,1.41,13.3,9,10.6,0.161,10,0.1,1.32
,12:53:41,4,2700,382.8,1.42,13.3,9,10.6,0.162,10,0.1,1.33
,12:53:42,4,2700,383.8,1.42,13.3,9,10.6,0.163,10,0.1,1.33
,12:53:43,4,2700,384.8,1.42,13.3,9,10.6,0.163,10,0.1,1.33
,12:53:44,4,2700,385.8,1.42,13.3,9,10.6,0.163,10,0.1,1.33
,12:53:45,4,2700,386.8,1.42,13.3,9,10.6,0.163,10,0.1,1.33
,12:53:46,4,2700,387.8,1.43,13.3,9,10.6,0.164,10,0.1,1.34
,12:53:47,4,2700,388.8,1.43,13.3,9,10.6,0.16,10,0.1,1.34
,12:53:48,4,2700,389.8,1.44,13.3,9,10.6,0.16,10,0.1,1.35
,12:53:49,4,2700,390.8,1.44,13.3,9,10.6,0.166,10,0.1,1.35
,12:53:50,4,2700,391.8,1.44,13.3,9,10.6,0.165,10,0.1,1.35
,12:53:51,4,2700,392.8,1.44,13.3,9,10.5,0.165,10,0.1,1.35
,12:53:52,4,2700,393.8,1.44,13.3,9,10.5,0.161,10,0.1,1.35
,12:53:53,4,2700,394.8,1.45,13.3,9,10.5,0.161,10,0.1,1.36
,12:53:54,4,2700,395.8,1.46,13.3,9,10.5,0.162,10,0.1,1.36
,12:53:55,4,2700,396.8,1.46,13.3,9,10.5,0.163,10,0.1,1.37
,12:53:56,4,2700,397.8,1.47,13.3,9,10.5,0.163,10,0.1,1.37
,12:53:57,4,2700,398.8,1.46,13.3,9,10.5,0.163,10,0.1,1.37
,12:53:58,4,2700,399.8,1.47,13.3,9,10.5,0.159,10,0.1,1.37
,12:53:59,4,2700,400.8,1.47,13.3,9,10.5,0.159,10,0.1,1.37
,12:54:00,4,2700,401.8,1.47,13.3,9,10.5,0.159,10,0.1,1.38
,12:54:01,4,2700,402.8,1.47,13.3,9,10.5,0.159,10,0.1,1.37
,12:54:02,4,2700,403.8,1.46,13.3,9,10.5,0.163,10,0.1,1.36
,12:54:03,4,2700,404.8,1.45,13.3,9,10.5,0.162,10,0.1,1.36
,12:54:04,4,2700,405.8,1.45,13.3,9,10.5,0.161,10,0.1,1.36
,12:54:05,4,2700,406.8,1.45,13.3,9,10.5,0.157,10,0.1,1.36
,12:54:06,4,2700,407.8,1.45,13.3,9,10.5,0.162,10,0.1,1.36
,12:54:07,4,2700,408.8,1.45,13.3,9,10.5,0.161,10,0.1,1.36
,12:54:08,4,2700,409.8,1.45,13.3,9,10.5,0.161,10,0.1,1.36
,12:54:09,4,2700,410.8,1.45,13.3,9,10.5,0.162,10,0.1,1.36
,12:54:10,4,2700,411.8,1.46,13.3,9,10.5,0.163,10,0.1,1.37
,12:54:11,4,2700,412.8,1.47,13.3,9,10.5,0.164,10,0.1,1.38
,12:54:12,4,2700,413.8,1.48,13.3,9,10.5,0.165,10,0.1,1.38
,12:54:13,4,2700,414.8,1.48,13.3,9,10.5,0.165,10,0.1,1.38
,12:54:14,4,2700,415.8,1.47,13.3,9,10.5,0.159,10,0.1,1.38
,12:54:15,4,2700,416.8,1.46,13.3,9,10.5,0.158,10,0.1,1.36
,12:54:16,4,2700,417.8,1.45,13.3,9,10.5,0.157,10,0.1,1.35
,12:54:17,4,2700,418.8,1.44,13.3,9,10.5,0.16,10,0.1,1.34
,12:54:18,4,2700,419.8,1.43,13.3,9,10.5,0.159,10,0.1,1.34
,12:54:19,4,2700,420.8,1.43,13.3,9,10.5,0.155,10,0.1,1.34
,12:54:20,4,2700,421.8,1.42,13.3,9,10.5,0.15,10,0.2,1.33
,12:54:21,4,2700,422.8,1.42,13.3,9,10.5,0.149,10,0.2,1.33
,12:54:22,4,2700,423.8,1.41,13.3,9,10.5,0.153,10,0.2,1.32
,12:54:23,4,2700,424.8,1.41,13.3,9,10.5,0.153,10,0.2,1.32
,12:54:24,4,2700,425.8,1.41,13.3,9,10.5,0.157,10,0.2,1.32
,12:54:25,4,2700,426.8,1.41,13.3,9,10.5,0.157,10,0.2,1.32
,12:54:26,4,2700,427.8,1.41,13.3,9,10.5,0.157,10,0.2,1.32
,12:54:27,4,2700,428.8,1.41,13.3,9,10.5,0.157,10,0.1,1.32
,12:54:28,4,2700,429.8,1.41,13.3,9,10.5,0.161,10,0.2,1.32
,12:54:29,4,2700,430.8,1.41,13.3,9,10.5,0.157,10,0.2,1.32
,12:54:30,4,2700,431.8,1.4,13.3,9,10.5,0.156,10,0.2,1.31
,12:54:31,4,2700,432.8,1.41,13.3,9,10.5,0.157,10,0.1,1.32
,12:54:32,4,2700,433.8,1.41,13.3,9,10.5,0.157,10,0.2,1.32
,12:54:33,4,2700,434.8,1.42,13.3,9,10.5,0.158,10,0.2,1.33
,12:54:34,4,2700,435.8,1.42,13.3,9,10.5,0.158,10,0.2,1.33
,12:54:35,4,2700,436.8,1.42,13.3,9,10.5,0.158,10,0.2,1.33
,12:54:36,4,2700,437.8,1.41,13.3,9,10.5,0.157,10,0.2,1.32
,12:54:37,4,2700,438.8,1.41,13.3,9,10.5,0.153,10,0.2,1.32
,12:54:38,4,2700,439.8,1.41,13.3,9,10.5,0.152,10,0.2,1.32
,12:54:39,4,2700,440.8,1.41,13.3,9,10.5,0.148,10,0.2,1.31
,12:54:40,4,2700,441.8,1.4,13.3,9,10.5,0.152,10,0.2,1.31
,12:54:41,4,2700,442.8,1.4,13.3,9,10.5,0.156,10,0.2,1.32
,12:54:42,4,2700,443.8,1.4,13.3,9,10.5,0.156,10,0.2,1.31
,12:54:43,4,2700,444.8,1.4,13.3,9,10.5,0.156,10,0.2,1.31
,12:54:44,4,2700,445.8,1.41,13.3,9,10.5,0.157,10,0.2,1.32
,12:54:45,4,2700,446.8,1.41,13.3,9,10.5,0.157,10,0.2,1.32
,12:54:46,4,2700,447.8,1.41,13.3,9,10.5,0.157,10,0.2,1.32
,12:54:47,4,2700,448.8,1.41,13.3,9,10.6,0.157,10,0.2,1.32
,12:54:48,4,2700,449.8,1.41,13.3,9,10.6,0.161,10,0.2,1.32
,12:54:49,4,2700,450.8,1.41,13.3,9,10.6,0.157,10,0.2,1.32
,12:54:50,4,2700,451.8,1.4,13.3,9,10.6,0.156,10,0.2,1.31
,12:54:51,4,2700,452.8,1.4,13.3,9,10.6,0.156,10,0.2,1.31
,12:54:52,4,2700,453.8,1.41,13.3,9,10.6,0.157,10,0.2,1.32
,12:54:53,4,2700,454.8,1.41,13.3,9,10.6,0.157,10,0.2,1.32
,12:54:54,4,2700,455.8,1.42,13.3,9,10.6,0.158,10,0.2,1.33
,12:54:55,4,2700,456.8,1.42,13.3,9,10.6,0.153,10,0.2,1.33
,12:54:56,4,2700,457.8,1.41,13.3,9,10.6,0.153,10,0.2,1.32
,12:54:57,4,2700,458.8,1.41,13.3,9,10.6,0.148,10,0.2,1.32
,12:54:58,4,2700,459.8,1.41,13.3,9,10.6,0.148,10,0.2,1.32
,12:54:59,4,2700,460.8,1.4,13.3,9,10.6,0.152,10,0.2,1.31
,12:55:00,4,2700,461.8,1.4,13.3,9,10.6,0.156,10,0.2,1.31
,12:55:01,4,2700,462.8,1.4,13.3,9,10.6,0.16,10,0.2,1.31
,12:55:02,4,2700,463.8,1.39,13.3,9,10.6,0.16,10,0.2,1.3
,12:55:03,4,2700,464.8,1.39,13.3,9,10.6,0.16,10,0.2,1.3
,12:55:04,4,2700,465.8,1.39,13.3,9,10.6,0.16,10,0.2,1.31
,12:55:05,4,2700,466.8,1.4,13.3,9,10.7,0.161,10,0.2,1.31
,12:55:06,4,2700,467.8,1.41,13.3,9,10.7,0.157,10,0.2,1.32
,12:55:07,4,2700,468.8,1.41,13.3,9,10.7,0.157,10,0.2,1.32
,12:55:08,4,2700,469.8,1.41,13.3,9,10.7,0.157,10,0.2,1.32
,12:55:09,4,2700,470.8,1.4,13.3,9,10.7,0.156,10,0.2,1.31
,12:55:10,4,2700,471.8,1.4,13.3,9,10.7,0.156,10,0.2,1.31
,12:55:11,4,2700,472.8,1.39,13.3,9,10.7,0.155,10,0.2,1.31
,12:55:12,4,2700,473.8,1.39,13.3,9,10.7,0.155,10,0.2,1.3
,12:55:13,4,2700,474.8,1.39,13.3,9,10.7,0.155,10,0.2,1.3
,12:55:14,4,2700,475.8,1.39,13.3,9,10.7,0.16,10,0.2,1.3
,12:55:15,4,2700,476.8,1.39,13.3,9,10.7,0.155,10,0.2,1.31
,12:55:16,4,2700,477.8,1.4,13.3,9,10.8,0.156,10,0.2,1.31
,12:55:17,4,2700,478.8,1.4,13.3,9,10.8,0.156,10,0.2,1.31
,12:55:18,4,2700,479.8,1.41,13.3,9,10.8,0.152,10,0.2,1.32
,12:55:19,4,2700,480.8,1.4,13.3,9,10.8,0.148,10,0.2,1.31
,12:55:20,4,2700,481.8,1.4,13.3,9,10.8,0.148,10,0.2,1.31
,12:55:21,4,2700,482.8,1.39,13.3,9,10.8,0.147,10,0.2,1.31
,12:55:22,4,2700,483.8,1.39,13.3,9,10.8,0.147,10,0.2,1.3
,12:55:23,4,2700,484.8,1.38,13.3,9,10.8,0.146,10,0.2,1.3
,12:55:24,4,2700,485.8,1.38,13.3,9,10.8,0.149,10,0.2,1.29
,12:55:25,4,2700,486.8,1.37,13.3,9,10.8,0.153,10,0.2,1.28
,12:55:26,4,2700,487.8,1.36,13.3,9,10.8,0.152,10,0.2,1.27
,12:55:27,4,2700,488.8,1.36,13.3,9,10.9,0.156,10,0.2,1.27
,12:55:28,4,2700,489.8,1.36,13.3,9,10.9,0.156,10,0.2,1.27
,12:55:29,4,2700,490.8,1.36,13.3,9,10.9,0.156,10,0.2,1.27
,12:55:30,4,2700,491.8,1.37,13.3,9,10.9,0.153,10,0.2,1.28
,12:55:31,4,2700,492.8,1.37,13.3,9,10.9,0.157,10,0.2,1.28
,12:55:32,4,2700,493.8,1.37,13.3,9,10.9,0.158,10,0.2,1.29
,12:55:33,4,2700,494.8,1.38,13.3,9,10.9,0.154,10,0.2,1.29
,12:55:34,4,2700,495.8,1.39,13.3,9,10.9,0.159,10,0.2,1.3
,12:55:35,4,2700,496.8,1.39,13.3,9,10.9,0.155,10,0.2,1.3
,12:55:36,4,2700,497.8,1.39,13.3,9,10.9,0.155,10,0.2,1.3
,12:55:37,4,2700,498.8,1.39,13.3,9,11,0.155,10,0.2,1.3
,12:55:38,4,2700,499.8,1.39,13.3,9,11,0.155,10,0.2,1.3
,12:55:39,4,2700,500.8,1.39,13.3,9,11,0.155,10,0.2,1.3
,12:55:40,4,2700,501.8,1.39,13.3,9,11,0.155,10,0.2,1.3
,12:55:41,4,2700,502.8,1.39,13.3,9,11,0.151,10,0.2,1.31
,12:55:42,4,2700,503.8,1.39,13.3,9,11,0.151,10,0.1,1.31
,12:55:43,4,2700,504.8,1.39,13.3,9,11,0.147,10,0.1,1.3
,12:55:44,4,2700,505.8,1.39,13.3,9,11,0.147,10,0.2,1.3
,12:55:45,4,2700,506.8,1.39,13.3,9,11,0.15,10,0.1,1.3
,12:55:46,4,2700,507.8,1.38,13.3,9,11.1,0.154,10,0.1,1.3
,12:55:47,4,2700,508.8,1.38,13.3,9,11.1,0.154,10,0.1,1.29
,12:55:48,4,2700,509.8,1.39,13.3,9,11.1,0.155,10,0.1,1.3
,12:55:49,4,2700,510.8,1.39,13.3,9,11.1,0.16,10,0.1,1.3
,12:55:50,4,2700,511.8,1.4,13.3,9,11.1,0.156,10,0.1,1.31
,12:55:51,4,2700,512.8,1.41,13.3,9,11.1,0.157,10,0.1,1.32
,12:55:52,4,2700,513.8,1.41,13.3,9,11.2,0.157,10,0.1,1.32
,12:55:53,4,2700,514.8,1.4,13.3,9,11.2,0.156,10,0.1,1.31
,12:55:54,4,2700,515.8,1.4,13.3,9,11.2,0.152,10,0.1,1.31
,12:55:55,4,2700,516.8,1.41,13.3,9,11.2,0.148,10,0.1,1.32
,12:55:56,4,2700,517.8,1.41,13.3,9,11.2,0.148,10,0.1,1.32
,12:55:57,4,2700,518.8,1.4,13.3,9,11.2,0.148,10,0.1,1.31
,12:55:58,4,2700,519.8,1.4,13.3,9,11.2,0.151,10,0.1,1.31
,12:55:59,4,2700,520.8,1.39,13.3,9,11.3,0.155,10,0.1,1.31
,12:56:00,4,2700,521.8,1.39,13.3,9,11.3,0.155,10,0.1,1.31
,12:56:01,4,2700,522.8,1.39,13.3,9,11.2,0.155,10,0.1,1.3
,12:56:02,4,2700,523.8,1.39,13.3,9,11.3,0.155,10,0.1,1.3
,12:56:03,4,2700,524.8,1.39,13.3,9,11.3,0.155,10,0.1,1.3
,12:56:04,4,2700,525.8,1.39,13.3,9,11.3,0.155,10,0.1,1.3
,12:56:05,4,2700,526.8,1.39,13.3,9,11.3,0.155,10,0.1,1.3
,12:56:06,4,2700,527.8,1.38,13.3,9,11.3,0.154,10,0.1,1.3
,12:56:07,4,2700,528.8,1.38,13.3,9,11.3,0.154,10,0.1,1.3
,12:56:08,4,2700,529.8,1.39,13.3,9,11.4,0.155,10,0.1,1.3
,12:56:09,4,2700,530.8,1.39,13.3,9,11.4,0.151,10,0.1,1.3
,12:56:10,4,2700,531.8,1.39,13.3,9,11.4,0.147,10,0.1,1.31
,12:56:11,4,2700,532.8,1.39,13.3,9,11.4,0.151,10,0.2,1.3
,12:56:12,4,2700,533.8,1.39,13.3,9,11.4,0.155,10,0.1,1.3
,12:56:13,4,2700,534.8,1.38,13.3,9,11.4,0.154,10,0.1,1.29
,12:56:14,4,2700,535.8,1.38,13.3,9,11.5,0.153,10,0.1,1.29
,12:56:15,4,2700,536.8,1.37,13.3,9,11.5,0.157,10,0.2,1.28
,12:56:16,4,2700,537.8,1.37,13.3,9,11.5,0.157,10,0.2,1.28
