Data file,,DELRIN500AF_ISO10_12C_006.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,05/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Delrin AF500 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:39:17 on 05/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:44:27,4,3600,296.6,1.28,13.3,7,10.7,0.185,10,0,1.2
,12:44:28,4,3600,297.6,1.27,13.3,7,10.7,0.191,10,0,1.19
,12:44:29,4,3600,298.6,1.27,13.3,6,10.7,0.199,10,0.1,1.19
,12:44:30,4,3600,299.6,1.28,13.3,6,10.7,0.2,10,0,1.2
,12:44:31,4,3600,300.6,1.29,13.3,7,10.7,0.193,10,0,1.21
,12:44:32,4,3600,301.6,1.3,13.3,7,10.7,0.195,10,0,1.22
,12:44:33,4,3600,302.6,1.3,13.3,7,10.7,0.195,10,0,1.22
,12:44:34,4,3600,303.6,1.3,13.3,7,10.7,0.195,10,0.1,1.22
,12:44:35,4,3600,304.6,1.3,13.3,7,10.7,0.195,10,0,1.22
,12:44:36,4,3600,305.6,1.3,13.3,7,10.7,0.196,10,0,1.22
,12:44:37,4,3600,306.6,1.31,13.3,7,10.7,0.196,10,0,1.22
,12:44:38,4,3600,307.6,1.3,13.3,7,10.7,0.188,10,0,1.22
,12:44:39,4,3600,308.6,1.3,13.3,7,10.7,0.182,10,0,1.22
