Data file,,RA0.3_HEF_-8C_001_45MINS.TSV,,,,,,,,,,
,16:26:17,4,2700,272,1.56,13.3,9,-7.9,0.164,10,0.3,1.46
,16:26:18,4,2700,273,1.55,13.3,9,-7.9,0.168,10,0.3,1.45
,16:26:19,4,2700,274,1.54,13.3,9,-7.9,0.172,10,0.3,1.44
,16:26:20,4,2700,275,1.53,13.3,9,-7.9,0.17,10,0.3,1.43
,16:26:21,4,2700,276,1.52,13.3,9,-7.9,0.17,10,0.3,1.42
,16:26:22,4,2700,277,1.51,13.3,9,-7.9,0.169,10,0.3,1.42
,16:26:23,4,2700,278,1.51,13.3,9,-7.9,0.168,10,0.3,1.41
,16:26:24,4,2700,279,1.5,13.3,9,-7.9,0.168,10,0.3,1.41
,16:26:25,4,2700,280,1.51,13.3,9,-7.9,0.163,10,0.3,1.41
,16:26:26,4,2700,281,1.51,13.3,9,-7.9,0.163,10,0.3,1.41
,16:26:27,4,2700,282,1.51,13.3,9,-7.9,0.159,10,0.3,1.41
,16:26:28,4,2700,283,1.51,13.3,9,-8,0.164,10,0.3,1.41
,16:26:29,4,2700,284,1.51,13.3,9,-8,0.169,10,0.3,1.42
,16:26:30,4,2700,285,1.51,13.3,9,-8,0.169,10,0.3,1.42
,16:26:31,4,2700,286,1.52,13.3,9,-8,0.169,10,0.3,1.42
,16:26:32,4,2700,287,1.52,13.3,9,-8,0.174,10,0.3,1.42
,16:26:33,4,2700,288,1.52,13.3,9,-8,0.174,10,0.3,1.42
,16:26:34,4,2700,289,1.52,13.3,9,-8,0.17,10,0.3,1.42
,16:26:35,4,2700,290,1.52,13.3,9,-8,0.165,10,0.3,1.42
,16:26:36,4,2700,291,1.52,13.3,9,-8,0.165,10,0.3,1.42
,16:26:37,4,2700,292,1.51,13.3,9,-8,0.164,10,0.3,1.42
,16:26:38,4,2700,293,1.51,13.3,9,-8.1,0.168,10,0.3,1.41
,16:26:39,4,2700,294,1.51,13.3,9,-8.1,0.168,10,0.3,1.41
,16:26:40,4,2700,295,1.51,13.3,9,-8.1,0.168,10,0.3,1.41
,16:26:41,4,2700,296,1.51,13.3,9,-8.1,0.168,10,0.3,1.41
,16:26:42,4,2700,297,1.51,13.3,9,-8.1,0.168,10,0.3,1.41
,16:26:43,4,2700,298,1.51,13.3,9,-8.1,0.169,10,0.3,1.41
,16:26:44,4,2700,299,1.51,13.3,9,-8.1,0.169,10,0.3,1.42
,16:26:45,4,2700,300,1.51,13.3,9,-8.1,0.164,10,0.3,1.42
,16:26:46,4,2700,301,1.51,13.3,9,-8.1,0.164,10,0.3,1.42
,16:26:47,4,2700,302,1.51,13.3,9,-8.1,0.169,10,0.3,1.42
,16:26:48,4,2700,303,1.51,13.3,9,-8.1,0.169,10,0.3,1.42
,16:26:49,4,2700,304,1.52,13.3,9,-8.1,0.165,10,0.3,1.42
,16:26:50,4,2700,305,1.52,13.3,9,-8.1,0.17,10,0.3,1.42
,16:26:51,4,2700,306,1.53,13.3,9,-8.1,0.17,10,0.3,1.43
,16:26:52,4,2700,307,1.53,13.3,9,-8.1,0.171,10,0.3,1.44
,16:26:53,4,2700,308,1.54,13.3,9,-8.2,0.171,10,0.3,1.44
,16:26:54,4,2700,309,1.54,13.3,9,-8.2,0.172,10,0.3,1.44
,16:26:55,4,2700,310,1.55,13.3,9,-8.2,0.172,10,0.3,1.45
,16:26:56,4,2700,311,1.55,13.3,9,-8.2,0.168,10,0.3,1.45
,16:26:57,4,2700,312,1.55,13.3,9,-8.2,0.168,10,0.3,1.45
,16:26:58,4,2700,313,1.55,13.3,9,-8.2,0.168,10,0.3,1.45
,16:26:59,4,2700,314,1.55,13.3,9,-8.2,0.172,10,0.3,1.45
,16:27:00,4,2700,315,1.55,13.3,9,-8.2,0.173,10,0.3,1.45
,16:27:01,4,2700,316,1.55,13.3,9,-8.2,0.178,10,0.3,1.45
,16:27:02,4,2700,317,1.55,13.3,9,-8.2,0.173,10,0.3,1.46
,16:27:03,4,2700,318,1.55,13.3,9,-8.2,0.173,10,0.3,1.46
,16:27:04,4,2700,319,1.56,13.3,9,-8.2,0.174,10,0.3,1.46
,16:27:05,4,2700,320,1.57,13.3,9,-8.3,0.174,10,0.3,1.47
,16:27:06,4,2700,321,1.57,13.3,9,-8.3,0.175,10,0.3,1.47
,16:27:07,4,2700,322,1.58,13.3,9,-8.3,0.171,10,0.3,1.48
,16:27:08,4,2700,323,1.58,13.3,9,-8.3,0.171,10,0.3,1.48
,16:27:09,4,2700,324,1.58,13.3,9,-8.3,0.166,10,0.3,1.48
,16:27:10,4,2700,325,1.57,13.3,9,-8.3,0.17,10,0.3,1.47
,16:27:11,4,2700,326,1.57,13.3,9,-8.3,0.175,10,0.3,1.47
,16:27:12,4,2700,327,1.58,13.3,9,-8.3,0.176,10,0.3,1.48
,16:27:13,4,2700,328,1.57,13.3,9,-8.4,0.175,10,0.3,1.47
,16:27:14,4,2700,329,1.57,13.3,9,-8.4,0.175,10,0.3,1.47
,16:27:15,4,2700,330,1.57,13.3,9,-8.4,0.175,10,0.3,1.47
,16:27:16,4,2700,331,1.57,13.3,9,-8.4,0.175,10,0.3,1.47
,16:27:17,4,2700,332,1.57,13.3,9,-8.4,0.17,10,0.3,1.47
,16:27:18,4,2700,333,1.57,13.3,9,-8.4,0.17,10,0.3,1.47
,16:27:19,4,2700,334,1.57,13.3,9,-8.5,0.17,10,0.3,1.47
,16:27:20,4,2700,335,1.56,13.3,9,-8.5,0.165,10,0.3,1.46
,16:27:21,4,2700,336,1.56,13.3,9,-8.5,0.164,10,0.3,1.46
,16:27:22,4,2700,337,1.56,13.3,9,-8.5,0.169,10,0.3,1.46
,16:27:23,4,2700,338,1.57,13.3,9,-8.5,0.174,10,0.3,1.47
,16:27:24,4,2700,339,1.57,13.3,9,-8.5,0.174,10,0.3,1.46
,16:27:25,4,2700,340,1.56,13.3,9,-8.5,0.179,10,0.3,1.46
,16:27:26,4,2700,341,1.56,13.3,9,-8.6,0.174,10,0.3,1.46
,16:27:27,4,2700,342,1.55,13.3,9,-8.6,0.173,10,0.3,1.45
,16:27:28,4,2700,343,1.54,13.3,9,-8.6,0.172,10,0.3,1.44
,16:27:29,4,2700,344,1.54,13.3,9,-8.6,0.171,10,0.3,1.44
,16:27:30,4,2700,345,1.53,13.3,9,-8.6,0.171,10,0.3,1.43
,16:27:31,4,2700,346,1.53,13.3,9,-8.6,0.171,10,0.3,1.43
,16:27:32,4,2700,347,1.53,13.3,9,-8.6,0.171,10,0.3,1.44
,16:27:33,4,2700,348,1.54,13.3,9,-8.6,0.172,10,0.3,1.44
,16:27:34,4,2700,349,1.54,13.3,9,-8.6,0.172,10,0.3,1.45
,16:27:35,4,2700,350,1.55,13.3,9,-8.7,0.168,10,0.3,1.45
,16:27:36,4,2700,351,1.55,13.3,9,-8.7,0.168,10,0.3,1.45
,16:27:37,4,2700,352,1.55,13.3,9,-8.7,0.168,10,0.3,1.46
,16:27:38,4,2700,353,1.55,13.3,9,-8.7,0.173,10,0.3,1.46
,16:27:39,4,2700,354,1.55,13.3,9,-8.7,0.173,10,0.3,1.45
,16:27:40,4,2700,355,1.55,13.3,9,-8.7,0.172,10,0.2,1.45
,16:27:41,4,2700,356,1.55,13.3,9,-8.7,0.172,10,0.3,1.45
,16:27:42,4,2700,357,1.55,13.3,9,-8.7,0.173,10,0.3,1.45
,16:27:43,4,2700,358,1.55,13.3,9,-8.7,0.173,10,0.3,1.46
,16:27:44,4,2700,359,1.56,13.3,9,-8.7,0.174,10,0.3,1.46
,16:27:45,4,2700,360,1.56,13.3,9,-8.7,0.174,10,0.3,1.46
,16:27:46,4,2700,361,1.56,13.3,9,-8.7,0.174,10,0.3,1.46
,16:27:47,4,2700,362,1.55,13.3,9,-8.7,0.173,10,0.3,1.46
,16:27:48,4,2700,363,1.55,13.3,9,-8.8,0.173,10,0.3,1.46
,16:27:49,4,2700,364,1.56,13.3,9,-8.8,0.174,10,0.3,1.46
,16:27:50,4,2700,365,1.57,13.3,9,-8.8,0.175,10,0.3,1.47
,16:27:51,4,2700,366,1.57,13.3,9,-8.8,0.175,10,0.3,1.47
,16:27:52,4,2700,367,1.58,13.3,9,-8.8,0.171,10,0.3,1.48
,16:27:53,4,2700,368,1.58,13.3,9,-8.8,0.166,10,0.3,1.48
,16:27:54,4,2700,369,1.58,13.3,9,-8.8,0.166,10,0.3,1.48
,16:27:55,4,2700,370,1.58,13.3,9,-8.8,0.171,10,0.3,1.48
,16:27:56,4,2700,371,1.57,13.3,9,-8.8,0.17,10,0.3,1.47
,16:27:57,4,2700,372,1.57,13.3,9,-8.8,0.174,10,0.3,1.46
,16:27:58,4,2700,373,1.56,13.3,9,-8.8,0.179,10,0.3,1.46
,16:27:59,4,2700,374,1.56,13.3,9,-8.8,0.179,10,0.3,1.46
,16:28:00,4,2700,375,1.56,13.3,9,-8.8,0.179,10,0.3,1.46
,16:28:01,4,2700,376,1.56,13.3,9,-8.8,0.174,10,0.3,1.46
,16:28:02,4,2700,377,1.56,13.3,9,-8.9,0.174,10,0.3,1.46
,16:28:03,4,2700,378,1.56,13.3,9,-8.9,0.174,10,0.3,1.46
,16:28:04,4,2700,379,1.56,13.3,9,-8.9,0.174,10,0.3,1.46
,16:28:05,4,2700,380,1.57,13.3,9,-8.9,0.174,10,0.3,1.47
,16:28:06,4,2700,381,1.57,13.3,9,-8.9,0.174,10,0.3,1.47
,16:28:07,4,2700,382,1.57,13.3,9,-8.9,0.18,10,0.3,1.47
,16:28:08,4,2700,383,1.57,13.3,9,-8.9,0.175,10,0.3,1.47
,16:28:09,4,2700,384,1.57,13.3,9,-8.9,0.18,10,0.3,1.47
,16:28:10,4,2700,385,1.58,13.3,9,-8.9,0.176,10,0.3,1.48
,16:28:11,4,2700,386,1.58,13.3,9,-8.9,0.176,10,0.3,1.48
,16:28:12,4,2700,387,1.58,13.3,9,-8.9,0.182,10,0.3,1.48
,16:28:13,4,2700,388,1.59,13.3,9,-8.9,0.182,10,0.3,1.48
,16:28:14,4,2700,389,1.59,13.3,9,-8.9,0.182,10,0.3,1.49
,16:28:15,4,2700,390,1.59,13.3,9,-8.9,0.177,10,0.3,1.49
,16:28:16,4,2700,391,1.59,13.3,9,-8.9,0.177,10,0.3,1.49
,16:28:17,4,2700,392,1.59,13.3,9,-8.9,0.177,10,0.3,1.49
,16:28:18,4,2700,393,1.59,13.3,9,-9,0.172,10,0.3,1.49
,16:28:19,4,2700,394,1.59,13.3,9,-9,0.173,10,0.3,1.49
,16:28:20,4,2700,395,1.6,13.3,9,-9,0.173,10,0.3,1.5
,16:28:21,4,2700,396,1.6,13.3,9,-9,0.173,10,0.3,1.5
,16:28:22,4,2700,397,1.6,13.3,9,-9,0.173,10,0.3,1.5
,16:28:23,4,2700,398,1.6,13.3,9,-9,0.178,10,0.3,1.49
,16:28:24,4,2700,399,1.59,13.3,9,-9,0.183,10,0.3,1.49
,16:28:25,4,2700,400,1.59,13.3,9,-9,0.177,10,0.3,1.48
,16:28:26,4,2700,401,1.59,13.3,9,-9,0.177,10,0.3,1.48
,16:28:27,4,2700,402,1.59,13.3,9,-9,0.177,10,0.3,1.48
,16:28:28,4,2700,403,1.59,13.3,9,-9,0.172,10,0.3,1.49
,16:28:29,4,2700,404,1.59,13.3,9,-9,0.177,10,0.3,1.49
,16:28:30,4,2700,405,1.59,13.3,9,-9,0.177,10,0.3,1.49
,16:28:31,4,2700,406,1.59,13.3,9,-9,0.173,10,0.3,1.49
,16:28:32,4,2700,407,1.6,13.3,10,-9,0.164,10,0.3,1.49
,16:28:33,4,2700,408,1.59,13.3,10,-9,0.164,10,0.3,1.49
,16:28:34,4,2700,409,1.59,13.3,9,-9,0.167,10,0.3,1.49
,16:28:35,4,2700,410,1.59,13.3,9,-9,0.172,10,0.3,1.49
,16:28:36,4,2700,411,1.59,13.3,9,-9,0.172,10,0.3,1.48
,16:28:37,4,2700,412,1.58,13.3,9,-9,0.171,10,0.3,1.48
,16:28:38,4,2700,413,1.57,13.3,9,-9,0.175,10,0.3,1.47
,16:28:39,4,2700,414,1.56,13.3,9,-9,0.174,10,0.3,1.46
,16:28:40,4,2700,415,1.55,13.3,9,-9.1,0.178,10,0.3,1.45
,16:28:41,4,2700,416,1.55,13.3,9,-9.1,0.177,10,0.3,1.45
,16:28:42,4,2700,417,1.55,13.3,9,-9.1,0.177,10,0.3,1.45
,16:28:43,4,2700,418,1.55,13.3,9,-9.1,0.173,10,0.3,1.46
,16:28:44,4,2700,419,1.56,13.3,9,-9.1,0.164,10,0.3,1.46
,16:28:45,4,2700,420,1.57,13.3,9,-9.1,0.166,10,0.3,1.47
,16:28:46,4,2700,421,1.57,13.3,9,-9.1,0.17,10,0.3,1.47
,16:28:47,4,2700,422,1.57,13.3,9,-9.1,0.175,10,0.3,1.47
,16:28:48,4,2700,423,1.57,13.3,9,-9.1,0.174,10,0.3,1.47
,16:28:49,4,2700,424,1.56,13.3,9,-9.1,0.174,10,0.3,1.47
,16:28:50,4,2700,425,1.57,13.3,9,-9.1,0.18,10,0.3,1.47
,16:28:51,4,2700,426,1.57,13.3,8,-9.1,0.185,10,0.3,1.47
,16:28:52,4,2700,427,1.57,13.3,9,-9.1,0.18,10,0.3,1.47
,16:28:53,4,2700,428,1.58,13.3,9,-9.1,0.181,10,0.3,1.48
,16:28:54,4,2700,429,1.58,13.3,9,-9.1,0.176,10,0.3,1.48
,16:28:55,4,2700,430,1.59,13.3,9,-9.1,0.177,10,0.3,1.49
,16:28:56,4,2700,431,1.59,13.3,9,-9.1,0.177,10,0.3,1.49
,16:28:57,4,2700,432,1.59,13.3,9,-9.1,0.177,10,0.3,1.48
,16:28:58,4,2700,433,1.58,13.3,9,-9.1,0.171,10,0.3,1.48
,16:28:59,4,2700,434,1.57,13.3,9,-9.1,0.17,10,0.3,1.47
,16:29:00,4,2700,435,1.57,13.3,9,-9.1,0.166,10,0.3,1.47
,16:29:01,4,2700,436,1.57,13.3,9,-9.1,0.166,10,0.3,1.47
,16:29:02,4,2700,437,1.58,13.3,9,-9.1,0.171,10,0.3,1.48
,16:29:03,4,2700,438,1.58,13.3,9,-9.1,0.171,10,0.3,1.48
,16:29:04,4,2700,439,1.57,13.3,9,-9.1,0.175,10,0.3,1.47
,16:29:05,4,2700,440,1.56,13.3,9,-9.1,0.179,10,0.3,1.46
,16:29:06,4,2700,441,1.55,13.3,9,-9.1,0.178,10,0.3,1.46
,16:29:07,4,2700,442,1.55,13.3,9,-9.1,0.178,10,0.3,1.46
,16:29:08,4,2700,443,1.56,13.3,9,-9.1,0.179,10,0.3,1.46
,16:29:09,4,2700,444,1.56,13.3,9,-9.1,0.179,10,0.3,1.46
,16:29:10,4,2700,445,1.56,13.3,9,-9.1,0.179,10,0.3,1.46
,16:29:11,4,2700,446,1.57,13.3,9,-9.1,0.175,10,0.3,1.47
,16:29:12,4,2700,447,1.58,13.3,9,-9.1,0.181,10,0.3,1.48
,16:29:13,4,2700,448,1.59,13.3,9,-9.1,0.182,10,0.3,1.48
,16:29:14,4,2700,449,1.59,13.3,9,-9.1,0.177,10,0.3,1.49
,16:29:15,4,2700,450,1.59,13.3,9,-9.1,0.173,10,0.3,1.49
,16:29:16,4,2700,451,1.59,13.3,9,-9.1,0.173,10,0.3,1.49
,16:29:17,4,2700,452,1.59,13.3,9,-9.1,0.172,10,0.3,1.49
,16:29:18,4,2700,453,1.59,13.3,9,-9.1,0.177,10,0.3,1.48
,16:29:19,4,2700,454,1.58,13.3,9,-9.1,0.176,10,0.3,1.48
,16:29:20,4,2700,455,1.59,13.3,9,-9.1,0.177,10,0.3,1.48
,16:29:21,4,2700,456,1.58,13.3,9,-9.1,0.176,10,0.3,1.48
,16:29:22,4,2700,457,1.58,13.3,9,-9.1,0.176,10,0.3,1.48
,16:29:23,4,2700,458,1.58,13.3,9,-9.1,0.176,10,0.3,1.48
,16:29:24,4,2700,459,1.58,13.3,9,-9.1,0.176,10,0.3,1.48
,16:29:25,4,2700,460,1.58,13.3,9,-9.1,0.171,10,0.3,1.48
,16:29:26,4,2700,461,1.58,13.3,9,-9.1,0.171,10,0.3,1.48
,16:29:27,4,2700,462,1.58,13.3,9,-9.1,0.171,10,0.3,1.48
,16:29:28,4,2700,463,1.58,13.3,9,-9.2,0.167,10,0.3,1.48
,16:29:29,4,2700,464,1.58,13.3,9,-9.2,0.171,10,0.3,1.48
,16:29:30,4,2700,465,1.58,13.3,9,-9.2,0.172,10,0.3,1.48
,16:29:31,4,2700,466,1.59,13.3,9,-9.2,0.172,10,0.3,1.48
,16:29:32,4,2700,467,1.58,13.3,9,-9.2,0.172,10,0.3,1.48
,16:29:33,4,2700,468,1.58,13.3,9,-9.2,0.172,10,0.3,1.48
,16:29:34,4,2700,469,1.58,13.3,9,-9.2,0.171,10,0.3,1.48
,16:29:35,4,2700,470,1.57,13.3,9,-9.2,0.17,10,0.3,1.47
,16:29:36,4,2700,471,1.56,13.3,9,-9.2,0.174,10,0.3,1.46
,16:29:37,4,2700,472,1.55,13.3,9,-9.2,0.173,10,0.3,1.46
,16:29:38,4,2700,473,1.55,13.3,9,-9.2,0.168,10,0.3,1.45
,16:29:39,4,2700,474,1.55,13.3,9,-9.2,0.173,10,0.3,1.45
,16:29:40,4,2700,475,1.55,13.3,9,-9.2,0.173,10,0.3,1.45
,16:29:41,4,2700,476,1.55,13.3,9,-9.2,0.173,10,0.3,1.45
,16:29:42,4,2700,477,1.54,13.3,9,-9.2,0.172,10,0.3,1.44
,16:29:43,4,2700,478,1.54,13.3,9,-9.2,0.172,10,0.3,1.44
,16:29:44,4,2700,479,1.54,13.3,9,-9.2,0.172,10,0.3,1.44
,16:29:45,4,2700,480,1.54,13.3,9,-9.2,0.176,10,0.3,1.44
,16:29:46,4,2700,481,1.54,13.3,9,-9.2,0.171,10,0.3,1.44
,16:29:47,4,2700,482,1.54,13.3,9,-9.2,0.167,10,0.3,1.44
,16:29:48,4,2700,483,1.54,13.3,9,-9.2,0.167,10,0.3,1.44
,16:29:49,4,2700,484,1.54,13.3,9,-9.2,0.172,10,0.3,1.44
,16:29:50,4,2700,485,1.54,13.3,9,-9.2,0.176,10,0.3,1.44
,16:29:51,4,2700,486,1.54,13.3,9,-9.2,0.176,10,0.3,1.44
,16:29:52,4,2700,487,1.54,13.3,9,-9.2,0.177,10,0.3,1.44
,16:29:53,4,2700,488,1.54,13.3,9,-9.2,0.172,10,0.3,1.45
,16:29:54,4,2700,489,1.55,13.3,9,-9.2,0.173,10,0.3,1.45
,16:29:55,4,2700,490,1.55,13.3,9,-9.2,0.173,10,0.3,1.45
,16:29:56,4,2700,491,1.55,13.3,9,-9.2,0.168,10,0.3,1.45
,16:29:57,4,2700,492,1.55,13.3,9,-9.2,0.168,10,0.3,1.45
,16:29:58,4,2700,493,1.55,13.3,9,-9.1,0.168,10,0.3,1.46
,16:29:59,4,2700,494,1.56,13.3,9,-9.1,0.174,10,0.3,1.46
,16:30:00,4,2700,495,1.56,13.3,9,-9.1,0.174,10,0.3,1.46
,16:30:01,4,2700,496,1.56,13.3,9,-9.1,0.179,10,0.3,1.46
,16:30:02,4,2700,497,1.55,13.3,9,-9.1,0.178,10,0.3,1.45
,16:30:03,4,2700,498,1.54,13.3,9,-9.1,0.177,10,0.3,1.45
,16:30:04,4,2700,499,1.54,13.3,9,-9.1,0.177,10,0.3,1.45
,16:30:05,4,2700,500,1.55,13.3,9,-9.1,0.168,10,0.3,1.45
,16:30:06,4,2700,501,1.56,13.3,9,-9.1,0.164,10,0.3,1.46
,16:30:07,4,2700,502,1.57,13.3,9,-9.1,0.17,10,0.3,1.47
,16:30:08,4,2700,503,1.57,13.3,9,-9.1,0.175,10,0.3,1.47
,16:30:09,4,2700,504,1.57,13.3,9,-9.1,0.175,10,0.3,1.47
,16:30:10,4,2700,505,1.57,13.3,9,-9.1,0.17,10,0.3,1.47
,16:30:11,4,2700,506,1.57,13.3,9,-9.1,0.17,10,0.3,1.47
,16:30:12,4,2700,507,1.57,13.3,9,-9.1,0.174,10,0.3,1.47
,16:30:13,4,2700,508,1.56,13.3,9,-9.1,0.174,10,0.3,1.46
,16:30:14,4,2700,509,1.56,13.3,9,-9.1,0.174,10,0.3,1.46
,16:30:15,4,2700,510,1.56,13.3,9,-9.1,0.174,10,0.3,1.46
,16:30:16,4,2700,511,1.57,13.3,9,-9.1,0.17,10,0.3,1.47
,16:30:17,4,2700,512,1.56,13.3,9,-9,0.169,10,0.3,1.46
,16:30:18,4,2700,513,1.55,13.3,9,-9,0.173,10,0.3,1.45
,16:30:19,4,2700,514,1.54,13.3,9,-9,0.172,10,0.3,1.44
,16:30:20,4,2700,515,1.54,13.3,9,-9,0.176,10,0.3,1.44
,16:30:21,4,2700,516,1.54,13.3,9,-9,0.176,10,0.3,1.44
,16:30:22,4,2700,517,1.53,13.3,9,-9,0.171,10,0.3,1.44
,16:30:23,4,2700,518,1.53,13.3,9,-9,0.171,10,0.3,1.44
,16:30:24,4,2700,519,1.53,13.3,9,-9,0.171,10,0.3,1.44
,16:30:25,4,2700,520,1.53,13.3,9,-9,0.166,10,0.3,1.43
,16:30:26,4,2700,521,1.53,13.3,9,-9,0.166,10,0.3,1.43
,16:30:27,4,2700,522,1.53,13.3,9,-9,0.17,10,0.3,1.43
,16:30:28,4,2700,523,1.53,13.3,9,-9,0.17,10,0.3,1.43
,16:30:29,4,2700,524,1.53,13.3,9,-9,0.176,10,0.3,1.44
,16:30:30,4,2700,525,1.54,13.3,9,-9,0.176,10,0.3,1.44
,16:30:31,4,2700,526,1.53,13.3,9,-9,0.176,10,0.3,1.44
,16:30:32,4,2700,527,1.53,13.3,9,-9,0.171,10,0.3,1.43
,16:30:33,4,2700,528,1.53,13.3,9,-9,0.161,10,0.3,1.43
,16:30:34,4,2700,529,1.53,13.3,9,-9,0.161,10,0.3,1.43
,16:30:35,4,2700,530,1.54,13.3,9,-9,0.171,10,0.3,1.44
,16:30:36,4,2700,531,1.54,13.3,9,-9,0.172,10,0.3,1.44
,16:30:37,4,2700,532,1.54,13.3,9,-8.9,0.172,10,0.3,1.44
,16:30:38,4,2700,533,1.54,13.3,9,-8.9,0.171,10,0.3,1.44
,16:30:39,4,2700,534,1.54,13.3,9,-8.9,0.177,10,0.3,1.44
,16:30:40,4,2700,535,1.54,13.3,9,-8.9,0.172,10,0.3,1.45
,16:30:41,4,2700,536,1.54,13.3,9,-8.9,0.167,10,0.3,1.45
,16:30:42,4,2700,537,1.55,13.3,9,-8.9,0.168,10,0.3,1.45
,16:30:43,4,2700,538,1.54,13.3,9,-8.9,0.172,10,0.3,1.45
,16:30:44,4,2700,539,1.54,13.3,9,-8.9,0.172,10,0.3,1.44
,16:30:45,4,2700,540,1.54,13.3,9,-8.9,0.172,10,0.3,1.44
,16:30:46,4,2700,541,1.54,13.3,9,-8.9,0.172,10,0.3,1.44
,16:30:47,4,2700,542,1.54,13.3,9,-8.9,0.172,10,0.3,1.44
,16:30:48,4,2700,543,1.54,13.3,9,-8.8,0.172,10,0.3,1.45
,16:30:49,4,2700,544,1.54,13.3,9,-8.8,0.167,10,0.3,1.45
,16:30:50,4,2700,545,1.55,13.3,9,-8.8,0.168,10,0.3,1.45
,16:30:51,4,2700,546,1.55,13.3,9,-8.8,0.173,10,0.3,1.45
,16:30:52,4,2700,547,1.55,13.3,9,-8.8,0.178,10,0.3,1.45
,16:30:53,4,2700,548,1.55,13.3,9,-8.8,0.172,10,0.3,1.45
,16:30:54,4,2700,549,1.54,13.3,9,-8.8,0.177,10,0.3,1.45
,16:30:55,4,2700,550,1.54,13.3,9,-8.8,0.172,10,0.3,1.45
,16:30:56,4,2700,551,1.55,13.3,9,-8.8,0.172,10,0.3,1.45
,16:30:57,4,2700,552,1.55,13.3,9,-8.8,0.173,10,0.3,1.45
,16:30:58,4,2700,553,1.55,13.3,9,-8.8,0.173,10,0.3,1.45
,16:30:59,4,2700,554,1.55,13.3,9,-8.8,0.173,10,0.3,1.45
,16:31:00,4,2700,555,1.54,13.3,9,-8.8,0.172,10,0.3,1.45
,16:31:01,4,2700,556,1.54,13.3,9,-8.7,0.172,10,0.3,1.44
,16:31:02,4,2700,557,1.54,13.3,9,-8.7,0.172,10,0.3,1.44
,16:31:03,4,2700,558,1.54,13.3,9,-8.7,0.172,10,0.3,1.45
,16:31:04,4,2700,559,1.55,13.3,9,-8.7,0.173,10,0.3,1.45
,16:31:05,4,2700,560,1.55,13.3,9,-8.7,0.168,10,0.3,1.46
,16:31:06,4,2700,561,1.56,13.3,9,-8.7,0.164,10,0.3,1.46
,16:31:07,4,2700,562,1.56,13.3,9,-8.7,0.169,10,0.3,1.46
