Data file,,HONEDPEEK_ISO10_-8C_003.TSV,,,,,,,,,,
,10:07:17,4,3600,2209.8,1.36,13.3,7,-7.9,0.204,10,0.1,1.28
,10:07:18,4,3600,2210.8,1.36,13.3,7,-7.9,0.197,10,0.1,1.27
,10:07:19,4,3600,2211.8,1.36,13.3,7,-7.9,0.19,10,0.1,1.27
,10:07:20,4,3600,2212.8,1.36,13.3,7,-7.9,0.19,10,0.1,1.28
,10:07:21,4,3600,2213.8,1.36,13.3,7,-7.9,0.196,10,0.1,1.27
,10:07:22,4,3600,2214.8,1.35,13.3,7,-7.9,0.195,10,0.1,1.27
,10:07:23,4,3600,2215.8,1.35,13.3,7,-7.9,0.194,10,0.1,1.26
,10:07:24,4,3600,2216.8,1.34,13.3,7,-7.9,0.202,10,0.1,1.26
,10:07:25,4,3600,2217.8,1.34,13.3,7,-7.9,0.201,10,0.1,1.25
,10:07:26,4,3600,2218.8,1.34,13.3,7,-8,0.2,10,0.1,1.25
,10:07:27,4,3600,2219.8,1.33,13.3,7,-8,0.2,10,0.1,1.25
,10:07:28,4,3600,2220.8,1.33,13.3,7,-8,0.2,10,0.1,1.25
,10:07:29,4,3600,2221.8,1.33,13.3,7,-8,0.199,10,0.1,1.24
,10:07:30,4,3600,2222.8,1.33,13.3,7,-8,0.2,10,0.1,1.25
,10:07:31,4,3600,2223.8,1.34,13.3,7,-8,0.2,10,0.1,1.25
,10:07:32,4,3600,2224.8,1.35,13.3,7,-8,0.194,10,0.1,1.26
,10:07:33,4,3600,2225.8,1.35,13.3,7,-8,0.195,10,0.1,1.26
,10:07:34,4,3600,2226.8,1.34,13.3,7,-8,0.194,10,0.1,1.26
,10:07:35,4,3600,2227.8,1.33,13.3,7,-8,0.185,10,0.1,1.25
,10:07:36,4,3600,2228.8,1.32,13.3,7,-8,0.184,10,0.1,1.23
,10:07:37,4,3600,2229.8,1.31,13.3,7,-8,0.183,10,0.1,1.23
,10:07:38,4,3600,2230.8,1.31,13.3,7,-8,0.182,10,0.1,1.22
,10:07:39,4,3600,2231.8,1.31,13.3,7,-8,0.189,10,0.1,1.23
,10:07:40,4,3600,2232.8,1.31,13.3,7,-8,0.196,10,0.1,1.23
,10:07:41,4,3600,2233.8,1.31,13.3,7,-8,0.189,10,0.1,1.23
,10:07:42,4,3600,2234.8,1.31,13.3,7,-8,0.196,10,0.1,1.22
,10:07:43,4,3600,2235.8,1.3,13.3,7,-8,0.196,10,0.1,1.22
,10:07:44,4,3600,2236.8,1.3,13.3,7,-8,0.195,10,0.1,1.22
,10:07:45,4,3600,2237.8,1.3,13.3,7,-8,0.195,10,0.1,1.22
,10:07:46,4,3600,2238.8,1.3,13.3,7,-8,0.195,10,0.1,1.22
,10:07:47,4,3600,2239.8,1.3,13.3,7,-8,0.195,10,0.1,1.22
,10:07:48,4,3600,2240.8,1.3,13.3,7,-8,0.181,10,0.1,1.21
,10:07:49,4,3600,2241.8,1.29,13.3,7,-8,0.18,10,0.1,1.21
,10:07:50,4,3600,2242.8,1.29,13.3,7,-8,0.186,10,0.1,1.2
,10:07:51,4,3600,2243.8,1.28,13.3,7,-8,0.193,10,0.1,1.2
,10:07:52,4,3600,2244.8,1.28,13.3,7,-8,0.193,10,0.1,1.2
,10:07:53,4,3600,2245.8,1.28,13.3,7,-8,0.185,10,0.1,1.2
,10:07:54,4,3600,2246.8,1.28,13.3,7,-8,0.192,10,0.1,1.2
,10:07:55,4,3600,2247.8,1.27,13.3,7,-8,0.191,10,0.1,1.19
,10:07:56,4,3600,2248.8,1.27,13.3,7,-8,0.19,10,0.1,1.19
,10:07:57,4,3600,2249.8,1.26,13.3,7,-8,0.19,10,0.1,1.18
,10:07:58,4,3600,2250.8,1.27,13.3,7,-8,0.19,10,0.1,1.19
,10:07:59,4,3600,2251.8,1.27,13.3,7,-8,0.183,10,0.1,1.19
,10:08:00,4,3600,2252.8,1.27,13.3,7,-8,0.176,10,0.1,1.19
,10:08:01,4,3600,2253.8,1.27,13.3,7,-8,0.176,10,0.1,1.19
,10:08:02,4,3600,2254.8,1.27,13.3,7,-8,0.183,10,0.1,1.19
,10:08:03,4,3600,2255.8,1.27,13.3,7,-8,0.19,10,0.1,1.19
,10:08:04,4,3600,2256.8,1.27,13.3,7,-8,0.19,10,0.1,1.19
,10:08:05,4,3600,2257.8,1.27,13.3,7,-8,0.183,10,0.1,1.19
,10:08:06,4,3600,2258.8,1.27,13.3,7,-8,0.183,10,0.1,1.19
,10:08:07,4,3600,2259.8,1.27,13.3,7,-7.9,0.183,10,0.1,1.19
,10:08:08,4,3600,2260.8,1.26,13.3,7,-7.9,0.19,10,0.1,1.18
,10:08:09,4,3600,2261.8,1.26,13.3,7,-7.9,0.188,10,0.1,1.18
,10:08:10,4,3600,2262.8,1.26,13.3,7,-7.9,0.188,10,0.1,1.18
,10:08:11,4,3600,2263.8,1.25,13.3,7,-7.9,0.181,10,0.1,1.17
,10:08:12,4,3600,2264.8,1.25,13.3,7,-7.9,0.175,10,0.1,1.17
,10:08:13,4,3600,2265.8,1.25,13.3,7,-7.9,0.174,10,0.1,1.17
,10:08:14,4,3600,2266.8,1.25,13.3,7,-7.9,0.168,10,0.1,1.17
,10:08:15,4,3600,2267.8,1.25,13.3,7,-7.9,0.174,10,0.1,1.17
,10:08:16,4,3600,2268.8,1.25,13.3,7,-7.9,0.181,10,0.1,1.17
,10:08:17,4,3600,2269.8,1.25,13.3,7,-7.9,0.187,10,0.1,1.17
,10:08:18,4,3600,2270.8,1.24,13.3,7,-7.9,0.186,10,0.1,1.16
,10:08:19,4,3600,2271.8,1.24,13.3,7,-7.9,0.186,10,0.1,1.16
,10:08:20,4,3600,2272.8,1.24,13.3,7,-7.9,0.186,10,0.1,1.16
,10:08:21,4,3600,2273.8,1.24,13.3,7,-7.9,0.179,10,0.1,1.16
,10:08:22,4,3600,2274.8,1.24,13.3,7,-7.9,0.179,10,0.1,1.16
,10:08:23,4,3600,2275.8,1.24,13.3,7,-7.9,0.173,10,0.1,1.17
,10:08:24,4,3600,2276.8,1.25,13.3,7,-7.9,0.175,10,0.1,1.17
,10:08:25,4,3600,2277.8,1.25,13.3,7,-7.9,0.175,10,0.1,1.17
,10:08:26,4,3600,2278.8,1.24,13.3,7,-7.9,0.18,10,0.1,1.16
,10:08:27,4,3600,2279.8,1.23,13.3,7,-7.9,0.178,10,0.1,1.15
,10:08:28,4,3600,2280.8,1.22,13.3,7,-7.8,0.177,10,0.1,1.14
,10:08:29,4,3600,2281.8,1.22,13.3,7,-7.8,0.177,10,0.1,1.14
,10:08:30,4,3600,2282.8,1.22,13.3,7,-7.8,0.176,10,0.1,1.14
,10:08:31,4,3600,2283.8,1.21,13.3,7,-7.8,0.182,10,0.1,1.13
,10:08:32,4,3600,2284.8,1.21,13.3,7,-7.8,0.181,10,0.1,1.13
,10:08:33,4,3600,2285.8,1.2,13.3,7,-7.8,0.181,10,0.1,1.13
,10:08:34,4,3600,2286.8,1.21,13.3,7,-7.8,0.181,10,0.1,1.13
,10:08:35,4,3600,2287.8,1.22,13.3,7,-7.8,0.176,10,0.1,1.14
,10:08:36,4,3600,2288.8,1.22,13.3,7,-7.8,0.176,10,0.1,1.14
,10:08:37,4,3600,2289.8,1.21,13.3,7,-7.8,0.175,10,0.1,1.14
,10:08:38,4,3600,2290.8,1.21,13.3,7,-7.8,0.174,10,0.1,1.13
,10:08:39,4,3600,2291.8,1.2,13.3,7,-7.8,0.174,10,0.1,1.13
,10:08:40,4,3600,2292.8,1.2,13.3,7,-7.8,0.173,10,0.1,1.12
,10:08:41,4,3600,2293.8,1.2,13.3,7,-7.8,0.167,10,0.1,1.12
,10:08:42,4,3600,2294.8,1.19,13.3,7,-7.8,0.172,10,0.1,1.12
,10:08:43,4,3600,2295.8,1.19,13.3,7,-7.8,0.172,10,0.1,1.12
,10:08:44,4,3600,2296.8,1.2,13.3,7,-7.8,0.173,10,0.1,1.12
,10:08:45,4,3600,2297.8,1.2,13.3,7,-7.8,0.18,10,0.1,1.12
,10:08:46,4,3600,2298.8,1.2,13.3,7,-7.8,0.181,10,0.1,1.13
,10:08:47,4,3600,2299.8,1.21,13.3,7,-7.8,0.181,10,0.1,1.13
,10:08:48,4,3600,2300.8,1.21,13.3,6,-7.8,0.188,10,0.1,1.13
,10:08:49,4,3600,2301.8,1.21,13.3,6,-7.8,0.188,10,0.1,1.13
,10:08:50,4,3600,2302.8,1.21,13.3,6,-7.8,0.189,10,0.1,1.13
,10:08:51,4,3600,2303.8,1.22,13.3,7,-7.8,0.183,10,0.1,1.14
,10:08:52,4,3600,2304.8,1.22,13.3,7,-7.8,0.177,10,0.1,1.15
,10:08:53,4,3600,2305.8,1.23,13.3,7,-7.8,0.178,10,0.1,1.15
,10:08:54,4,3600,2306.8,1.23,13.3,7,-7.8,0.185,10,0.1,1.16
,10:08:55,4,3600,2307.8,1.24,13.3,7,-7.8,0.185,10,0.1,1.16
,10:08:56,4,3600,2308.8,1.23,13.3,7,-7.8,0.185,10,0.1,1.15
,10:08:57,4,3600,2309.8,1.23,13.3,7,-7.8,0.184,10,0.1,1.15
,10:08:58,4,3600,2310.8,1.22,13.3,7,-7.8,0.184,10,0.1,1.14
,10:08:59,4,3600,2311.8,1.22,13.3,6,-7.8,0.19,10,0.1,1.14
,10:09:00,4,3600,2312.8,1.22,13.3,6,-7.8,0.19,10,0.1,1.14
,10:09:01,4,3600,2313.8,1.23,13.3,7,-7.8,0.185,10,0.1,1.16
,10:09:02,4,3600,2314.8,1.25,13.3,7,-7.8,0.18,10,0.1,1.17
,10:09:03,4,3600,2315.8,1.26,13.3,7,-7.8,0.182,10,0.1,1.18
,10:09:04,4,3600,2316.8,1.26,13.3,7,-7.8,0.176,10,0.1,1.18
,10:09:05,4,3600,2317.8,1.26,13.3,7,-7.8,0.175,10,0.1,1.18
,10:09:06,4,3600,2318.8,1.25,13.3,7,-7.8,0.174,10,0.1,1.17
,10:09:07,4,3600,2319.8,1.24,13.3,7,-7.8,0.173,10,0.1,1.16
,10:09:08,4,3600,2320.8,1.24,13.3,7,-7.8,0.179,10,0.1,1.16
,10:09:09,4,3600,2321.8,1.24,13.3,7,-7.8,0.178,10,0.1,1.16
,10:09:10,4,3600,2322.8,1.23,13.3,7,-7.8,0.185,10,0.1,1.15
,10:09:11,4,3600,2323.8,1.23,13.3,7,-7.8,0.185,10,0.1,1.15
,10:09:12,4,3600,2324.8,1.23,13.3,7,-7.8,0.184,10,0.1,1.15
,10:09:13,4,3600,2325.8,1.23,13.3,7,-7.8,0.184,10,0.1,1.15
,10:09:14,4,3600,2326.8,1.23,13.3,7,-7.8,0.184,10,0.1,1.15
,10:09:15,4,3600,2327.8,1.23,13.3,7,-7.8,0.184,10,0.1,1.15
,10:09:16,4,3600,2328.8,1.24,13.3,7,-7.8,0.179,10,0.1,1.16
,10:09:17,4,3600,2329.8,1.25,13.3,7,-7.8,0.18,10,0.1,1.17
,10:09:18,4,3600,2330.8,1.25,13.3,7,-7.8,0.18,10,0.1,1.17
,10:09:19,4,3600,2331.8,1.24,13.3,7,-7.8,0.179,10,0.1,1.16
,10:09:20,4,3600,2332.8,1.23,13.3,7,-7.8,0.185,10,0.1,1.15
,10:09:21,4,3600,2333.8,1.23,13.3,7,-7.8,0.185,10,0.1,1.15
,10:09:22,4,3600,2334.8,1.24,13.3,7,-7.8,0.178,10,0.1,1.16
,10:09:23,4,3600,2335.8,1.24,13.3,7,-7.8,0.179,10,0.1,1.16
,10:09:24,4,3600,2336.8,1.24,13.3,7,-7.8,0.179,10,0.1,1.16
,10:09:25,4,3600,2337.8,1.23,13.3,7,-7.8,0.171,10,0.1,1.15
,10:09:26,4,3600,2338.8,1.23,13.3,7,-7.8,0.171,10,0.1,1.15
,10:09:27,4,3600,2339.8,1.23,13.3,7,-7.8,0.171,10,0.1,1.15
,10:09:28,4,3600,2340.8,1.23,13.3,7,-7.8,0.165,10,0.1,1.15
,10:09:29,4,3600,2341.8,1.23,13.3,7,-7.8,0.165,10,0.1,1.15
,10:09:30,4,3600,2342.8,1.23,13.3,7,-7.8,0.171,10,0.1,1.15
,10:09:31,4,3600,2343.8,1.21,13.3,7,-7.8,0.169,10,0.1,1.13
,10:09:32,4,3600,2344.8,1.2,13.3,7,-7.8,0.173,10,0.1,1.12
,10:09:33,4,3600,2345.8,1.19,13.3,6,-7.8,0.185,10,0.1,1.11
,10:09:34,4,3600,2346.8,1.18,13.3,6,-7.8,0.184,10,0.1,1.11
,10:09:35,4,3600,2347.8,1.18,13.3,6,-7.8,0.184,10,0.1,1.1
,10:09:36,4,3600,2348.8,1.18,13.3,6,-7.8,0.184,10,0.1,1.1
,10:09:37,4,3600,2349.8,1.18,13.3,6,-7.8,0.185,10,0.1,1.11
,10:09:38,4,3600,2350.8,1.19,13.3,7,-7.8,0.178,10,0.1,1.11
,10:09:39,4,3600,2351.8,1.19,13.3,7,-7.8,0.172,10,0.1,1.12
,10:09:40,4,3600,2352.8,1.2,13.3,7,-7.8,0.173,10,0.1,1.12
,10:09:41,4,3600,2353.8,1.2,13.3,7,-7.8,0.167,10,0.1,1.13
,10:09:42,4,3600,2354.8,1.2,13.3,7,-7.8,0.174,10,0.1,1.13
,10:09:43,4,3600,2355.8,1.2,13.3,7,-7.8,0.174,10,0.1,1.13
,10:09:44,4,3600,2356.8,1.2,13.3,7,-7.8,0.18,10,0.1,1.13
,10:09:45,4,3600,2357.8,1.2,13.3,7,-7.8,0.18,10,0.1,1.12
,10:09:46,4,3600,2358.8,1.2,13.3,7,-7.8,0.179,10,0.1,1.12
,10:09:47,4,3600,2359.8,1.19,13.3,7,-7.8,0.179,10,0.1,1.12
,10:09:48,4,3600,2360.8,1.19,13.3,7,-7.8,0.179,10,0.1,1.12
,10:09:49,4,3600,2361.8,1.19,13.3,7,-7.8,0.178,10,0.1,1.11
,10:09:50,4,3600,2362.8,1.19,13.3,7,-7.8,0.178,10,0.1,1.11
,10:09:51,4,3600,2363.8,1.18,13.3,7,-7.8,0.178,10,0.1,1.11
,10:09:52,4,3600,2364.8,1.19,13.3,7,-7.8,0.178,10,0.1,1.11
,10:09:53,4,3600,2365.8,1.19,13.3,7,-7.8,0.172,10,0.1,1.12
,10:09:54,4,3600,2366.8,1.19,13.3,7,-7.8,0.172,10,0.1,1.12
,10:09:55,4,3600,2367.8,1.19,13.3,7,-7.8,0.172,10,0.1,1.11
,10:09:56,4,3600,2368.8,1.18,13.3,7,-7.8,0.171,10,0.1,1.11
,10:09:57,4,3600,2369.8,1.18,13.3,7,-7.8,0.17,10,0.1,1.1
,10:09:58,4,3600,2370.8,1.18,13.3,7,-7.8,0.17,10,0.1,1.1
,10:09:59,4,3600,2371.8,1.18,13.3,7,-7.8,0.17,10,0.1,1.1
,10:10:00,4,3600,2372.8,1.18,13.3,7,-7.8,0.177,10,0.1,1.11
,10:10:01,4,3600,2373.8,1.18,13.3,7,-7.8,0.177,10,0.1,1.11
,10:10:02,4,3600,2374.8,1.18,13.3,7,-7.8,0.17,10,0.1,1.1
,10:10:03,4,3600,2375.8,1.18,13.3,7,-7.8,0.17,10,0.1,1.1
,10:10:04,4,3600,2376.8,1.17,13.3,7,-7.8,0.163,10,0.1,1.1
,10:10:05,4,3600,2377.8,1.17,13.3,7,-7.8,0.163,10,0.1,1.1
,10:10:06,4,3600,2378.8,1.17,13.3,7,-7.8,0.163,10,0.1,1.09
,10:10:07,4,3600,2379.8,1.17,13.3,7,-7.8,0.162,10,0.1,1.09
,10:10:08,4,3600,2380.8,1.16,13.3,7,-7.8,0.162,10,0.1,1.09
,10:10:09,4,3600,2381.8,1.16,13.3,7,-7.8,0.162,10,0.1,1.09
,10:10:10,4,3600,2382.8,1.16,13.3,7,-7.8,0.161,10,0.1,1.08
,10:10:11,4,3600,2383.8,1.15,13.3,7,-7.9,0.166,10,0.1,1.08
,10:10:12,4,3600,2384.8,1.15,13.3,7,-7.9,0.166,10,0.1,1.08
,10:10:13,4,3600,2385.8,1.15,13.3,7,-7.9,0.172,10,0.1,1.08
,10:10:14,4,3600,2386.8,1.14,13.3,7,-7.9,0.172,10,0.1,1.07
,10:10:15,4,3600,2387.8,1.13,13.3,7,-7.9,0.17,10,0.1,1.06
,10:10:16,4,3600,2388.8,1.13,13.3,6,-7.9,0.176,10,0.1,1.06
,10:10:17,4,3600,2389.8,1.13,13.3,7,-7.9,0.169,10,0.1,1.06
,10:10:18,4,3600,2390.8,1.13,13.3,7,-7.9,0.17,10,0.1,1.06
,10:10:19,4,3600,2391.8,1.14,13.3,6,-7.9,0.178,10,0.1,1.07
,10:10:20,4,3600,2392.8,1.14,13.3,7,-7.9,0.172,10,0.1,1.07
,10:10:21,4,3600,2393.8,1.15,13.3,7,-7.9,0.172,10,0.1,1.07
,10:10:22,4,3600,2394.8,1.15,13.3,7,-7.9,0.172,10,0.1,1.08
,10:10:23,4,3600,2395.8,1.15,13.3,7,-7.9,0.172,10,0.1,1.08
,10:10:24,4,3600,2396.8,1.15,13.3,7,-7.9,0.173,10,0.1,1.08
,10:10:25,4,3600,2397.8,1.15,13.3,6,-7.9,0.18,10,0.1,1.08
,10:10:26,4,3600,2398.8,1.15,13.3,7,-7.9,0.173,10,0.1,1.08
,10:10:27,4,3600,2399.8,1.16,13.3,7,-7.9,0.173,10,0.1,1.08
,10:10:28,4,3600,2400.8,1.16,13.3,7,-7.9,0.174,10,0.1,1.08
,10:10:29,4,3600,2401.8,1.16,13.3,7,-7.9,0.174,10,0.1,1.08
,10:10:30,4,3600,2402.8,1.16,13.3,7,-7.9,0.174,10,0.1,1.09
,10:10:31,4,3600,2403.8,1.17,13.3,7,-7.9,0.175,10,0.1,1.09
,10:10:32,4,3600,2404.8,1.17,13.3,7,-7.9,0.163,10,0.1,1.1
,10:10:33,4,3600,2405.8,1.17,13.3,7,-7.9,0.163,10,0.1,1.09
,10:10:34,4,3600,2406.8,1.16,13.3,7,-7.9,0.162,10,0.1,1.09
,10:10:35,4,3600,2407.8,1.15,13.3,7,-7.9,0.166,10,0.1,1.08
,10:10:36,4,3600,2408.8,1.15,13.3,7,-7.9,0.166,10,0.1,1.07
,10:10:37,4,3600,2409.8,1.15,13.3,7,-7.9,0.166,10,0.1,1.07
,10:10:38,4,3600,2410.8,1.15,13.3,7,-7.9,0.172,10,0.1,1.08
,10:10:39,4,3600,2411.8,1.15,13.3,7,-7.9,0.173,10,0.1,1.08
,10:10:40,4,3600,2412.8,1.16,13.3,7,-7.9,0.173,10,0.1,1.08
,10:10:41,4,3600,2413.8,1.15,13.3,7,-7.9,0.173,10,0.1,1.08
,10:10:42,4,3600,2414.8,1.15,13.3,7,-7.9,0.173,10,0.1,1.08
,10:10:43,4,3600,2415.8,1.15,13.3,7,-7.9,0.173,10,0.1,1.08
,10:10:44,4,3600,2416.8,1.15,13.3,7,-7.9,0.173,10,0.1,1.08
,10:10:45,4,3600,2417.8,1.16,13.3,7,-7.9,0.167,10,0.1,1.08
,10:10:46,4,3600,2418.8,1.15,13.3,7,-7.9,0.161,10,0.1,1.08
,10:10:47,4,3600,2419.8,1.15,13.3,7,-7.9,0.155,10,0.1,1.08
,10:10:48,4,3600,2420.8,1.15,13.3,7,-7.9,0.16,10,0.1,1.08
,10:10:49,4,3600,2421.8,1.15,13.3,7,-7.9,0.166,10,0.1,1.07
,10:10:50,4,3600,2422.8,1.15,13.3,7,-7.9,0.166,10,0.1,1.07
,10:10:51,4,3600,2423.8,1.15,13.3,7,-7.9,0.166,10,0.1,1.07
,10:10:52,4,3600,2424.8,1.15,13.3,7,-7.9,0.166,10,0.1,1.08
,10:10:53,4,3600,2425.8,1.15,13.3,7,-7.9,0.166,10,0.1,1.08
,10:10:54,4,3600,2426.8,1.15,13.3,7,-7.9,0.166,10,0.1,1.08
,10:10:55,4,3600,2427.8,1.14,13.3,7,-7.9,0.171,10,0.1,1.07
,10:10:56,4,3600,2428.8,1.13,13.3,7,-7.9,0.17,10,0.1,1.06
,10:10:57,4,3600,2429.8,1.13,13.3,7,-7.9,0.169,10,0.1,1.06
,10:10:58,4,3600,2430.8,1.12,13.3,6,-7.9,0.175,10,0.1,1.05
,10:10:59,4,3600,2431.8,1.12,13.3,7,-7.9,0.169,10,0.1,1.05
,10:11:00,4,3600,2432.8,1.13,13.3,7,-7.9,0.169,10,0.1,1.06
,10:11:01,4,3600,2433.8,1.13,13.3,7,-7.9,0.164,10,0.1,1.06
,10:11:02,4,3600,2434.8,1.14,13.3,7,-7.9,0.164,10,0.1,1.06
,10:11:03,4,3600,2435.8,1.14,13.3,7,-7.9,0.159,10,0.1,1.06
,10:11:04,4,3600,2436.8,1.14,13.3,7,-7.9,0.153,10,0.1,1.06
,10:11:05,4,3600,2437.8,1.13,13.3,7,-7.9,0.153,10,0.1,1.06
,10:11:06,4,3600,2438.8,1.13,13.3,7,-7.9,0.163,10,0.1,1.06
,10:11:07,4,3600,2439.8,1.12,13.3,7,-7.9,0.168,10,0.1,1.05
,10:11:08,4,3600,2440.8,1.11,13.3,7,-8,0.167,10,0.1,1.04
,10:11:09,4,3600,2441.8,1.11,13.3,7,-8,0.167,10,0.1,1.04
,10:11:10,4,3600,2442.8,1.12,13.3,6,-8,0.174,10,0.1,1.05
,10:11:11,4,3600,2443.8,1.12,13.3,7,-8,0.168,10,0.1,1.05
,10:11:12,4,3600,2444.8,1.12,13.3,7,-8,0.169,10,0.1,1.05
,10:11:13,4,3600,2445.8,1.13,13.3,7,-8,0.169,10,0.1,1.05
,10:11:14,4,3600,2446.8,1.13,13.3,7,-8,0.169,10,0.1,1.06
,10:11:15,4,3600,2447.8,1.13,13.3,7,-8,0.169,10,0.1,1.06
,10:11:16,4,3600,2448.8,1.13,13.3,7,-8,0.163,10,0.1,1.06
,10:11:17,4,3600,2449.8,1.13,13.3,7,-8,0.158,10,0.1,1.06
,10:11:18,4,3600,2450.8,1.13,13.3,7,-8,0.164,10,0.1,1.06
,10:11:19,4,3600,2451.8,1.13,13.3,7,-8,0.169,10,0.1,1.06
,10:11:20,4,3600,2452.8,1.12,13.3,7,-8,0.169,10,0.1,1.05
,10:11:21,4,3600,2453.8,1.12,13.3,7,-8,0.169,10,0.1,1.05
,10:11:22,4,3600,2454.8,1.13,13.3,7,-8,0.169,10,0.1,1.06
,10:11:23,4,3600,2455.8,1.13,13.3,7,-8,0.169,10,0.1,1.06
,10:11:24,4,3600,2456.8,1.13,13.3,7,-8,0.169,10,0.1,1.06
,10:11:25,4,3600,2457.8,1.12,13.3,7,-8,0.162,10,0.1,1.05
,10:11:26,4,3600,2458.8,1.12,13.3,7,-8,0.162,10,0.1,1.05
,10:11:27,4,3600,2459.8,1.12,13.3,7,-8,0.162,10,0.1,1.05
,10:11:28,4,3600,2460.8,1.12,13.3,7,-8,0.162,10,0.1,1.05
,10:11:29,4,3600,2461.8,1.12,13.3,7,-8,0.169,10,0.1,1.05
,10:11:30,4,3600,2462.8,1.13,13.3,7,-8,0.163,10,0.1,1.06
,10:11:31,4,3600,2463.8,1.13,13.3,7,-8,0.163,10,0.1,1.06
,10:11:32,4,3600,2464.8,1.13,13.3,7,-8,0.17,10,0.1,1.06
,10:11:33,4,3600,2465.8,1.13,13.3,7,-8,0.17,10,0.1,1.06
,10:11:34,4,3600,2466.8,1.13,13.3,7,-8,0.163,10,0.1,1.06
,10:11:35,4,3600,2467.8,1.12,13.3,7,-8,0.162,10,0.1,1.05
,10:11:36,4,3600,2468.8,1.12,13.3,7,-8,0.162,10,0.1,1.05
,10:11:37,4,3600,2469.8,1.12,13.3,7,-8,0.156,10,0.1,1.05
,10:11:38,4,3600,2470.8,1.12,13.3,7,-8,0.161,10,0.1,1.04
,10:11:39,4,3600,2471.8,1.11,13.3,7,-8,0.167,10,0.1,1.04
,10:11:40,4,3600,2472.8,1.11,13.3,7,-8,0.166,10,0.1,1.04
,10:11:41,4,3600,2473.8,1.11,13.3,7,-8,0.166,10,0.1,1.04
,10:11:42,4,3600,2474.8,1.11,13.3,7,-8,0.16,10,0.1,1.04
,10:11:43,4,3600,2475.8,1.11,13.3,7,-8,0.167,10,0.1,1.04
,10:11:44,4,3600,2476.8,1.12,13.3,7,-8,0.161,10,0.1,1.05
,10:11:45,4,3600,2477.8,1.11,13.3,7,-8,0.161,10,0.1,1.04
,10:11:46,4,3600,2478.8,1.12,13.3,7,-8,0.161,10,0.1,1.05
,10:11:47,4,3600,2479.8,1.12,13.3,7,-8,0.168,10,0.1,1.05
,10:11:48,4,3600,2480.8,1.12,13.3,7,-8,0.168,10,0.1,1.05
,10:11:49,4,3600,2481.8,1.13,13.3,7,-8,0.169,10,0.1,1.06
,10:11:50,4,3600,2482.8,1.13,13.3,7,-8,0.169,10,0.1,1.06
