Data file,,PEEK_HEF_T35_PE6.TSV,,,,,,,,,,
,11:42:00,6,10790,68.7,0.82,13.3,7,20,0.119,10,49.9,0.79
,11:42:01,6,10790,69.7,0.82,13.3,7,20,0.118,10,49.9,0.79
,11:42:02,6,10790,70.7,0.81,13.3,7,20,0.113,10,49.9,0.78
,11:42:03,6,10790,71.7,0.81,13.3,7,20,0.113,10,49.9,0.78
,11:42:04,6,10790,72.7,0.8,13.3,7,20,0.107,10,49.9,0.77
,11:42:05,6,10790,73.7,0.78,13.3,7,20,0.105,10,49.9,0.75
,11:42:06,6,10790,74.7,0.76,13.3,7,20,0.103,10,49.9,0.73
,11:42:07,6,10790,75.7,0.75,13.3,7,20,0.104,10,49.9,0.72
,11:42:08,6,10790,76.7,0.74,13.3,7,20,0.107,10,49.9,0.72
,11:42:09,6,10790,77.7,0.74,13.3,7,20,0.107,10,49.9,0.72
,11:42:10,6,10790,78.7,0.74,13.3,7,20,0.107,10,49.9,0.72
,11:42:11,6,10790,79.7,0.74,13.3,7,20,0.111,10,49.9,0.71
,11:42:12,6,10790,80.7,0.75,13.3,7,20,0.108,10,49.9,0.72
,11:42:13,6,10790,81.7,0.76,13.3,7,20,0.11,10,49.9,0.74
,11:42:14,6,10790,82.7,0.78,13.3,7,20,0.108,10,49.9,0.75
,11:42:15,6,10790,83.7,0.78,13.3,7,20,0.108,10,49.9,0.75
,11:42:16,6,10790,84.7,0.77,13.3,7,20,0.111,10,49.9,0.74
,11:42:17,6,10790,85.7,0.75,13.3,7,20,0.105,10,49.9,0.73
,11:42:18,6,10790,86.7,0.74,13.3,7,20,0.103,10,49.9,0.71
,11:42:19,6,10790,87.7,0.72,13.3,7,20,0.101,10,49.9,0.7
,11:42:20,6,10790,88.7,0.72,13.3,7,20,0.1,10,49.9,0.69
,11:42:21,6,10790,89.7,0.71,13.3,7,20,0.096,10,49.9,0.69
,11:42:22,6,10790,90.7,0.73,13.3,7,20,0.098,10,49.9,0.7
,11:42:23,6,10790,91.7,0.75,13.3,7,20,0.1,10,49.9,0.72
,11:42:24,6,10790,92.7,0.75,13.3,7,20,0.105,10,49.9,0.72
,11:42:25,6,10790,93.7,0.73,13.3,7,20,0.106,10,49.9,0.71
,11:42:26,6,10790,94.7,0.72,13.3,7,20,0.104,10,49.9,0.7
,11:42:27,6,10790,95.7,0.71,13.3,7,20,0.103,10,49.9,0.69
,11:42:28,6,10790,96.7,0.72,13.3,7,20,0.104,10,49.9,0.7
,11:42:29,6,10790,97.7,0.72,13.3,7,20,0.104,10,49.9,0.7
,11:42:30,6,10790,98.7,0.71,13.3,7,20,0.102,10,49.9,0.68
,11:42:31,6,10790,99.7,0.69,13.3,7,20,0.099,10,49.9,0.66
,11:42:32,6,10790,100.7,0.67,13.3,7,20,0.096,10,49.9,0.64
,11:42:33,6,10790,101.7,0.66,13.3,7,20,0.096,10,49.9,0.64
,11:42:34,6,10790,102.7,0.66,13.3,7,20,0.092,10,49.9,0.64
,11:42:35,6,10790,103.7,0.67,13.3,7,20,0.093,10,49.9,0.64
,11:42:36,6,10790,104.7,0.66,13.3,7,20,0.089,10,49.9,0.64
,11:42:37,6,10790,105.7,0.66,13.3,7,20,0.091,10,49.9,0.63
,11:42:38,6,10790,106.7,0.65,13.3,7,20,0.094,10,49.9,0.63
,11:42:39,6,10790,107.7,0.65,13.3,7,20,0.09,10,49.9,0.63
,11:42:40,6,10790,108.7,0.65,13.3,7,20,0.094,10,49.9,0.63
,11:42:41,6,10790,109.7,0.65,13.3,7,20,0.091,10,49.9,0.63
,11:42:42,6,10790,110.7,0.66,13.3,7,20,0.092,10,49.9,0.63
,11:42:43,6,10790,111.7,0.67,13.3,7,20,0.096,10,49.9,0.64
,11:42:44,6,10790,112.7,0.68,13.3,7,20,0.098,10,49.9,0.65
,11:42:45,6,10790,113.7,0.68,13.3,7,20,0.095,10,49.9,0.66
,11:42:46,6,10790,114.7,0.69,13.3,7,20,0.092,10,49.9,0.66
,11:42:47,6,10790,115.7,0.69,13.3,7,20,0.093,10,49.9,0.67
,11:42:48,6,10790,116.7,0.69,13.3,7,20,0.095,10,49.9,0.66
,11:42:49,6,10790,117.7,0.68,13.3,7,20,0.094,10,49.9,0.65
,11:42:50,6,10790,118.7,0.68,13.3,7,20,0.098,10,49.9,0.66
,11:42:51,6,10790,119.7,0.7,13.3,7,20,0.101,10,49.9,0.68
,11:42:52,6,10790,120.7,0.71,13.3,7,20,0.099,10,49.9,0.69
,11:42:53,6,10790,121.7,0.7,13.3,7,20,0.102,10,49.9,0.68
,11:42:54,6,10790,122.7,0.69,13.3,7,20,0.096,10,49.9,0.66
,11:42:55,6,10790,123.7,0.68,13.3,7,20,0.094,10,49.9,0.65
,11:42:56,6,10790,124.7,0.68,13.3,7,20,0.094,10,49.9,0.65
,11:42:57,6,10790,125.7,0.68,13.3,7,20,0.095,10,49.9,0.66
,11:42:58,6,10790,126.7,0.68,13.3,7,20,0.095,10,49.9,0.66
,11:42:59,6,10790,127.7,0.69,13.3,7,20,0.095,10,49.9,0.66
,11:43:00,6,10790,128.7,0.69,13.3,7,20,0.097,10,49.9,0.67
,11:43:01,6,10790,129.7,0.7,13.3,7,20,0.094,10,49.9,0.67
,11:43:02,6,10790,130.7,0.7,13.3,7,20,0.094,10,49.9,0.67
,11:43:03,6,10790,131.7,0.7,13.3,7,20,0.097,10,49.9,0.67
,11:43:04,6,10790,132.7,0.7,13.3,7,20,0.1,10,49.9,0.67
,11:43:05,6,10790,133.7,0.7,13.3,7,20,0.105,10,49.9,0.68
,11:43:06,6,10790,134.7,0.7,13.3,7,20,0.105,10,49.9,0.67
,11:43:07,6,10790,135.7,0.71,13.3,7,20,0.102,10,49.9,0.68
,11:43:08,6,10790,136.7,0.71,13.3,7,20,0.103,10,49.9,0.69
,11:43:09,6,10790,137.7,0.71,13.3,7,20,0.098,10,49.9,0.68
,11:43:10,6,10790,138.7,0.7,13.3,7,20,0.098,10,49.9,0.67
,11:43:11,6,10790,139.7,0.7,13.3,7,20,0.101,10,49.9,0.67
,11:43:12,6,10790,140.7,0.69,13.3,7,20,0.1,10,49.9,0.67
,11:43:13,6,10790,141.7,0.67,13.3,7,20,0.094,10,49.9,0.65
,11:43:14,6,10790,142.7,0.65,13.3,7,20,0.09,10,49.9,0.62
,11:43:15,6,10790,143.7,0.64,13.3,7,20,0.089,10,49.9,0.62
,11:43:16,6,10790,144.7,0.66,13.3,7,20,0.091,10,49.9,0.63
,11:43:17,6,10790,145.7,0.67,13.3,7,20,0.097,10,49.9,0.65
,11:43:18,6,10790,146.7,0.69,13.3,7,20,0.095,10,49.9,0.66
,11:43:19,6,10790,147.7,0.69,13.3,7,20,0.096,10,49.9,0.66
,11:43:20,6,10790,148.7,0.69,13.3,7,20,0.096,10,49.9,0.67
,11:43:21,6,10790,149.7,0.69,13.3,7,20,0.095,10,49.9,0.66
,11:43:22,6,10790,150.7,0.69,13.3,7,20,0.095,10,49.9,0.66
,11:43:23,6,10790,151.7,0.69,13.3,7,20,0.093,10,49.9,0.67
,11:43:24,6,10790,152.7,0.69,13.3,7,20,0.097,10,49.9,0.67
,11:43:25,6,10790,153.7,0.69,13.3,7,20,0.096,10,49.9,0.66
,11:43:26,6,10790,154.7,0.68,13.3,7,20,0.094,10,49.9,0.65
,11:43:27,6,10790,155.7,0.67,13.3,7,20,0.093,10,49.9,0.65
,11:43:28,6,10790,156.7,0.68,13.3,7,20,0.098,10,49.9,0.65
,11:43:29,6,10790,157.7,0.69,13.3,7,20,0.1,10,49.9,0.67
,11:43:30,6,10790,158.7,0.7,13.3,7,20,0.101,10,49.9,0.68
,11:43:31,6,10790,159.7,0.7,13.3,7,20,0.098,10,49.9,0.67
,11:43:32,6,10790,160.7,0.69,13.3,7,20,0.095,10,49.9,0.66
,11:43:33,6,10790,161.7,0.68,13.3,7,20,0.094,10,49.9,0.65
,11:43:34,6,10790,162.7,0.67,13.3,7,20,0.096,10,49.9,0.64
,11:43:35,6,10790,163.7,0.66,13.3,7,20,0.095,10,49.9,0.63
,11:43:36,6,10790,164.7,0.66,13.3,7,20,0.099,10,49.9,0.63
,11:43:37,6,10790,165.7,0.67,13.3,7,20,0.096,10,49.9,0.64
,11:43:38,6,10790,166.7,0.68,13.3,7,20,0.098,10,49.9,0.66
,11:43:39,6,10790,167.7,0.68,13.3,7,20,0.095,10,49.9,0.66
,11:43:40,6,10790,168.7,0.68,13.3,7,20,0.095,10,49.9,0.66
,11:43:41,6,10790,169.7,0.68,13.3,7,20,0.094,10,49.9,0.65
,11:43:42,6,10790,170.7,0.68,13.3,7,20,0.098,10,49.9,0.65
,11:43:43,6,10790,171.7,0.68,13.3,7,20,0.098,10,49.9,0.65
,11:43:44,6,10790,172.7,0.68,13.3,7,20,0.098,10,49.9,0.66
,11:43:45,6,10790,173.7,0.68,13.3,7,20,0.098,10,49.9,0.65
,11:43:46,6,10790,174.7,0.67,13.3,7,20,0.097,10,49.9,0.65
,11:43:47,6,10790,175.7,0.66,13.3,7,20,0.096,10,49.9,0.64
,11:43:48,6,10790,176.7,0.66,13.3,7,20,0.092,10,49.9,0.64
,11:43:49,6,10790,177.7,0.66,13.3,7,20,0.089,10,49.9,0.64
,11:43:50,6,10790,178.7,0.67,13.3,7,20,0.09,10,49.9,0.65
,11:43:51,6,10790,179.7,0.67,13.3,7,20,0.09,10,49.9,0.65
,11:43:52,6,10790,180.7,0.68,13.3,7,20,0.091,10,49.9,0.66
,11:43:53,6,10790,181.7,0.68,13.3,7,20,0.094,10,49.9,0.65
,11:43:54,6,10790,182.7,0.67,13.3,7,20,0.096,10,49.9,0.64
,11:43:55,6,10790,183.7,0.66,13.3,7,20,0.095,10,49.9,0.63
,11:43:56,6,10790,184.7,0.65,13.3,7,20,0.091,10,49.9,0.63
,11:43:57,6,10790,185.7,0.65,13.3,7,20,0.094,10,49.9,0.63
,11:43:58,6,10790,186.7,0.65,13.3,7,20,0.094,10,49.9,0.63
,11:43:59,6,10790,187.7,0.65,13.3,7,20,0.094,10,49.9,0.63
,11:44:00,6,10790,188.7,0.65,13.3,7,20,0.094,10,49.9,0.63
,11:44:01,6,10790,189.7,0.65,13.3,7,20,0.094,10,49.9,0.63
,11:44:02,6,10790,190.7,0.65,13.3,7,20,0.094,10,49.9,0.63
,11:44:03,6,10790,191.7,0.64,13.3,7,20,0.093,10,49.9,0.62
,11:44:04,6,10790,192.7,0.64,13.3,7,20,0.09,10,49.9,0.62
,11:44:05,6,10790,193.7,0.64,13.3,7,20,0.093,10,49.9,0.62
,11:44:06,6,10790,194.7,0.65,13.3,7,20,0.09,10,49.9,0.62
,11:44:07,6,10790,195.7,0.64,13.3,7,20,0.09,10,49.9,0.62
,11:44:08,6,10790,196.7,0.64,13.3,7,20,0.089,10,49.9,0.62
,11:44:09,6,10790,197.7,0.64,13.3,7,20,0.089,10,50,0.62
,11:44:10,6,10790,198.7,0.64,13.3,7,20,0.092,10,49.9,0.61
,11:44:11,6,10790,199.7,0.63,13.3,7,20,0.091,10,49.9,0.61
,11:44:12,6,10790,200.7,0.63,13.3,7,20,0.091,10,49.9,0.61
,11:44:13,6,10790,201.7,0.64,13.3,7,20,0.092,10,49.9,0.61
,11:44:14,6,10790,202.7,0.63,13.3,7,20,0.091,10,49.9,0.61
,11:44:15,6,10790,203.7,0.63,13.3,7,20,0.088,10,49.9,0.61
,11:44:16,6,10790,204.7,0.63,13.3,7,20,0.088,10,49.9,0.61
,11:44:17,6,10790,205.7,0.63,13.3,7,20,0.09,10,49.9,0.6
,11:44:18,6,10790,206.7,0.62,13.3,7,20,0.086,10,49.9,0.6
,11:44:19,6,10790,207.7,0.63,13.3,7,20,0.085,10,49.9,0.61
,11:44:20,6,10790,208.7,0.65,13.3,7,20,0.087,10,49.9,0.63
,11:44:21,6,10790,209.7,0.66,13.3,7,20,0.089,10,49.9,0.64
,11:44:22,6,10790,210.7,0.66,13.3,7,20,0.096,10,49.9,0.64
,11:44:23,6,10790,211.7,0.66,13.3,7,20,0.095,10,49.9,0.63
,11:44:24,6,10790,212.7,0.65,13.3,7,20,0.093,10,49.9,0.62
,11:44:25,6,10790,213.7,0.65,13.3,7,20,0.094,10,49.9,0.63
,11:44:26,6,10790,214.7,0.65,13.3,7,20,0.091,10,49.9,0.63
,11:44:27,6,10790,215.7,0.65,13.3,7,20,0.094,10,49.9,0.63
,11:44:28,6,10790,216.7,0.64,13.3,7,20,0.092,10,49.9,0.62
,11:44:29,6,10790,217.7,0.63,13.3,7,20,0.087,10,49.9,0.6
,11:44:30,6,10790,218.7,0.62,13.3,7,20,0.086,10,49.9,0.6
,11:44:31,6,10790,219.7,0.62,13.3,7,20,0.087,10,49.9,0.6
,11:44:32,6,10790,220.7,0.63,13.3,7,20,0.084,10,49.9,0.61
,11:44:33,6,10790,221.7,0.64,13.3,7,20,0.085,10,49.9,0.61
,11:44:34,6,10790,222.7,0.64,13.3,7,20,0.088,10,49.9,0.62
,11:44:35,6,10790,223.7,0.64,13.3,7,20,0.092,10,49.9,0.62
,11:44:36,6,10790,224.7,0.64,13.3,7,20,0.092,10,49.9,0.61
,11:44:37,6,10790,225.7,0.64,13.3,7,20,0.095,10,49.9,0.61
,11:44:38,6,10790,226.7,0.63,13.3,7,20,0.091,10,49.9,0.61
,11:44:39,6,10790,227.7,0.64,13.3,7,20,0.092,10,49.9,0.62
,11:44:40,6,10790,228.7,0.63,13.3,7,20,0.088,10,49.9,0.61
,11:44:41,6,10790,229.7,0.63,13.3,7,20,0.087,10,49.9,0.61
,11:44:42,6,10790,230.7,0.62,13.3,7,20,0.086,10,49.9,0.6
,11:44:43,6,10790,231.7,0.64,13.3,7,20,0.089,10,49.9,0.62
,11:44:44,6,10790,232.7,0.65,13.3,7,20,0.087,10,49.9,0.63
,11:44:45,6,10790,233.7,0.66,13.3,7,20,0.092,10,49.9,0.63
,11:44:46,6,10790,234.7,0.65,13.3,7,20,0.091,10,49.9,0.63
,11:44:47,6,10790,235.7,0.64,13.3,7,20,0.092,10,49.9,0.62
,11:44:48,6,10790,236.7,0.64,13.3,7,20,0.089,10,49.9,0.62
,11:44:49,6,10790,237.7,0.64,13.3,7,20,0.092,10,49.9,0.62
,11:44:50,6,10790,238.7,0.64,13.3,7,20,0.092,10,49.9,0.61
,11:44:51,6,10790,239.7,0.62,13.3,7,20,0.09,10,49.9,0.6
,11:44:52,6,10790,240.7,0.61,13.3,7,20,0.092,10,49.9,0.59
,11:44:53,6,10790,241.7,0.61,13.3,7,20,0.085,10,49.9,0.59
,11:44:54,6,10790,242.7,0.6,13.3,7,20,0.084,10,49.9,0.58
,11:44:55,6,10790,243.7,0.59,13.3,7,20,0.082,10,49.9,0.56
,11:44:56,6,10790,244.7,0.56,13.3,7,20,0.078,10,49.9,0.54
,11:44:57,6,10790,245.7,0.56,13.3,7,20,0.08,10,49.9,0.54
,11:44:58,6,10790,246.7,0.56,13.3,7,20,0.081,10,49.9,0.54
,11:44:59,6,10790,247.7,0.58,13.3,7,20,0.08,10,49.9,0.56
,11:45:00,6,10790,248.7,0.58,13.3,7,20,0.08,10,49.9,0.56
,11:45:01,6,10790,249.7,0.58,13.3,7,20,0.08,10,49.9,0.56
,11:45:02,6,10790,250.7,0.58,13.3,7,20,0.08,10,49.9,0.56
,11:45:03,6,10790,251.7,0.59,13.3,7,20,0.082,10,49.9,0.56
,11:45:04,6,10790,252.7,0.59,13.3,7,20,0.086,10,49.9,0.57
,11:45:05,6,10790,253.7,0.61,13.3,7,20,0.088,10,49.9,0.59
,11:45:06,6,10790,254.7,0.63,13.3,7,20,0.09,10,49.9,0.61
,11:45:07,6,10790,255.7,0.64,13.3,7,20,0.092,10,49.9,0.62
,11:45:08,6,10790,256.7,0.65,13.3,7,20,0.09,10,49.9,0.63
,11:45:09,6,10790,257.7,0.66,13.3,7,20,0.091,10,49.9,0.63
,11:45:10,6,10790,258.7,0.66,13.3,7,20,0.091,10,49.9,0.63
,11:45:11,6,10790,259.7,0.65,13.3,7,20,0.094,10,49.9,0.63
,11:45:12,6,10790,260.7,0.66,13.3,7,20,0.095,10,49.9,0.63
,11:45:13,6,10790,261.7,0.66,13.3,7,20,0.095,10,49.9,0.64
,11:45:14,6,10790,262.7,0.67,13.3,7,20,0.093,10,49.9,0.64
,11:45:15,6,10790,263.7,0.66,13.3,7,20,0.091,10,49.9,0.63
,11:45:16,6,10790,264.7,0.65,13.3,7,20,0.09,10,49.9,0.63
,11:45:17,6,10790,265.7,0.63,13.3,7,20,0.088,10,49.9,0.61
,11:45:18,6,10790,266.7,0.62,13.3,7,20,0.09,10,49.9,0.6
,11:45:19,6,10790,267.7,0.62,13.3,7,20,0.086,10,49.9,0.6
,11:45:20,6,10790,268.7,0.62,13.3,7,20,0.083,10,49.9,0.6
,11:45:21,6,10790,269.7,0.63,13.3,7,20,0.088,10,49.9,0.61
,11:45:22,6,10790,270.7,0.65,13.3,7,20,0.093,10,49.9,0.62
,11:45:23,6,10790,271.7,0.66,13.3,7,20,0.098,10,49.9,0.63
,11:45:24,6,10790,272.7,0.65,13.3,7,20,0.094,10,49.9,0.63
,11:45:25,6,10790,273.7,0.65,13.3,7,20,0.091,10,49.9,0.63
,11:45:26,6,10790,274.7,0.64,13.3,7,20,0.086,10,49.9,0.62
,11:45:27,6,10790,275.7,0.64,13.3,7,20,0.09,10,49.9,0.62
,11:45:28,6,10790,276.7,0.64,13.3,7,20,0.09,10,49.9,0.62
,11:45:29,6,10790,277.7,0.64,13.3,7,20,0.093,10,49.9,0.62
,11:45:30,6,10790,278.7,0.65,13.3,7,20,0.09,10,49.9,0.62
,11:45:31,6,10790,279.7,0.65,13.3,7,20,0.091,10,49.9,0.63
,11:45:32,6,10790,280.7,0.66,13.3,7,20,0.092,10,49.9,0.63
,11:45:33,6,10790,281.7,0.66,13.3,7,20,0.088,10,49.9,0.63
,11:45:34,6,10790,282.7,0.66,13.3,7,20,0.091,10,49.9,0.63
,11:45:35,6,10790,283.7,0.65,13.3,7,20,0.091,10,49.9,0.63
,11:45:36,6,10790,284.7,0.65,13.3,7,20,0.094,10,49.9,0.63
,11:45:37,6,10790,285.7,0.65,13.3,7,20,0.093,10,49.9,0.62
,11:45:38,6,10790,286.7,0.65,13.3,7,20,0.093,10,49.9,0.62
,11:45:39,6,10790,287.7,0.64,13.3,7,20,0.09,10,49.9,0.62
,11:45:40,6,10790,288.7,0.65,13.3,7,20,0.087,10,49.9,0.62
,11:45:41,6,10790,289.7,0.64,13.3,7,20,0.086,10,49.9,0.62
,11:45:42,6,10790,290.7,0.64,13.3,7,20,0.09,10,49.9,0.62
,11:45:43,6,10790,291.7,0.64,13.3,7,20,0.093,10,49.9,0.62
,11:45:44,6,10790,292.7,0.64,13.3,7,20,0.096,10,49.9,0.62
,11:45:45,6,10790,293.7,0.64,13.3,7,20,0.092,10,49.9,0.62
,11:45:46,6,10790,294.7,0.64,13.3,7,20,0.089,10,49.9,0.62
,11:45:47,6,10790,295.7,0.65,13.3,7,20,0.09,10,49.9,0.62
,11:45:48,6,10790,296.7,0.65,13.3,7,20,0.094,10,49.9,0.63
,11:45:49,6,10790,297.7,0.64,13.3,7,20,0.093,10,49.9,0.62
,11:45:50,6,10790,298.7,0.64,13.3,7,20,0.089,10,49.9,0.62
,11:45:51,6,10790,299.7,0.64,13.3,7,20,0.085,10,49.9,0.61
,11:45:52,6,10790,300.7,0.64,13.3,7,20,0.088,10,49.9,0.61
,11:45:53,6,10790,301.7,0.63,13.3,7,20,0.088,10,49.9,0.61
,11:45:54,6,10790,302.7,0.63,13.3,7,20,0.088,10,49.9,0.61
,11:45:55,6,10790,303.7,0.63,13.3,7,20,0.091,10,49.9,0.61
,11:45:56,6,10790,304.7,0.64,13.3,7,20,0.092,10,49.9,0.62
,11:45:57,6,10790,305.7,0.64,13.3,7,20,0.089,10,49.9,0.62
,11:45:58,6,10790,306.7,0.64,13.3,7,20,0.086,10,49.9,0.62
,11:45:59,6,10790,307.7,0.64,13.3,7,20,0.088,10,49.9,0.61
,11:46:00,6,10790,308.7,0.64,13.3,7,20,0.092,10,49.9,0.62
,11:46:01,6,10790,309.7,0.64,13.3,7,20,0.092,10,49.9,0.62
,11:46:02,6,10790,310.7,0.65,13.3,7,20,0.094,10,49.9,0.63
,11:46:03,6,10790,311.7,0.65,13.3,7,20,0.09,10,49.9,0.62
,11:46:04,6,10790,312.7,0.64,13.3,7,20,0.089,10,49.9,0.61
,11:46:05,6,10790,313.7,0.63,13.3,7,20,0.087,10,49.9,0.61
,11:46:06,6,10790,314.7,0.63,13.3,7,20,0.091,10,49.9,0.61
,11:46:07,6,10790,315.7,0.64,13.3,7,20,0.092,10,49.9,0.62
,11:46:08,6,10790,316.7,0.65,13.3,7,20,0.094,10,49.9,0.63
,11:46:09,6,10790,317.7,0.65,13.3,7,20,0.09,10,49.9,0.62
,11:46:10,6,10790,318.7,0.64,13.3,7,20,0.089,10,49.9,0.62
,11:46:11,6,10790,319.7,0.65,13.3,7,20,0.093,10,49.9,0.62
,11:46:12,6,10790,320.7,0.65,13.3,7,20,0.094,10,49.9,0.63
,11:46:13,6,10790,321.7,0.65,13.3,7,20,0.091,10,49.9,0.63
,11:46:14,6,10790,322.7,0.64,13.3,7,20,0.09,10,49.9,0.62
,11:46:15,6,10790,323.7,0.64,13.3,7,20,0.086,10,49.9,0.62
,11:46:16,6,10790,324.7,0.65,13.3,7,20,0.088,10,49.9,0.63
,11:46:17,6,10790,325.7,0.66,13.3,7,20,0.092,10,49.9,0.63
,11:46:18,6,10790,326.7,0.66,13.3,7,20,0.091,10,49.9,0.63
,11:46:19,6,10790,327.7,0.65,13.3,7,20,0.091,10,49.9,0.63
,11:46:20,6,10790,328.7,0.64,13.3,7,20,0.092,10,49.9,0.61
,11:46:21,6,10790,329.7,0.62,13.3,7,20,0.09,10,49.9,0.6
,11:46:22,6,10790,330.7,0.62,13.3,7,20,0.089,10,49.9,0.59
,11:46:23,6,10790,331.7,0.62,13.3,7,20,0.093,10,49.9,0.6
,11:46:24,6,10790,332.7,0.63,13.3,7,20,0.094,10,49.9,0.6
,11:46:25,6,10790,333.7,0.63,13.3,7,20,0.091,10,49.9,0.61
,11:46:26,6,10790,334.7,0.63,13.3,7,20,0.088,10,49.9,0.61
,11:46:27,6,10790,335.7,0.63,13.3,7,20,0.088,10,49.9,0.61
,11:46:28,6,10790,336.7,0.63,13.3,7,20,0.088,10,49.9,0.61
,11:46:29,6,10790,337.7,0.63,13.3,7,20,0.088,10,49.9,0.61
,11:46:30,6,10790,338.7,0.64,13.3,7,20,0.089,10,49.9,0.62
,11:46:31,6,10790,339.7,0.64,13.3,7,20,0.089,10,49.9,0.62
,11:46:32,6,10790,340.7,0.64,13.3,7,20,0.089,10,49.9,0.62
,11:46:33,6,10790,341.7,0.63,13.3,7,20,0.087,10,49.9,0.6
,11:46:34,6,10790,342.7,0.62,13.3,7,20,0.086,10,49.9,0.6
,11:46:35,6,10790,343.7,0.62,13.3,7,20,0.086,10,49.9,0.59
,11:46:36,6,10790,344.7,0.62,13.3,7,20,0.086,10,49.9,0.6
,11:46:37,6,10790,345.7,0.62,13.3,7,20,0.087,10,49.9,0.6
,11:46:38,6,10790,346.7,0.63,13.3,7,20,0.087,10,49.9,0.6
,11:46:39,6,10790,347.7,0.63,13.3,7,20,0.09,10,49.9,0.6
,11:46:40,6,10790,348.7,0.63,13.3,7,20,0.091,10,49.9,0.61
,11:46:41,6,10790,349.7,0.63,13.3,7,20,0.091,10,49.9,0.61
,11:46:42,6,10790,350.7,0.63,13.3,7,20,0.091,10,49.9,0.61
,11:46:43,6,10790,351.7,0.63,13.3,7,20,0.091,10,49.9,0.61
,11:46:44,6,10790,352.7,0.63,13.3,7,20,0.087,10,49.9,0.61
,11:46:45,6,10790,353.7,0.63,13.3,7,20,0.087,10,49.9,0.61
,11:46:46,6,10790,354.7,0.63,13.3,7,20,0.09,10,49.9,0.6
,11:46:47,6,10790,355.7,0.63,13.3,7,20,0.09,10,49.9,0.6
,11:46:48,6,10790,356.7,0.62,13.3,7,20,0.087,10,49.9,0.6
,11:46:49,6,10790,357.7,0.63,13.3,7,20,0.087,10,49.9,0.61
,11:46:50,6,10790,358.7,0.63,13.3,7,20,0.087,10,49.9,0.61
,11:46:51,6,10790,359.7,0.63,13.3,7,20,0.091,10,49.9,0.61
,11:46:52,6,10790,360.7,0.62,13.3,7,20,0.09,10,49.9,0.6
,11:46:53,6,10790,361.7,0.62,13.3,7,20,0.086,10,49.9,0.6
,11:46:54,6,10790,362.7,0.61,13.3,7,20,0.085,10,49.9,0.59
,11:46:55,6,10790,363.7,0.61,13.3,7,20,0.088,10,49.9,0.59
,11:46:56,6,10790,364.7,0.61,13.3,7,20,0.089,10,49.9,0.59
,11:46:57,6,10790,365.7,0.63,13.3,7,20,0.087,10,49.9,0.6
,11:46:58,6,10790,366.7,0.63,13.3,7,20,0.088,10,49.9,0.61
,11:46:59,6,10790,367.7,0.64,13.3,7,20,0.088,10,49.9,0.61
,11:47:00,6,10790,368.7,0.63,13.3,7,20,0.09,10,49.9,0.6
,11:47:01,6,10790,369.7,0.62,13.3,7,20,0.086,10,49.9,0.59
,11:47:02,6,10790,370.7,0.61,13.3,7,20,0.084,10,49.9,0.58
,11:47:03,6,10790,371.7,0.61,13.3,7,20,0.081,10,49.9,0.58
,11:47:04,6,10790,372.7,0.61,13.3,7,20,0.085,10,49.9,0.59
,11:47:05,6,10790,373.7,0.62,13.3,7,20,0.086,10,49.9,0.6
,11:47:06,6,10790,374.7,0.62,13.3,7,20,0.087,10,49.9,0.6
,11:47:07,6,10790,375.7,0.63,13.3,7,20,0.087,10,49.9,0.6
