Data file,,PEEK_DRY_T18_PE2.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,27/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,PEEK,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 13:02:49 on 27/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff ( ),Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,peek_dry_t18_pe2-h001.tsv,,,,,,,,,,
,13:05:20,5,3590,150.9,3.89,13.3,7,21,0.584,10,49.8,3.76
,13:05:21,5,3590,151.9,3.9,13.3,7,21,0.563,10,49.9,3.76
,13:05:22,5,3590,152.9,3.91,13.3,7,21,0.565,10,49.9,3.78
,13:05:23,5,3590,153.9,3.92,13.3,7,21,0.567,10,49.8,3.79
,13:05:24,5,3590,154.9,3.92,13.3,7,21,0.566,10,49.9,3.79
,13:05:25,5,3590,155.9,3.91,13.3,7,21,0.587,10,49.9,3.78
,13:05:26,5,3590,156.9,3.9,13.3,7,21,0.564,10,49.9,3.77
,13:05:27,5,3590,157.9,3.91,13.3,7,21,0.544,10,49.9,3.77
,13:05:28,5,3590,158.9,3.92,13.3,7,21,0.546,10,49.9,3.78
,13:05:29,5,3590,159.9,3.93,13.3,7,21,0.528,10,49.9,3.79
,13:05:30,5,3590,160.9,3.94,13.3,8,21,0.512,10,49.8,3.8
,13:05:31,5,3590,161.9,3.96,13.3,8,21,0.515,10,49.9,3.83
,13:05:32,5,3590,162.9,3.98,13.3,7,21,0.535,10,49.8,3.84
,13:05:33,5,3590,163.9,3.98,13.3,7,21,0.554,10,49.9,3.84
,13:05:34,5,3590,164.9,3.96,13.3,7,21,0.572,10,49.9,3.82
,13:05:35,5,3590,165.9,3.96,13.3,7,21,0.594,10,49.9,3.82
,13:05:36,5,3590,166.9,3.98,13.3,7,21,0.574,10,49.8,3.84
,13:05:37,5,3590,167.9,4,13.3,7,21,0.578,10,49.9,3.87
,13:05:38,5,3590,168.9,4.02,13.3,7,21,0.56,10,49.9,3.88
,13:05:39,5,3590,169.9,4.02,13.3,7,21,0.56,10,49.9,3.88
,13:05:40,5,3590,170.9,4.02,13.3,7,21,0.58,10,49.9,3.88
,13:05:41,5,3590,171.9,4.02,13.3,7,21,0.559,10,49.9,3.88
,13:05:42,5,3590,172.9,4.02,13.3,7,21,0.559,10,49.9,3.87
,13:05:43,5,3590,173.9,4.01,13.3,7,21,0.558,10,49.9,3.87
,13:05:44,5,3590,174.9,3.99,13.3,7,21,0.556,10,49.9,3.86
,13:05:45,5,3590,175.9,4,13.3,7,21,0.557,10,49.9,3.86
,13:05:46,5,3590,176.9,3.99,13.3,7,21,0.537,10,49.9,3.85
,13:05:47,5,3590,177.9,3.98,13.3,7,21,0.535,10,49.8,3.84
,13:05:48,5,3590,178.9,3.96,13.3,7,21,0.551,10,49.9,3.82
,13:05:49,5,3590,179.9,3.95,13.3,7,21,0.55,10,49.9,3.81
,13:05:50,5,3590,180.9,3.94,13.3,7,21,0.549,10,49.8,3.81
,13:05:51,5,3590,181.9,3.95,13.3,7,22,0.57,10,49.9,3.81
,13:05:52,5,3590,182.9,3.96,13.3,7,22,0.573,10,49.9,3.83
,13:05:53,5,3590,183.9,3.98,13.3,7,22,0.575,10,49.9,3.84
,13:05:54,5,3590,184.9,4.01,13.3,7,22,0.579,10,49.8,3.87
,13:05:55,5,3590,185.9,4.04,13.3,7,22,0.583,10,49.9,3.9
,13:05:56,5,3590,186.9,4.07,13.3,7,22,0.588,10,49.9,3.93
,13:05:57,5,3590,187.9,4.09,13.3,7,22,0.59,10,49.9,3.94
,13:05:58,5,3590,188.9,4.06,13.3,7,21,0.587,10,49.8,3.91
,13:05:59,5,3590,189.9,3.99,13.3,7,21,0.576,10,49.8,3.84
,13:06:00,5,3590,190.9,3.92,13.3,7,21,0.566,10,49.9,3.77
,13:06:01,5,3590,191.9,3.88,13.3,7,21,0.541,10,49.9,3.75
,13:06:02,5,3590,192.9,3.92,13.3,7,21,0.546,10,49.9,3.78
,13:06:03,5,3590,193.9,3.96,13.3,7,21,0.552,10,49.9,3.83
,13:06:04,5,3590,194.9,3.99,13.3,7,21,0.556,10,49.9,3.86
,13:06:05,5,3590,195.9,4.01,13.3,7,21,0.558,10,49.9,3.87
,13:06:06,5,3590,196.9,4.03,13.3,7,21,0.583,10,49.8,3.9
,13:06:07,5,3590,197.9,4.07,13.3,7,21,0.588,10,49.9,3.93
,13:06:08,5,3590,198.9,4.09,13.3,7,21,0.591,10,49.9,3.95
,13:06:09,5,3590,199.9,4.12,13.3,7,21,0.595,10,49.8,3.98
,13:06:10,5,3590,200.9,4.14,13.3,7,21,0.598,10,49.8,4
,13:06:11,5,3590,201.9,4.15,13.3,7,21,0.6,10,49.9,4.01
,13:06:12,5,3590,202.9,4.15,13.3,7,22,0.6,10,49.9,4.01
,13:06:13,5,3590,203.9,4.13,13.3,7,21,0.597,10,49.9,3.98
,13:06:14,5,3590,204.9,4.03,13.3,7,21,0.582,10,49.9,3.88
,13:06:15,5,3590,205.9,3.9,13.3,7,21,0.563,10,49.9,3.75
,13:06:16,5,3590,206.9,3.75,13.3,7,21,0.523,10,49.9,3.61
,13:06:17,5,3590,207.9,3.67,13.3,7,21,0.511,10,49.8,3.53
,13:06:18,5,3590,208.9,3.62,13.3,7,21,0.504,10,49.9,3.49
,13:06:19,5,3590,209.9,3.61,13.3,7,21,0.503,10,49.9,3.49
,13:06:20,5,3590,210.9,3.62,13.3,7,21,0.504,10,49.9,3.5
,13:06:21,5,3590,211.9,3.61,13.3,7,21,0.503,10,49.8,3.49
,13:06:22,5,3590,212.9,3.59,13.3,7,21,0.5,10,49.8,3.46
,13:06:23,5,3590,213.9,3.55,13.3,7,21,0.494,10,49.8,3.42
,13:06:24,5,3590,214.9,3.49,13.3,7,21,0.504,10,49.9,3.37
,13:06:25,5,3590,215.9,3.46,13.3,7,21,0.483,10,49.9,3.34
,13:06:26,5,3590,216.9,3.48,13.3,7,21,0.503,10,49.9,3.37
,13:06:27,5,3590,217.9,3.56,13.3,7,21,0.496,10,49.9,3.44
,13:06:28,5,3590,218.9,3.57,13.3,7,21,0.497,10,49.9,3.44
,13:06:29,5,3590,219.9,3.51,13.3,7,21,0.489,10,49.9,3.38
,13:06:30,5,3590,220.9,3.42,13.3,7,21,0.477,10,49.8,3.3
,13:06:31,5,3590,221.9,3.38,13.3,7,21,0.471,10,49.9,3.27
,13:06:32,5,3590,222.9,3.4,13.3,7,21,0.491,10,49.9,3.29
,13:06:33,5,3590,223.9,3.42,13.3,7,21,0.495,10,49.9,3.31
,13:06:34,5,3590,224.9,3.45,13.3,7,21,0.498,10,49.9,3.33
,13:06:35,5,3590,225.9,3.47,13.3,7,21,0.501,10,49.8,3.35
,13:06:36,5,3590,226.9,3.46,13.3,7,21,0.5,10,49.9,3.34
,13:06:37,5,3590,227.9,3.45,13.3,7,21,0.498,10,49.9,3.32
,13:06:38,5,3590,228.9,3.43,13.3,7,21,0.478,10,49.9,3.31
,13:06:39,5,3590,229.9,3.46,13.3,7,21,0.5,10,49.9,3.35
,13:06:40,5,3590,230.9,3.52,13.3,7,21,0.508,10,49.9,3.4
,13:06:41,5,3590,231.9,3.57,13.3,7,21,0.516,10,49.9,3.45
,13:06:42,5,3590,232.9,3.61,13.3,7,21,0.503,10,49.9,3.48
,13:06:43,5,3590,233.9,3.62,13.3,7,21,0.523,10,49.9,3.5
,13:06:44,5,3590,234.9,3.65,13.3,7,21,0.508,10,49.8,3.52
,13:06:45,5,3590,235.9,3.67,13.3,7,21,0.531,10,49.9,3.55
,13:06:46,5,3590,236.9,3.66,13.3,7,21,0.509,10,49.9,3.52
,13:06:47,5,3590,237.9,3.58,13.3,7,21,0.499,10,49.8,3.45
,13:06:48,5,3590,238.9,3.48,13.3,7,21,0.484,10,49.8,3.35
,13:06:49,5,3590,239.9,3.42,13.3,7,21,0.494,10,49.8,3.3
,13:06:50,5,3590,240.9,3.42,13.3,7,22,0.476,10,49.8,3.3
,13:06:51,5,3590,241.9,3.42,13.3,7,22,0.477,10,49.9,3.3
,13:06:52,5,3590,242.9,3.42,13.3,7,22,0.46,10,49.8,3.3
,13:06:53,5,3590,243.9,3.43,13.3,7,21,0.477,10,49.8,3.31
,13:06:54,5,3590,244.9,3.45,13.3,7,21,0.48,10,49.8,3.33
,13:06:55,5,3590,245.9,3.47,13.3,7,21,0.483,10,49.9,3.35
,13:06:56,5,3590,246.9,3.49,13.3,7,21,0.504,10,49.8,3.37
,13:06:57,5,3590,247.9,3.51,13.3,7,21,0.507,10,49.8,3.39
,13:06:58,5,3590,248.9,3.53,13.3,7,21,0.51,10,49.9,3.42
,13:06:59,5,3590,249.9,3.56,13.3,7,21,0.496,10,49.8,3.44
,13:07:00,5,3590,250.9,3.58,13.3,7,21,0.517,10,49.9,3.46
,13:07:01,5,3590,251.9,3.63,13.3,7,22,0.525,10,49.9,3.52
,13:07:02,5,3590,252.9,3.71,13.3,7,22,0.535,10,49.9,3.59
,13:07:03,5,3590,253.9,3.77,13.3,7,22,0.525,10,49.9,3.64
,13:07:04,5,3590,254.9,3.8,13.3,7,22,0.529,10,49.8,3.67
,13:07:05,5,3590,255.9,3.82,13.3,7,22,0.533,10,49.9,3.7
,13:07:06,5,3590,256.9,3.85,13.3,7,22,0.518,10,49.9,3.72
,13:07:07,5,3590,257.9,3.88,13.3,7,22,0.522,10,49.9,3.75
,13:07:08,5,3590,258.9,3.9,13.3,7,21,0.543,10,49.8,3.77
,13:07:09,5,3590,259.9,3.9,13.3,7,22,0.524,10,49.9,3.76
,13:07:10,5,3590,260.9,3.89,13.3,7,22,0.523,10,49.9,3.76
,13:07:11,5,3590,261.9,3.87,13.3,7,21,0.52,10,49.8,3.73
,13:07:12,5,3590,262.9,3.86,13.3,7,21,0.52,10,49.9,3.73
,13:07:13,5,3590,263.9,3.87,13.3,7,21,0.521,10,49.8,3.74
,13:07:14,5,3590,264.9,3.86,13.3,7,21,0.538,10,49.9,3.73
,13:07:15,5,3590,265.9,3.83,13.3,7,21,0.575,10,49.9,3.7
