Data file,,PEEK_HEF_T42_PE9.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,TIMO,,,,,,,,,,
Date,,03/04/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,PEEK,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 18:45:15 on 03/04/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,peek_hef_t42_pe9-h001.tsv,,,,,,,,,,
,18:50:30,6,10790,310.1,0.71,13.3,7,22,0.103,10,49.9,0.69
,18:50:31,6,10790,311.1,0.71,13.3,7,22,0.102,10,49.9,0.68
,18:50:32,6,10790,312.1,0.7,13.3,7,22,0.1,10,49.9,0.67
,18:50:33,6,10790,313.1,0.69,13.3,7,22,0.099,10,49.9,0.66
,18:50:34,6,10790,314.1,0.69,13.3,7,22,0.1,10,49.9,0.67
,18:50:35,6,10790,315.1,0.7,13.3,7,21,0.098,10,50,0.68
,18:50:36,6,10790,316.1,0.73,13.3,7,22,0.101,10,49.9,0.7
,18:50:37,6,10790,317.1,0.74,13.3,7,22,0.102,10,49.9,0.71
,18:50:38,6,10790,318.1,0.73,13.3,7,22,0.101,10,50,0.7
,18:50:39,6,10790,319.1,0.71,13.3,7,22,0.102,10,49.9,0.68
,18:50:40,6,10790,320.1,0.69,13.3,7,22,0.099,10,49.9,0.66
,18:50:41,6,10790,321.1,0.68,13.3,7,22,0.098,10,49.9,0.65
,18:50:42,6,10790,322.1,0.67,13.3,7,22,0.093,10,50,0.64
,18:50:43,6,10790,323.1,0.67,13.3,7,22,0.094,10,49.9,0.65
,18:50:44,6,10790,324.1,0.68,13.3,7,22,0.094,10,49.9,0.66
,18:50:45,6,10790,325.1,0.7,13.3,7,21,0.101,10,49.9,0.68
,18:50:46,6,10790,326.1,0.72,13.3,7,22,0.1,10,50,0.7
,18:50:47,6,10790,327.1,0.74,13.3,7,22,0.1,10,49.9,0.72
,18:50:48,6,10790,328.1,0.74,13.3,7,22,0.1,10,49.9,0.71
,18:50:49,6,10790,329.1,0.72,13.3,7,22,0.104,10,50,0.7
,18:50:50,6,10790,330.1,0.71,13.3,7,22,0.106,10,49.9,0.68
,18:50:51,6,10790,331.1,0.71,13.3,7,22,0.102,10,49.9,0.68
,18:50:52,6,10790,332.1,0.71,13.3,7,22,0.099,10,49.9,0.69
,18:50:53,6,10790,333.1,0.71,13.3,7,22,0.103,10,50,0.69
,18:50:54,6,10790,334.1,0.71,13.3,7,22,0.099,10,49.9,0.68
,18:50:55,6,10790,335.1,0.7,13.3,7,21,0.098,10,49.9,0.68
,18:50:56,6,10790,336.1,0.69,13.3,7,22,0.097,10,49.9,0.67
,18:50:57,6,10790,337.1,0.68,13.3,7,22,0.095,10,49.9,0.66
,18:50:58,6,10790,338.1,0.68,13.3,7,21,0.098,10,49.9,0.65
,18:50:59,6,10790,339.1,0.68,13.3,7,22,0.098,10,49.9,0.65
,18:51:00,6,10790,340.1,0.68,13.3,7,22,0.095,10,50,0.66
,18:51:01,6,10790,341.1,0.68,13.3,7,22,0.095,10,49.9,0.66
,18:51:02,6,10790,342.1,0.69,13.3,7,22,0.096,10,49.9,0.67
,18:51:03,6,10790,343.1,0.69,13.3,7,22,0.096,10,49.9,0.67
,18:51:04,6,10790,344.1,0.69,13.3,7,22,0.093,10,49.9,0.67
,18:51:05,6,10790,345.1,0.7,13.3,7,22,0.094,10,50,0.68
,18:51:06,6,10790,346.1,0.72,13.3,7,22,0.101,10,50,0.7
,18:51:07,6,10790,347.1,0.75,13.3,7,22,0.109,10,49.9,0.73
,18:51:08,6,10790,348.1,0.78,13.3,7,22,0.113,10,49.9,0.76
,18:51:09,6,10790,349.1,0.79,13.3,7,22,0.114,10,49.9,0.76
,18:51:10,6,10790,350.1,0.78,13.3,7,22,0.112,10,49.9,0.75
,18:51:11,6,10790,351.1,0.78,13.3,7,22,0.112,10,49.9,0.75
,18:51:12,6,10790,352.1,0.8,13.3,7,21,0.116,10,50,0.77
,18:51:13,6,10790,353.1,0.84,13.3,7,21,0.117,10,49.9,0.81
,18:51:14,6,10790,354.1,0.85,13.3,7,21,0.118,10,49.9,0.81
,18:51:15,6,10790,355.1,0.81,13.3,7,21,0.109,10,50,0.77
,18:51:16,6,10790,356.1,0.75,13.3,7,21,0.101,10,49.9,0.72
,18:51:17,6,10790,357.1,0.73,13.3,7,22,0.101,10,49.9,0.7
,18:51:18,6,10790,358.1,0.75,13.3,7,22,0.108,10,49.9,0.73
