Data file,,DELRINNC010-UNHONED_ISO10_12DEG_001.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,12/10/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,DelrinNC010 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 13:26:42 on 12/10/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,13:42:05,6,3590,921.1,0.28,13.3,6,9.8,0.043,10,49.9,0.27
,13:42:06,6,3590,922.1,0.28,13.3,6,9.8,0.043,10,49.9,0.27
,13:42:07,6,3590,923.1,0.28,13.3,7,9.8,0.042,10,49.9,0.27
,13:42:08,6,3590,924.1,0.28,13.3,7,9.8,0.04,10,49.9,0.27
,13:42:09,6,3590,925.1,0.28,13.3,7,9.8,0.039,10,49.9,0.27
,13:42:10,6,3590,926.1,0.28,13.3,7,9.8,0.039,10,49.9,0.27
,13:42:11,6,3590,927.1,0.28,13.3,7,9.8,0.04,10,49.8,0.27
,13:42:12,6,3590,928.1,0.28,13.3,7,9.8,0.042,10,49.9,0.27
,13:42:13,6,3590,929.1,0.28,13.3,7,9.8,0.042,10,49.9,0.27
,13:42:14,6,3590,930.1,0.28,13.3,7,9.8,0.04,10,49.9,0.27
,13:42:15,6,3590,931.1,0.28,13.3,7,9.8,0.04,10,49.9,0.27
,13:42:16,6,3590,932.1,0.28,13.3,7,9.8,0.04,10,49.9,0.27
,13:42:17,6,3590,933.1,0.28,13.3,7,9.8,0.04,10,49.9,0.27
,13:42:18,6,3590,934.1,0.28,13.3,7,9.8,0.04,10,49.9,0.27
,13:42:19,6,3590,935.1,0.27,13.3,7,9.8,0.041,10,49.9,0.26
,13:42:20,6,3590,936.1,0.27,13.3,7,9.8,0.041,10,49.9,0.26
,13:42:21,6,3590,937.1,0.27,13.3,7,9.8,0.041,10,49.9,0.27
,13:42:22,6,3590,938.1,0.28,13.3,7,9.8,0.038,10,49.8,0.27
,13:42:23,6,3590,939.1,0.28,13.3,7,9.8,0.038,10,49.9,0.27
,13:42:24,6,3590,940.1,0.28,13.3,7,9.8,0.04,10,49.9,0.27
,13:42:25,6,3590,941.1,0.27,13.3,7,9.8,0.04,10,49.9,0.26
,13:42:26,6,3590,942.1,0.27,13.3,7,9.8,0.041,10,49.9,0.26
,13:42:27,6,3590,943.1,0.27,13.3,7,9.8,0.041,10,49.9,0.26
,13:42:28,6,3590,944.1,0.27,13.3,7,9.8,0.041,10,49.9,0.26
,13:42:29,6,3590,945.1,0.27,13.3,7,9.8,0.041,10,49.9,0.26
,13:42:30,6,3590,946.1,0.28,13.3,7,9.8,0.04,10,49.9,0.27
,13:42:31,6,3590,947.1,0.28,13.3,7,9.8,0.039,10,49.9,0.27
,13:42:32,6,3590,948.1,0.28,13.3,7,9.8,0.04,10,49.9,0.27
,13:42:33,6,3590,949.1,0.28,13.3,7,9.8,0.041,10,49.8,0.27
,13:42:34,6,3590,950.1,0.28,13.3,7,9.8,0.042,10,49.9,0.27
,13:42:35,6,3590,951.1,0.28,13.3,7,9.8,0.042,10,49.9,0.27
,13:42:36,6,3590,952.1,0.28,13.3,7,9.8,0.042,10,49.9,0.27
,13:42:37,6,3590,953.1,0.28,13.3,7,9.8,0.038,10,49.9,0.27
,13:42:38,6,3590,954.1,0.28,13.3,7,9.8,0.038,10,49.9,0.27
,13:42:39,6,3590,955.1,0.27,13.3,7,9.9,0.038,10,49.9,0.26
,13:42:40,6,3590,956.1,0.27,13.3,7,9.8,0.04,10,49.9,0.26
,13:42:41,6,3590,957.1,0.27,13.3,7,9.9,0.041,10,49.9,0.26
,13:42:42,6,3590,958.1,0.27,13.3,7,9.9,0.041,10,49.9,0.26
,13:42:43,6,3590,959.1,0.27,13.3,7,9.9,0.041,10,49.9,0.26
,13:42:44,6,3590,960.1,0.28,13.3,7,9.9,0.04,10,49.9,0.27
,13:42:45,6,3590,961.1,0.28,13.3,7,9.9,0.04,10,49.9,0.27
,13:42:46,6,3590,962.1,0.28,13.3,7,9.9,0.039,10,49.9,0.27
,13:42:47,6,3590,963.1,0.28,13.3,7,9.9,0.039,10,49.8,0.27
,13:42:48,6,3590,964.1,0.28,13.3,7,9.9,0.038,10,49.9,0.27
,13:42:49,6,3590,965.1,0.27,13.3,7,9.9,0.04,10,49.8,0.26
,13:42:50,6,3590,966.1,0.27,13.3,7,9.9,0.041,10,49.9,0.26
,13:42:51,6,3590,967.1,0.27,13.3,6,9.9,0.043,10,49.9,0.26
,13:42:52,6,3590,968.1,0.28,13.3,6,9.9,0.045,10,49.9,0.27
,13:42:53,6,3590,969.1,0.28,13.3,7,9.9,0.041,10,49.9,0.27
,13:42:54,6,3590,970.1,0.28,13.3,7,9.9,0.04,10,49.9,0.27
,13:42:55,6,3590,971.1,0.28,13.3,7,9.9,0.04,10,49.9,0.27
,13:42:56,6,3590,972.1,0.28,13.3,7,9.9,0.04,10,49.9,0.27
,13:42:57,6,3590,973.1,0.28,13.3,7,9.9,0.039,10,49.9,0.27
,13:42:58,6,3590,974.1,0.28,13.3,7,9.9,0.037,10,49.9,0.27
,13:42:59,6,3590,975.1,0.28,13.3,7,9.9,0.038,10,49.9,0.27
,13:43:00,6,3590,976.1,0.27,13.3,7,9.9,0.04,10,49.9,0.26
,13:43:01,6,3590,977.1,0.27,13.3,7,9.9,0.041,10,49.9,0.26
,13:43:02,6,3590,978.1,0.27,13.3,7,10,0.041,10,49.9,0.26
,13:43:03,6,3590,979.1,0.27,13.3,6,10,0.042,10,49.8,0.26
