Data file,,HONEDPEEK_ISO10_12C_005.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,24/03/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,PEEK on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:42:33 on 24/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:46:25,4,3600,232.2,1.11,13.3,7,11.5,0.166,10,0,1.04
,12:46:26,4,3600,233.2,1.11,13.3,7,11.5,0.166,10,0.1,1.04
,12:46:27,4,3600,234.2,1.11,13.3,7,11.5,0.16,10,0.1,1.04
,12:46:28,4,3600,235.2,1.11,13.3,7,11.5,0.161,10,0.1,1.04
,12:46:29,4,3600,236.2,1.11,13.3,7,11.5,0.167,10,0,1.04
,12:46:30,4,3600,237.2,1.11,13.3,7,11.5,0.166,10,0.1,1.04
,12:46:31,4,3600,238.2,1.11,13.3,7,11.6,0.166,10,0.1,1.04
,12:46:32,4,3600,239.2,1.11,13.3,7,11.6,0.16,10,0,1.04
,12:46:33,4,3600,240.2,1.11,13.3,7,11.6,0.16,10,0,1.04
,12:46:34,4,3600,241.2,1.11,13.3,7,11.6,0.16,10,0,1.04
,12:46:35,4,3600,242.2,1.1,13.3,7,11.6,0.153,10,0.1,1.03
,12:46:36,4,3600,243.2,1.1,13.3,7,11.6,0.159,10,0,1.03
,12:46:37,4,3600,244.2,1.1,13.3,7,11.6,0.159,10,0,1.03
,12:46:38,4,3600,245.2,1.1,13.3,7,11.6,0.166,10,0,1.04
,12:46:39,4,3600,246.2,1.11,13.3,7,11.5,0.166,10,0,1.04
,12:46:40,4,3600,247.2,1.11,13.3,7,11.5,0.166,10,0.1,1.04
,12:46:41,4,3600,248.2,1.11,13.3,7,11.5,0.167,10,0.1,1.04
,12:46:42,4,3600,249.2,1.11,13.3,7,11.5,0.161,10,0,1.04
,12:46:43,4,3600,250.2,1.11,13.3,7,11.5,0.161,10,0,1.04
,12:46:44,4,3600,251.2,1.11,13.3,7,11.5,0.16,10,0,1.04
,12:46:45,4,3600,252.2,1.11,13.3,7,11.5,0.167,10,0,1.04
,12:46:46,4,3600,253.2,1.11,13.3,7,11.5,0.16,10,0.1,1.04
,12:46:47,4,3600,254.2,1.11,13.3,7,11.5,0.16,10,0,1.04
,12:46:48,4,3600,255.2,1.1,13.3,7,11.5,0.159,10,0.1,1.03
,12:46:49,4,3600,256.2,1.1,13.3,7,11.5,0.159,10,0,1.03
,12:46:50,4,3600,257.2,1.1,13.3,7,11.5,0.159,10,0,1.03
,12:46:51,4,3600,258.2,1.1,13.3,7,11.5,0.165,10,0,1.03
,12:46:52,4,3600,259.2,1.1,13.3,7,11.5,0.159,10,0,1.03
,12:46:53,4,3600,260.2,1.1,13.3,7,11.5,0.165,10,0.1,1.03
,12:46:54,4,3600,261.2,1.1,13.3,7,11.5,0.164,10,0,1.03
,12:46:55,4,3600,262.2,1.1,13.3,7,11.5,0.164,10,0.1,1.03
,12:46:56,4,3600,263.2,1.1,13.3,7,11.5,0.159,10,0.1,1.03
