Data file,,RA0.3_HEF_-8C_003_45MINS.TSV,,,,,,,,,,
,12:04:31,4,2700,689.2,2.44,13.3,9,-7.4,0.265,10,0.3,2.29
,12:04:32,4,2700,690.2,2.45,13.3,9,-7.4,0.265,10,0.3,2.29
,12:04:33,4,2700,691.2,2.45,13.3,9,-7.4,0.258,10,0.3,2.29
,12:04:34,4,2700,692.2,2.45,13.3,9,-7.4,0.258,10,0.3,2.29
,12:04:35,4,2700,693.2,2.45,13.3,10,-7.4,0.251,10,0.3,2.29
,12:04:36,4,2700,694.2,2.45,13.3,9,-7.4,0.258,10,0.2,2.29
,12:04:37,4,2700,695.2,2.43,13.3,9,-7.5,0.257,10,0.3,2.28
,12:04:38,4,2700,696.2,2.42,13.3,9,-7.5,0.262,10,0.3,2.26
,12:04:39,4,2700,697.2,2.41,13.3,9,-7.5,0.261,10,0.3,2.26
,12:04:40,4,2700,698.2,2.41,13.3,9,-7.5,0.269,10,0.3,2.26
,12:04:41,4,2700,699.2,2.41,13.3,9,-7.5,0.268,10,0.3,2.25
,12:04:42,4,2700,700.2,2.41,13.3,9,-7.6,0.268,10,0.3,2.25
,12:04:43,4,2700,701.2,2.4,13.3,9,-7.5,0.268,10,0.3,2.25
,12:04:44,4,2700,702.2,2.4,13.3,9,-7.5,0.276,10,0.2,2.25
,12:04:45,4,2700,703.2,2.4,13.3,9,-7.5,0.276,10,0.3,2.25
,12:04:46,4,2700,704.2,2.41,13.3,9,-7.6,0.276,10,0.2,2.25
,12:04:47,4,2700,705.2,2.42,13.3,9,-7.6,0.277,10,0.2,2.26
,12:04:48,4,2700,706.2,2.42,13.3,9,-7.6,0.27,10,0.3,2.26
,12:04:49,4,2700,707.2,2.42,13.3,9,-7.6,0.269,10,0.3,2.26
,12:04:50,4,2700,708.2,2.41,13.3,9,-7.6,0.269,10,0.2,2.26
,12:04:51,4,2700,709.2,2.41,13.3,9,-7.6,0.269,10,0.2,2.26
,12:04:52,4,2700,710.2,2.41,13.3,9,-7.6,0.269,10,0.3,2.26
,12:04:53,4,2700,711.2,2.41,13.3,9,-7.6,0.269,10,0.3,2.26
,12:04:54,4,2700,712.2,2.41,13.3,9,-7.6,0.269,10,0.3,2.26
,12:04:55,4,2700,713.2,2.42,13.3,9,-7.6,0.269,10,0.3,2.26
,12:04:56,4,2700,714.2,2.42,13.3,9,-7.6,0.269,10,0.3,2.26
,12:04:57,4,2700,715.2,2.42,13.3,9,-7.6,0.269,10,0.3,2.26
,12:04:58,4,2700,716.2,2.42,13.3,9,-7.7,0.269,10,0.3,2.26
,12:04:59,4,2700,717.2,2.42,13.3,9,-7.7,0.262,10,0.3,2.27
,12:05:00,4,2700,718.2,2.42,13.3,9,-7.7,0.262,10,0.3,2.26
,12:05:01,4,2700,719.2,2.41,13.3,9,-7.7,0.261,10,0.3,2.26
,12:05:02,4,2700,720.2,2.41,13.3,9,-7.7,0.261,10,0.3,2.25
,12:05:03,4,2700,721.2,2.4,13.3,9,-7.7,0.268,10,0.3,2.25
,12:05:04,4,2700,722.2,2.4,13.3,9,-7.7,0.267,10,0.3,2.25
,12:05:05,4,2700,723.2,2.4,13.3,9,-7.7,0.275,10,0.2,2.24
,12:05:06,4,2700,724.2,2.39,13.3,9,-7.7,0.274,10,0.2,2.24
,12:05:07,4,2700,725.2,2.39,13.3,9,-7.7,0.274,10,0.3,2.24
,12:05:08,4,2700,726.2,2.39,13.3,9,-7.7,0.267,10,0.3,2.24
,12:05:09,4,2700,727.2,2.4,13.3,9,-7.7,0.267,10,0.3,2.24
,12:05:10,4,2700,728.2,2.4,13.3,9,-7.7,0.267,10,0.3,2.25
,12:05:11,4,2700,729.2,2.41,13.3,9,-7.7,0.268,10,0.3,2.25
,12:05:12,4,2700,730.2,2.41,13.3,9,-7.8,0.261,10,0.3,2.26
,12:05:13,4,2700,731.2,2.42,13.3,9,-7.8,0.262,10,0.3,2.26
,12:05:14,4,2700,732.2,2.41,13.3,9,-7.8,0.261,10,0.3,2.26
,12:05:15,4,2700,733.2,2.4,13.3,9,-7.8,0.253,10,0.3,2.25
,12:05:16,4,2700,734.2,2.39,13.3,9,-7.8,0.252,10,0.3,2.24
,12:05:17,4,2700,735.2,2.38,13.3,9,-7.8,0.251,10,0.3,2.23
,12:05:18,4,2700,736.2,2.38,13.3,9,-7.7,0.265,10,0.3,2.23
,12:05:19,4,2700,737.2,2.37,13.3,9,-7.7,0.264,10,0.3,2.22
,12:05:20,4,2700,738.2,2.37,13.3,9,-7.7,0.264,10,0.2,2.22
,12:05:21,4,2700,739.2,2.37,13.3,9,-7.7,0.264,10,0.3,2.22
,12:05:22,4,2700,740.2,2.37,13.3,9,-7.7,0.264,10,0.2,2.22
,12:05:23,4,2700,741.2,2.37,13.3,9,-7.7,0.264,10,0.3,2.22
,12:05:24,4,2700,742.2,2.37,13.3,9,-7.7,0.264,10,0.2,2.22
,12:05:25,4,2700,743.2,2.37,13.3,9,-7.7,0.264,10,0.3,2.21
,12:05:26,4,2700,744.2,2.36,13.3,9,-7.7,0.263,10,0.3,2.21
,12:05:27,4,2700,745.2,2.36,13.3,9,-7.7,0.263,10,0.3,2.21
,12:05:28,4,2700,746.2,2.36,13.3,9,-7.7,0.263,10,0.3,2.21
,12:05:29,4,2700,747.2,2.36,13.3,9,-7.7,0.256,10,0.3,2.21
,12:05:30,4,2700,748.2,2.36,13.3,9,-7.7,0.256,10,0.3,2.21
,12:05:31,4,2700,749.2,2.36,13.3,9,-7.7,0.256,10,0.3,2.21
,12:05:32,4,2700,750.2,2.37,13.3,9,-7.7,0.256,10,0.3,2.22
,12:05:33,4,2700,751.2,2.37,13.3,9,-7.7,0.264,10,0.3,2.22
,12:05:34,4,2700,752.2,2.37,13.3,9,-7.7,0.264,10,0.3,2.22
,12:05:35,4,2700,753.2,2.37,13.3,9,-7.7,0.264,10,0.2,2.22
,12:05:36,4,2700,754.2,2.37,13.3,9,-7.7,0.272,10,0.3,2.22
,12:05:37,4,2700,755.2,2.37,13.3,9,-7.7,0.272,10,0.3,2.22
,12:05:38,4,2700,756.2,2.37,13.3,9,-7.7,0.272,10,0.3,2.22
,12:05:39,4,2700,757.2,2.39,13.3,9,-7.7,0.274,10,0.3,2.23
,12:05:40,4,2700,758.2,2.4,13.3,9,-7.7,0.267,10,0.3,2.25
,12:05:41,4,2700,759.2,2.41,13.3,9,-7.7,0.268,10,0.3,2.26
,12:05:42,4,2700,760.2,2.42,13.3,9,-7.7,0.262,10,0.3,2.26
,12:05:43,4,2700,761.2,2.41,13.3,9,-7.7,0.254,10,0.3,2.26
,12:05:44,4,2700,762.2,2.4,13.3,9,-7.7,0.253,10,0.2,2.25
,12:05:45,4,2700,763.2,2.39,13.3,9,-7.7,0.252,10,0.3,2.24
,12:05:46,4,2700,764.2,2.38,13.3,9,-7.7,0.258,10,0.3,2.23
,12:05:47,4,2700,765.2,2.37,13.3,9,-7.7,0.264,10,0.3,2.22
,12:05:48,4,2700,766.2,2.37,13.3,9,-7.7,0.264,10,0.3,2.22
,12:05:49,4,2700,767.2,2.37,13.3,9,-7.7,0.264,10,0.3,2.22
,12:05:50,4,2700,768.2,2.37,13.3,9,-7.7,0.265,10,0.3,2.22
,12:05:51,4,2700,769.2,2.37,13.3,9,-7.7,0.265,10,0.2,2.22
,12:05:52,4,2700,770.2,2.37,13.3,9,-7.7,0.264,10,0.2,2.22
,12:05:53,4,2700,771.2,2.36,13.3,9,-7.7,0.263,10,0.2,2.21
,12:05:54,4,2700,772.2,2.35,13.3,9,-7.7,0.262,10,0.2,2.2
,12:05:55,4,2700,773.2,2.35,13.3,9,-7.7,0.262,10,0.3,2.2
,12:05:56,4,2700,774.2,2.35,13.3,9,-7.7,0.261,10,0.2,2.2
,12:05:57,4,2700,775.2,2.35,13.3,9,-7.7,0.261,10,0.2,2.2
,12:05:58,4,2700,776.2,2.35,13.3,9,-7.7,0.261,10,0.2,2.19
,12:05:59,4,2700,777.2,2.34,13.3,9,-7.7,0.261,10,0.3,2.19
,12:06:00,4,2700,778.2,2.33,13.3,9,-7.7,0.26,10,0.3,2.19
,12:06:01,4,2700,779.2,2.33,13.3,9,-7.8,0.26,10,0.3,2.18
,12:06:02,4,2700,780.2,2.33,13.3,9,-7.8,0.26,10,0.3,2.18
,12:06:03,4,2700,781.2,2.33,13.3,9,-7.8,0.259,10,0.3,2.18
,12:06:04,4,2700,782.2,2.32,13.3,9,-7.8,0.252,10,0.2,2.18
,12:06:05,4,2700,783.2,2.32,13.3,9,-7.8,0.251,10,0.3,2.17
,12:06:06,4,2700,784.2,2.32,13.3,9,-7.8,0.251,10,0.3,2.17
,12:06:07,4,2700,785.2,2.32,13.3,9,-7.8,0.251,10,0.3,2.17
,12:06:08,4,2700,786.2,2.32,13.3,9,-7.8,0.251,10,0.3,2.17
,12:06:09,4,2700,787.2,2.32,13.3,9,-7.8,0.251,10,0.3,2.17
,12:06:10,4,2700,788.2,2.31,13.3,9,-7.8,0.258,10,0.3,2.17
,12:06:11,4,2700,789.2,2.31,13.3,9,-7.8,0.257,10,0.3,2.16
,12:06:12,4,2700,790.2,2.31,13.3,9,-7.8,0.257,10,0.3,2.16
,12:06:13,4,2700,791.2,2.3,13.3,9,-7.8,0.256,10,0.3,2.15
,12:06:14,4,2700,792.2,2.29,13.3,9,-7.8,0.255,10,0.3,2.15
,12:06:15,4,2700,793.2,2.29,13.3,9,-7.8,0.262,10,0.3,2.14
,12:06:16,4,2700,794.2,2.29,13.3,9,-7.8,0.262,10,0.3,2.14
,12:06:17,4,2700,795.2,2.29,13.3,9,-7.8,0.255,10,0.3,2.14
,12:06:18,4,2700,796.2,2.29,13.3,9,-7.8,0.256,10,0.3,2.15
,12:06:19,4,2700,797.2,2.3,13.3,9,-7.8,0.256,10,0.3,2.15
,12:06:20,4,2700,798.2,2.29,13.3,9,-7.8,0.256,10,0.2,2.15
,12:06:21,4,2700,799.2,2.29,13.3,9,-7.8,0.255,10,0.2,2.14
,12:06:22,4,2700,800.2,2.27,13.3,9,-7.8,0.253,10,0.3,2.13
,12:06:23,4,2700,801.2,2.27,13.3,9,-7.8,0.261,10,0.3,2.13
,12:06:24,4,2700,802.2,2.28,13.3,9,-7.9,0.254,10,0.3,2.14
,12:06:25,4,2700,803.2,2.29,13.3,9,-7.9,0.255,10,0.3,2.14
,12:06:26,4,2700,804.2,2.29,13.3,9,-7.9,0.255,10,0.3,2.15
,12:06:27,4,2700,805.2,2.29,13.3,9,-7.9,0.255,10,0.3,2.14
,12:06:28,4,2700,806.2,2.29,13.3,9,-7.9,0.255,10,0.2,2.15
,12:06:29,4,2700,807.2,2.3,13.3,9,-7.9,0.256,10,0.3,2.15
,12:06:30,4,2700,808.2,2.29,13.3,9,-7.9,0.256,10,0.3,2.15
,12:06:31,4,2700,809.2,2.3,13.3,9,-7.9,0.256,10,0.3,2.15
,12:06:32,4,2700,810.2,2.3,13.3,9,-7.9,0.256,10,0.3,2.15
,12:06:33,4,2700,811.2,2.3,13.3,9,-7.9,0.249,10,0.3,2.15
,12:06:34,4,2700,812.2,2.29,13.3,9,-7.9,0.248,10,0.3,2.15
,12:06:35,4,2700,813.2,2.29,13.3,9,-7.9,0.248,10,0.3,2.14
,12:06:36,4,2700,814.2,2.28,13.3,9,-7.9,0.254,10,0.3,2.13
,12:06:37,4,2700,815.2,2.27,13.3,9,-7.9,0.246,10,0.3,2.12
,12:06:38,4,2700,816.2,2.26,13.3,9,-7.9,0.245,10,0.3,2.12
,12:06:39,4,2700,817.2,2.26,13.3,9,-7.9,0.245,10,0.2,2.11
,12:06:40,4,2700,818.2,2.25,13.3,9,-7.9,0.237,10,0.3,2.11
,12:06:41,4,2700,819.2,2.24,13.3,9,-7.9,0.236,10,0.3,2.1
,12:06:42,4,2700,820.2,2.24,13.3,9,-7.9,0.242,10,0.3,2.09
,12:06:43,4,2700,821.2,2.23,13.3,9,-7.9,0.242,10,0.3,2.09
,12:06:44,4,2700,822.2,2.23,13.3,9,-7.9,0.248,10,0.3,2.09
,12:06:45,4,2700,823.2,2.23,13.3,9,-7.9,0.248,10,0.3,2.08
,12:06:46,4,2700,824.2,2.22,13.3,9,-7.9,0.247,10,0.3,2.08
,12:06:47,4,2700,825.2,2.22,13.3,9,-7.9,0.247,10,0.2,2.08
,12:06:48,4,2700,826.2,2.21,13.3,9,-7.9,0.254,10,0.3,2.07
,12:06:49,4,2700,827.2,2.22,13.3,9,-7.9,0.247,10,0.3,2.08
,12:06:50,4,2700,828.2,2.23,13.3,9,-7.9,0.248,10,0.3,2.08
,12:06:51,4,2700,829.2,2.23,13.3,9,-7.9,0.249,10,0.3,2.09
,12:06:52,4,2700,830.2,2.23,13.3,9,-7.9,0.248,10,0.3,2.09
,12:06:53,4,2700,831.2,2.22,13.3,9,-7.9,0.248,10,0.3,2.08
,12:06:54,4,2700,832.2,2.21,13.3,9,-7.9,0.254,10,0.3,2.07
,12:06:55,4,2700,833.2,2.21,13.3,9,-7.9,0.247,10,0.3,2.07
,12:06:56,4,2700,834.2,2.22,13.3,9,-7.9,0.247,10,0.3,2.08
,12:06:57,4,2700,835.2,2.22,13.3,9,-7.9,0.247,10,0.3,2.08
,12:06:58,4,2700,836.2,2.21,13.3,9,-8,0.247,10,0.3,2.07
,12:06:59,4,2700,837.2,2.22,13.3,9,-8,0.241,10,0.3,2.08
,12:07:00,4,2700,838.2,2.23,13.3,9,-8,0.242,10,0.3,2.09
,12:07:01,4,2700,839.2,2.23,13.3,9,-8,0.235,10,0.3,2.09
,12:07:02,4,2700,840.2,2.22,13.3,9,-8,0.234,10,0.3,2.08
,12:07:03,4,2700,841.2,2.2,13.3,9,-8,0.232,10,0.2,2.06
,12:07:04,4,2700,842.2,2.19,13.3,9,-8,0.237,10,0.3,2.05
,12:07:05,4,2700,843.2,2.19,13.3,9,-8,0.244,10,0.3,2.04
,12:07:06,4,2700,844.2,2.18,13.3,9,-8,0.243,10,0.2,2.04
,12:07:07,4,2700,845.2,2.18,13.3,9,-8,0.243,10,0.3,2.04
,12:07:08,4,2700,846.2,2.18,13.3,9,-8,0.243,10,0.3,2.04
,12:07:09,4,2700,847.2,2.18,13.3,9,-8,0.243,10,0.2,2.04
,12:07:10,4,2700,848.2,2.17,13.3,9,-8,0.242,10,0.3,2.04
,12:07:11,4,2700,849.2,2.17,13.3,9,-8,0.242,10,0.3,2.03
,12:07:12,4,2700,850.2,2.17,13.3,9,-8,0.242,10,0.3,2.03
,12:07:13,4,2700,851.2,2.17,13.3,9,-8,0.242,10,0.3,2.03
,12:07:14,4,2700,852.2,2.17,13.3,9,-8,0.241,10,0.3,2.03
,12:07:15,4,2700,853.2,2.16,13.3,9,-8,0.24,10,0.3,2.02
,12:07:16,4,2700,854.2,2.15,13.3,9,-8,0.24,10,0.3,2.01
,12:07:17,4,2700,855.2,2.14,13.3,9,-8,0.239,10,0.3,2.01
,12:07:18,4,2700,856.2,2.14,13.3,9,-8,0.239,10,0.3,2.01
,12:07:19,4,2700,857.2,2.14,13.3,9,-8,0.239,10,0.3,2.01
,12:07:20,4,2700,858.2,2.15,13.3,9,-8,0.239,10,0.3,2.01
,12:07:21,4,2700,859.2,2.14,13.3,9,-8,0.239,10,0.3,2.01
,12:07:22,4,2700,860.2,2.14,13.3,9,-8,0.238,10,0.3,2
,12:07:23,4,2700,861.2,2.13,13.3,9,-8,0.231,10,0.3,2
,12:07:24,4,2700,862.2,2.14,13.3,9,-8,0.232,10,0.3,2
,12:07:25,4,2700,863.2,2.14,13.3,9,-8,0.225,10,0.3,2
,12:07:26,4,2700,864.2,2.14,13.3,9,-8,0.225,10,0.3,2
,12:07:27,4,2700,865.2,2.14,13.3,9,-8,0.232,10,0.3,2
,12:07:28,4,2700,866.2,2.13,13.3,9,-8,0.231,10,0.3,2
,12:07:29,4,2700,867.2,2.12,13.3,9,-8.1,0.23,10,0.3,1.99
,12:07:30,4,2700,868.2,2.11,13.3,9,-8.1,0.235,10,0.3,1.98
,12:07:31,4,2700,869.2,2.1,13.3,9,-8.1,0.241,10,0.3,1.97
,12:07:32,4,2700,870.2,2.11,13.3,9,-8.1,0.242,10,0.3,1.97
,12:07:33,4,2700,871.2,2.11,13.3,9,-8.1,0.236,10,0.3,1.98
,12:07:34,4,2700,872.2,2.12,13.3,9,-8.1,0.237,10,0.3,1.99
,12:07:35,4,2700,873.2,2.13,13.3,9,-8.1,0.237,10,0.2,1.99
,12:07:36,4,2700,874.2,2.12,13.3,9,-8.1,0.243,10,0.3,1.98
,12:07:37,4,2700,875.2,2.11,13.3,9,-8.1,0.242,10,0.2,1.98
,12:07:38,4,2700,876.2,2.11,13.3,9,-8.1,0.242,10,0.3,1.97
,12:07:39,4,2700,877.2,2.11,13.3,9,-8.1,0.236,10,0.2,1.98
,12:07:40,4,2700,878.2,2.12,13.3,9,-8.1,0.236,10,0.2,1.98
,12:07:41,4,2700,879.2,2.12,13.3,9,-8.1,0.243,10,0.2,1.98
,12:07:42,4,2700,880.2,2.12,13.3,9,-8.1,0.236,10,0.2,1.98
,12:07:43,4,2700,881.2,2.12,13.3,9,-8.1,0.236,10,0.2,1.98
,12:07:44,4,2700,882.2,2.12,13.3,9,-8.1,0.236,10,0.2,1.98
,12:07:45,4,2700,883.2,2.11,13.3,9,-8.1,0.236,10,0.2,1.98
,12:07:46,4,2700,884.2,2.11,13.3,9,-8.1,0.235,10,0.2,1.97
,12:07:47,4,2700,885.2,2.11,13.3,9,-8.2,0.235,10,0.3,1.97
,12:07:48,4,2700,886.2,2.11,13.3,9,-8.2,0.236,10,0.3,1.98
,12:07:49,4,2700,887.2,2.12,13.3,9,-8.2,0.236,10,0.3,1.98
,12:07:50,4,2700,888.2,2.12,13.3,9,-8.2,0.236,10,0.3,1.98
,12:07:51,4,2700,889.2,2.11,13.3,9,-8.2,0.236,10,0.3,1.98
,12:07:52,4,2700,890.2,2.12,13.3,9,-8.2,0.236,10,0.3,1.98
,12:07:53,4,2700,891.2,2.12,13.3,9,-8.2,0.23,10,0.3,1.99
,12:07:54,4,2700,892.2,2.13,13.3,9,-8.2,0.237,10,0.3,1.99
,12:07:55,4,2700,893.2,2.13,13.3,9,-8.2,0.238,10,0.3,2
,12:07:56,4,2700,894.2,2.13,13.3,9,-8.2,0.231,10,0.3,2
,12:07:57,4,2700,895.2,2.13,13.3,9,-8.2,0.231,10,0.2,2
,12:07:58,4,2700,896.2,2.13,13.3,9,-8.2,0.231,10,0.3,1.99
,12:07:59,4,2700,897.2,2.12,13.3,9,-8.2,0.23,10,0.2,1.99
,12:08:00,4,2700,898.2,2.12,13.3,9,-8.2,0.229,10,0.3,1.98
,12:08:01,4,2700,899.2,2.11,13.3,9,-8.2,0.229,10,0.3,1.98
,12:08:02,4,2700,900.2,2.11,13.3,9,-8.2,0.223,10,0.3,1.98
,12:08:03,4,2700,901.2,2.12,13.3,9,-8.2,0.223,10,0.3,1.98
,12:08:04,4,2700,902.2,2.11,13.3,9,-8.2,0.223,10,0.2,1.98
,12:08:05,4,2700,903.2,2.11,13.3,9,-8.2,0.222,10,0.2,1.97
,12:08:06,4,2700,904.2,2.1,13.3,9,-8.2,0.221,10,0.2,1.96
,12:08:07,4,2700,905.2,2.08,13.3,9,-8.3,0.22,10,0.3,1.95
,12:08:08,4,2700,906.2,2.07,13.3,9,-8.3,0.224,10,0.3,1.94
,12:08:09,4,2700,907.2,2.06,13.3,9,-8.3,0.223,10,0.3,1.93
,12:08:10,4,2700,908.2,2.06,13.3,9,-8.3,0.223,10,0.3,1.92
,12:08:11,4,2700,909.2,2.05,13.3,9,-8.3,0.222,10,0.2,1.92
,12:08:12,4,2700,910.2,2.05,13.3,9,-8.3,0.228,10,0.3,1.92
,12:08:13,4,2700,911.2,2.05,13.3,9,-8.3,0.228,10,0.3,1.92
,12:08:14,4,2700,912.2,2.05,13.3,9,-8.3,0.228,10,0.3,1.92
,12:08:15,4,2700,913.2,2.05,13.3,9,-8.3,0.228,10,0.3,1.92
,12:08:16,4,2700,914.2,2.05,13.3,9,-8.3,0.229,10,0.3,1.92
,12:08:17,4,2700,915.2,2.05,13.3,9,-8.3,0.229,10,0.3,1.92
,12:08:18,4,2700,916.2,2.05,13.3,9,-8.3,0.235,10,0.3,1.92
,12:08:19,4,2700,917.2,2.05,13.3,9,-8.3,0.235,10,0.3,1.92
,12:08:20,4,2700,918.2,2.05,13.3,9,-8.3,0.235,10,0.3,1.92
,12:08:21,4,2700,919.2,2.05,13.3,9,-8.3,0.229,10,0.3,1.93
,12:08:22,4,2700,920.2,2.06,13.3,9,-8.3,0.23,10,0.2,1.93
,12:08:23,4,2700,921.2,2.06,13.3,9,-8.3,0.236,10,0.3,1.93
,12:08:24,4,2700,922.2,2.06,13.3,9,-8.3,0.236,10,0.3,1.93
,12:08:25,4,2700,923.2,2.06,13.3,9,-8.3,0.237,10,0.3,1.93
,12:08:26,4,2700,924.2,2.07,13.3,9,-8.3,0.237,10,0.3,1.93
,12:08:27,4,2700,925.2,2.07,13.3,9,-8.3,0.237,10,0.3,1.93
,12:08:28,4,2700,926.2,2.06,13.3,9,-8.3,0.237,10,0.3,1.93
,12:08:29,4,2700,927.2,2.07,13.3,9,-8.3,0.237,10,0.3,1.93
,12:08:30,4,2700,928.2,2.08,13.3,9,-8.3,0.231,10,0.3,1.94
,12:08:31,4,2700,929.2,2.09,13.3,9,-8.3,0.232,10,0.2,1.96
,12:08:32,4,2700,930.2,2.1,13.3,9,-8.3,0.234,10,0.3,1.96
,12:08:33,4,2700,931.2,2.1,13.3,9,-8.3,0.234,10,0.3,1.96
,12:08:34,4,2700,932.2,2.09,13.3,9,-8.3,0.233,10,0.3,1.96
,12:08:35,4,2700,933.2,2.09,13.3,9,-8.3,0.233,10,0.3,1.96
,12:08:36,4,2700,934.2,2.09,13.3,9,-8.3,0.233,10,0.3,1.96
,12:08:37,4,2700,935.2,2.09,13.3,9,-8.3,0.233,10,0.3,1.96
,12:08:38,4,2700,936.2,2.09,13.3,9,-8.3,0.233,10,0.2,1.96
,12:08:39,4,2700,937.2,2.09,13.3,9,-8.3,0.232,10,0.3,1.95
,12:08:40,4,2700,938.2,2.09,13.3,9,-8.4,0.232,10,0.2,1.95
,12:08:41,4,2700,939.2,2.09,13.3,9,-8.4,0.232,10,0.3,1.95
,12:08:42,4,2700,940.2,2.09,13.3,9,-8.4,0.232,10,0.3,1.95
,12:08:43,4,2700,941.2,2.09,13.3,9,-8.4,0.233,10,0.3,1.96
,12:08:44,4,2700,942.2,2.1,13.3,9,-8.4,0.234,10,0.2,1.97
,12:08:45,4,2700,943.2,2.11,13.3,9,-8.4,0.235,10,0.3,1.97
,12:08:46,4,2700,944.2,2.11,13.3,9,-8.4,0.235,10,0.2,1.98
,12:08:47,4,2700,945.2,2.11,13.3,9,-8.4,0.236,10,0.3,1.98
,12:08:48,4,2700,946.2,2.11,13.3,9,-8.4,0.236,10,0.3,1.98
,12:08:49,4,2700,947.2,2.12,13.3,9,-8.4,0.23,10,0.3,1.98
,12:08:50,4,2700,948.2,2.12,13.3,9,-8.4,0.236,10,0.3,1.98
,12:08:51,4,2700,949.2,2.11,13.3,9,-8.4,0.229,10,0.2,1.98
,12:08:52,4,2700,950.2,2.11,13.3,9,-8.4,0.228,10,0.2,1.97
,12:08:53,4,2700,951.2,2.1,13.3,9,-8.4,0.227,10,0.3,1.97
,12:08:54,4,2700,952.2,2.09,13.3,9,-8.4,0.227,10,0.3,1.96
,12:08:55,4,2700,953.2,2.08,13.3,9,-8.4,0.226,10,0.3,1.95
,12:08:56,4,2700,954.2,2.08,13.3,9,-8.4,0.219,10,0.2,1.94
,12:08:57,4,2700,955.2,2.07,13.3,9,-8.4,0.219,10,0.2,1.94
,12:08:58,4,2700,956.2,2.07,13.3,9,-8.4,0.218,10,0.2,1.94
,12:08:59,4,2700,957.2,2.07,13.3,9,-8.4,0.218,10,0.3,1.94
,12:09:00,4,2700,958.2,2.06,13.3,9,-8.4,0.223,10,0.3,1.93
,12:09:01,4,2700,959.2,2.04,13.3,9,-8.4,0.222,10,0.3,1.91
,12:09:02,4,2700,960.2,2.03,13.3,9,-8.4,0.226,10,0.3,1.9
,12:09:03,4,2700,961.2,2.02,13.3,9,-8.4,0.225,10,0.3,1.89
,12:09:04,4,2700,962.2,2.01,13.3,9,-8.4,0.231,10,0.3,1.88
,12:09:05,4,2700,963.2,2.01,13.3,9,-8.4,0.23,10,0.3,1.88
,12:09:06,4,2700,964.2,2.01,13.3,9,-8.4,0.231,10,0.3,1.89
,12:09:07,4,2700,965.2,2.02,13.3,9,-8.4,0.232,10,0.3,1.9
,12:09:08,4,2700,966.2,2.03,13.3,9,-8.4,0.233,10,0.3,1.9
