Data file,,DURATRON_HEF_T39_D2.TSV,,,,,,,,,,
,12:26:30,5,3590,71.5,1.59,13.3,7,22,0.222,10,49.9,1.54
,12:26:31,5,3590,72.5,1.61,13.3,7,22,0.224,10,49.9,1.56
,12:26:32,5,3590,73.5,1.62,13.3,7,22,0.234,10,49.9,1.57
,12:26:33,5,3590,74.5,1.62,13.3,7,22,0.234,10,49.9,1.56
,12:26:34,5,3590,75.5,1.61,13.3,7,22,0.232,10,49.9,1.55
,12:26:35,5,3590,76.5,1.59,13.3,7,22,0.221,10,49.8,1.53
,12:26:36,5,3590,77.5,1.55,13.3,7,22,0.224,10,49.9,1.49
,12:26:37,5,3590,78.5,1.53,13.3,7,22,0.22,10,49.9,1.47
,12:26:38,5,3590,79.5,1.53,13.3,7,22,0.221,10,49.9,1.48
,12:26:39,5,3590,80.5,1.55,13.3,7,22,0.216,10,49.9,1.5
,12:26:40,5,3590,81.5,1.56,13.3,7,22,0.218,10,49.9,1.51
,12:26:41,5,3590,82.5,1.56,13.3,7,22,0.217,10,49.8,1.51
,12:26:42,5,3590,83.5,1.56,13.3,7,22,0.217,10,49.9,1.5
,12:26:43,5,3590,84.5,1.56,13.3,7,22,0.218,10,49.9,1.51
,12:26:44,5,3590,85.5,1.56,13.3,7,22,0.218,10,49.9,1.51
,12:26:45,5,3590,86.5,1.56,13.3,7,22,0.217,10,49.9,1.5
,12:26:46,5,3590,87.5,1.56,13.3,7,22,0.217,10,49.9,1.51
,12:26:47,5,3590,88.5,1.56,13.3,7,22,0.217,10,49.9,1.51
,12:26:48,5,3590,89.5,1.56,13.3,7,22,0.209,10,49.9,1.5
,12:26:49,5,3590,90.5,1.54,13.3,8,22,0.201,10,49.9,1.49
,12:26:50,5,3590,91.5,1.54,13.3,7,22,0.215,10,49.9,1.49
,12:26:51,5,3590,92.5,1.55,13.3,7,22,0.224,10,49.9,1.5
,12:26:52,5,3590,93.5,1.57,13.3,7,22,0.227,10,49.9,1.51
,12:26:53,5,3590,94.5,1.57,13.3,7,21,0.227,10,49.9,1.51
,12:26:54,5,3590,95.5,1.57,13.3,7,22,0.226,10,49.9,1.51
,12:26:55,5,3590,96.5,1.54,13.3,7,22,0.223,10,49.9,1.49
,12:26:56,5,3590,97.5,1.53,13.3,7,22,0.221,10,49.9,1.48
,12:26:57,5,3590,98.5,1.51,13.3,7,22,0.217,10,49.9,1.45
,12:26:58,5,3590,99.5,1.5,13.3,7,22,0.216,10,49.9,1.44
,12:26:59,5,3590,100.5,1.48,13.3,7,22,0.214,10,49.9,1.43
,12:27:00,5,3590,101.5,1.47,13.3,7,22,0.205,10,49.9,1.42
,12:27:01,5,3590,102.5,1.46,13.3,7,22,0.203,10,49.9,1.41
,12:27:02,5,3590,103.5,1.45,13.3,7,22,0.201,10,49.9,1.39
,12:27:03,5,3590,104.5,1.43,13.3,7,22,0.193,10,49.9,1.38
,12:27:04,5,3590,105.5,1.42,13.3,7,22,0.191,10,49.9,1.37
,12:27:05,5,3590,106.5,1.4,13.3,7,22,0.189,10,49.9,1.35
,12:27:06,5,3590,107.5,1.38,13.3,7,22,0.193,10,49.9,1.33
,12:27:07,5,3590,108.5,1.36,13.3,7,22,0.197,10,49.9,1.31
,12:27:08,5,3590,109.5,1.35,13.3,7,22,0.194,10,49.9,1.3
,12:27:09,5,3590,110.5,1.33,13.3,7,22,0.192,10,49.9,1.28
,12:27:10,5,3590,111.5,1.33,13.3,7,21,0.185,10,49.9,1.28
,12:27:11,5,3590,112.5,1.33,13.3,7,22,0.191,10,49.9,1.28
,12:27:12,5,3590,113.5,1.33,13.3,7,22,0.192,10,49.9,1.28
,12:27:13,5,3590,114.5,1.32,13.3,7,22,0.19,10,49.9,1.27
,12:27:14,5,3590,115.5,1.3,13.3,7,22,0.18,10,49.9,1.25
,12:27:15,5,3590,116.5,1.27,13.3,7,22,0.177,10,49.9,1.23
,12:27:16,5,3590,117.5,1.27,13.3,7,22,0.171,10,49.9,1.22
,12:27:17,5,3590,118.5,1.27,13.3,7,22,0.17,10,49.9,1.22
,12:27:18,5,3590,119.5,1.27,13.3,7,21,0.176,10,49.9,1.22
,12:27:19,5,3590,120.5,1.26,13.3,7,21,0.182,10,49.9,1.21
,12:27:20,5,3590,121.5,1.26,13.3,7,22,0.182,10,49.9,1.22
,12:27:21,5,3590,122.5,1.28,13.3,7,21,0.184,10,49.9,1.23
,12:27:22,5,3590,123.5,1.29,13.3,7,21,0.187,10,49.9,1.25
,12:27:23,5,3590,124.5,1.3,13.3,7,21,0.187,10,49.9,1.25
,12:27:24,5,3590,125.5,1.27,13.3,7,21,0.177,10,49.9,1.22
,12:27:25,5,3590,126.5,1.24,13.3,7,21,0.179,10,49.9,1.19
,12:27:26,5,3590,127.5,1.22,13.3,7,22,0.176,10,49.9,1.17
,12:27:27,5,3590,128.5,1.23,13.3,7,22,0.177,10,49.9,1.19
,12:27:28,5,3590,129.5,1.25,13.3,7,22,0.181,10,49.9,1.21
,12:27:29,5,3590,130.5,1.28,13.3,7,22,0.185,10,49.9,1.24
,12:27:30,5,3590,131.5,1.28,13.3,7,22,0.185,10,49.9,1.23
,12:27:31,5,3590,132.5,1.27,13.3,7,22,0.183,10,49.9,1.22
,12:27:32,5,3590,133.5,1.25,13.3,7,22,0.181,10,49.9,1.21
,12:27:33,5,3590,134.5,1.26,13.3,7,22,0.182,10,49.9,1.22
,12:27:34,5,3590,135.5,1.26,13.3,7,22,0.182,10,49.9,1.21
,12:27:35,5,3590,136.5,1.25,13.3,7,22,0.173,10,49.9,1.2
,12:27:36,5,3590,137.5,1.23,13.3,7,22,0.171,10,49.9,1.19
,12:27:37,5,3590,138.5,1.22,13.3,7,22,0.164,10,49.9,1.18
,12:27:38,5,3590,139.5,1.21,13.3,7,21,0.163,10,49.9,1.17
,12:27:39,5,3590,140.5,1.22,13.3,7,21,0.164,10,49.9,1.18
,12:27:40,5,3590,141.5,1.23,13.3,8,21,0.16,10,49.9,1.19
,12:27:41,5,3590,142.5,1.25,13.3,8,21,0.162,10,49.9,1.2
,12:27:42,5,3590,143.5,1.25,13.3,7,22,0.169,10,49.9,1.21
,12:27:43,5,3590,144.5,1.25,13.3,7,22,0.174,10,49.9,1.2
,12:27:44,5,3590,145.5,1.25,13.3,7,21,0.18,10,49.9,1.2
,12:27:45,5,3590,146.5,1.25,13.3,7,21,0.18,10,49.9,1.2
,12:27:46,5,3590,147.5,1.24,13.3,7,21,0.18,10,49.9,1.2
,12:27:47,5,3590,148.5,1.24,13.3,7,21,0.178,10,49.9,1.19
,12:27:48,5,3590,149.5,1.23,13.3,7,21,0.178,10,49.9,1.19
,12:27:49,5,3590,150.5,1.24,13.3,7,21,0.179,10,49.9,1.2
,12:27:50,5,3590,151.5,1.27,13.3,7,21,0.183,10,49.9,1.22
,12:27:51,5,3590,152.5,1.28,13.3,7,21,0.185,10,49.9,1.24
,12:27:52,5,3590,153.5,1.3,13.3,7,21,0.188,10,49.9,1.26
,12:27:53,5,3590,154.5,1.31,13.3,7,22,0.189,10,49.9,1.26
,12:27:54,5,3590,155.5,1.3,13.3,7,22,0.181,10,49.9,1.26
,12:27:55,5,3590,156.5,1.27,13.3,7,22,0.171,10,49.9,1.22
,12:27:56,5,3590,157.5,1.24,13.3,7,22,0.166,10,49.9,1.2
,12:27:57,5,3590,158.5,1.24,13.3,7,22,0.172,10,49.9,1.2
,12:27:58,5,3590,159.5,1.24,13.3,7,21,0.179,10,49.9,1.2
,12:27:59,5,3590,160.5,1.25,13.3,7,21,0.181,10,49.9,1.21
,12:28:00,5,3590,161.5,1.25,13.3,7,21,0.18,10,49.9,1.2
,12:28:01,5,3590,162.5,1.23,13.3,7,21,0.178,10,49.9,1.19
,12:28:02,5,3590,163.5,1.2,13.3,7,22,0.173,10,49.9,1.15
,12:28:03,5,3590,164.5,1.17,13.3,7,22,0.169,10,49.9,1.13
,12:28:04,5,3590,165.5,1.18,13.3,7,22,0.164,10,49.9,1.14
,12:28:05,5,3590,166.5,1.21,13.3,7,22,0.168,10,49.9,1.17
,12:28:06,5,3590,167.5,1.23,13.3,7,22,0.171,10,49.9,1.18
,12:28:07,5,3590,168.5,1.22,13.3,7,22,0.17,10,49.9,1.18
,12:28:08,5,3590,169.5,1.24,13.3,7,22,0.172,10,49.9,1.2
,12:28:09,5,3590,170.5,1.25,13.3,7,22,0.168,10,49.9,1.2
,12:28:10,5,3590,171.5,1.23,13.3,7,21,0.166,10,49.9,1.19
,12:28:11,5,3590,172.5,1.21,13.3,7,21,0.169,10,49.9,1.17
,12:28:12,5,3590,173.5,1.2,13.3,7,21,0.173,10,49.9,1.16
,12:28:13,5,3590,174.5,1.21,13.3,7,21,0.174,10,49.9,1.17
,12:28:14,5,3590,175.5,1.2,13.3,7,21,0.18,10,49.9,1.16
,12:28:15,5,3590,176.5,1.19,13.3,7,21,0.172,10,49.9,1.15
,12:28:16,5,3590,177.5,1.18,13.3,7,21,0.171,10,49.9,1.14
,12:28:17,5,3590,178.5,1.17,13.3,7,21,0.169,10,49.9,1.13
,12:28:18,5,3590,179.5,1.18,13.3,7,21,0.17,10,49.9,1.14
,12:28:19,5,3590,180.5,1.18,13.3,7,21,0.165,10,49.9,1.14
,12:28:20,5,3590,181.5,1.2,13.3,7,21,0.173,10,49.9,1.16
,12:28:21,5,3590,182.5,1.2,13.3,7,21,0.167,10,49.8,1.16
,12:28:22,5,3590,183.5,1.21,13.3,7,21,0.168,10,49.9,1.17
,12:28:23,5,3590,184.5,1.22,13.3,7,22,0.176,10,49.8,1.17
,12:28:24,5,3590,185.5,1.23,13.3,7,21,0.177,10,49.8,1.18
,12:28:25,5,3590,186.5,1.23,13.3,7,21,0.177,10,49.9,1.18
,12:28:26,5,3590,187.5,1.22,13.3,7,21,0.177,10,49.9,1.18
,12:28:27,5,3590,188.5,1.22,13.3,7,21,0.176,10,49.9,1.18
,12:28:28,5,3590,189.5,1.22,13.3,7,22,0.183,10,49.9,1.18
,12:28:29,5,3590,190.5,1.22,13.3,7,22,0.176,10,49.9,1.17
,12:28:30,5,3590,191.5,1.21,13.3,7,22,0.163,10,49.9,1.17
,12:28:31,5,3590,192.5,1.2,13.3,7,22,0.161,10,49.9,1.16
,12:28:32,5,3590,193.5,1.2,13.3,7,21,0.167,10,49.9,1.16
,12:28:33,5,3590,194.5,1.2,13.3,7,21,0.167,10,49.9,1.16
,12:28:34,5,3590,195.5,1.22,13.3,7,21,0.169,10,49.9,1.17
,12:28:35,5,3590,196.5,1.23,13.3,7,21,0.171,10,49.9,1.18
,12:28:36,5,3590,197.5,1.24,13.3,7,21,0.173,10,49.9,1.2
,12:28:37,5,3590,198.5,1.26,13.3,7,21,0.182,10,49.9,1.22
,12:28:38,5,3590,199.5,1.26,13.3,7,22,0.182,10,49.9,1.21
,12:28:39,5,3590,200.5,1.22,13.3,7,22,0.17,10,49.9,1.18
,12:28:40,5,3590,201.5,1.18,13.3,7,22,0.164,10,49.9,1.13
,12:28:41,5,3590,202.5,1.16,13.3,7,22,0.162,10,49.9,1.12
,12:28:42,5,3590,203.5,1.17,13.3,7,22,0.163,10,49.9,1.13
,12:28:43,5,3590,204.5,1.18,13.3,7,22,0.164,10,49.9,1.14
,12:28:44,5,3590,205.5,1.2,13.3,7,22,0.167,10,49.9,1.16
,12:28:45,5,3590,206.5,1.23,13.3,7,22,0.171,10,49.9,1.19
,12:28:46,5,3590,207.5,1.24,13.3,7,22,0.167,10,49.9,1.2
,12:28:47,5,3590,208.5,1.23,13.3,7,22,0.166,10,49.9,1.19
,12:28:48,5,3590,209.5,1.2,13.3,7,22,0.161,10,49.9,1.15
,12:28:49,5,3590,210.5,1.18,13.3,7,22,0.158,10,49.9,1.13
,12:28:50,5,3590,211.5,1.16,13.3,7,22,0.156,10,49.9,1.12
,12:28:51,5,3590,212.5,1.17,13.3,7,22,0.163,10,49.9,1.13
,12:28:52,5,3590,213.5,1.18,13.3,7,22,0.159,10,49.9,1.14
,12:28:53,5,3590,214.5,1.19,13.3,7,21,0.165,10,49.9,1.14
,12:28:54,5,3590,215.5,1.18,13.3,7,21,0.171,10,49.9,1.14
,12:28:55,5,3590,216.5,1.17,13.3,7,21,0.169,10,49.9,1.13
,12:28:56,5,3590,217.5,1.17,13.3,7,21,0.175,10,49.9,1.13
,12:28:57,5,3590,218.5,1.18,13.3,7,21,0.177,10,49.9,1.14
,12:28:58,5,3590,219.5,1.19,13.3,7,22,0.172,10,49.9,1.15
,12:28:59,5,3590,220.5,1.2,13.3,7,22,0.173,10,49.9,1.15
,12:29:00,5,3590,221.5,1.2,13.3,7,21,0.174,10,49.9,1.16
,12:29:01,5,3590,222.5,1.21,13.3,7,21,0.169,10,49.9,1.17
,12:29:02,5,3590,223.5,1.21,13.3,7,21,0.168,10,49.9,1.16
,12:29:03,5,3590,224.5,1.19,13.3,7,21,0.165,10,49.9,1.14
,12:29:04,5,3590,225.5,1.18,13.3,7,21,0.164,10,49.9,1.13
,12:29:05,5,3590,226.5,1.18,13.3,7,21,0.164,10,49.9,1.14
,12:29:06,5,3590,227.5,1.18,13.3,7,21,0.164,10,49.9,1.14
,12:29:07,5,3590,228.5,1.17,13.3,7,21,0.163,10,49.9,1.13
,12:29:08,5,3590,229.5,1.16,13.3,7,21,0.155,10,49.9,1.12
,12:29:09,5,3590,230.5,1.14,13.3,7,21,0.153,10,49.9,1.1
,12:29:10,5,3590,231.5,1.13,13.3,7,22,0.151,10,49.9,1.09
,12:29:11,5,3590,232.5,1.14,13.3,7,22,0.159,10,49.9,1.1
,12:29:12,5,3590,233.5,1.17,13.3,7,22,0.168,10,49.9,1.13
,12:29:13,5,3590,234.5,1.18,13.3,7,22,0.177,10,49.9,1.14
,12:29:14,5,3590,235.5,1.19,13.3,7,22,0.179,10,49.9,1.15
,12:29:15,5,3590,236.5,1.18,13.3,7,22,0.17,10,49.9,1.13
,12:29:16,5,3590,237.5,1.17,13.3,7,21,0.169,10,49.9,1.13
,12:29:17,5,3590,238.5,1.14,13.3,7,22,0.165,10,49.9,1.1
,12:29:18,5,3590,239.5,1.13,13.3,7,21,0.163,10,49.9,1.09
,12:29:19,5,3590,240.5,1.13,13.3,7,22,0.164,10,49.9,1.1
,12:29:20,5,3590,241.5,1.16,13.3,7,22,0.162,10,49.9,1.13
,12:29:21,5,3590,242.5,1.18,13.3,7,21,0.165,10,49.9,1.14
,12:29:22,5,3590,243.5,1.2,13.3,7,21,0.167,10,49.9,1.15
,12:29:23,5,3590,244.5,1.18,13.3,7,21,0.165,10,49.9,1.14
,12:29:24,5,3590,245.5,1.18,13.3,7,21,0.159,10,49.9,1.14
,12:29:25,5,3590,246.5,1.17,13.3,7,21,0.157,10,49.9,1.13
,12:29:26,5,3590,247.5,1.15,13.3,7,21,0.161,10,49.9,1.11
,12:29:27,5,3590,248.5,1.12,13.3,7,21,0.162,10,49.9,1.08
,12:29:28,5,3590,249.5,1.13,13.3,7,21,0.163,10,49.9,1.09
,12:29:29,5,3590,250.5,1.14,13.3,7,21,0.171,10,49.9,1.11
,12:29:30,5,3590,251.5,1.19,13.3,7,21,0.178,10,49.9,1.15
,12:29:31,5,3590,252.5,1.21,13.3,7,21,0.174,10,49.9,1.16
,12:29:32,5,3590,253.5,1.22,13.3,7,21,0.176,10,49.9,1.17
,12:29:33,5,3590,254.5,1.21,13.3,7,21,0.169,10,49.9,1.17
,12:29:34,5,3590,255.5,1.21,13.3,7,21,0.174,10,49.9,1.16
,12:29:35,5,3590,256.5,1.2,13.3,7,21,0.173,10,49.9,1.16
,12:29:36,5,3590,257.5,1.19,13.3,7,21,0.171,10,49.9,1.14
,12:29:37,5,3590,258.5,1.16,13.3,7,21,0.168,10,49.9,1.12
,12:29:38,5,3590,259.5,1.14,13.3,7,21,0.164,10,49.9,1.1
,12:29:39,5,3590,260.5,1.13,13.3,7,21,0.163,10,49.9,1.09
,12:29:40,5,3590,261.5,1.14,13.3,7,21,0.165,10,49.9,1.11
,12:29:41,5,3590,262.5,1.17,13.3,7,21,0.162,10,49.9,1.13
,12:29:42,5,3590,263.5,1.18,13.3,7,21,0.159,10,49.9,1.14
,12:29:43,5,3590,264.5,1.19,13.3,7,21,0.16,10,49.9,1.15
,12:29:44,5,3590,265.5,1.21,13.3,7,21,0.162,10,49.9,1.17
,12:29:45,5,3590,266.5,1.22,13.3,7,21,0.164,10,49.9,1.18
,12:29:46,5,3590,267.5,1.23,13.3,7,21,0.171,10,49.9,1.18
,12:29:47,5,3590,268.5,1.22,13.3,7,21,0.164,10,49.9,1.17
,12:29:48,5,3590,269.5,1.2,13.3,7,21,0.162,10,49.9,1.16
,12:29:49,5,3590,270.5,1.19,13.3,7,21,0.166,10,49.9,1.15
,12:29:50,5,3590,271.5,1.18,13.3,7,21,0.164,10,49.9,1.14
,12:29:51,5,3590,272.5,1.17,13.3,7,21,0.169,10,49.9,1.13
,12:29:52,5,3590,273.5,1.16,13.3,7,21,0.168,10,49.9,1.12
,12:29:53,5,3590,274.5,1.16,13.3,7,22,0.168,10,49.9,1.12
,12:29:54,5,3590,275.5,1.17,13.3,7,22,0.175,10,49.9,1.13
,12:29:55,5,3590,276.5,1.18,13.3,7,22,0.17,10,49.9,1.14
,12:29:56,5,3590,277.5,1.2,13.3,7,22,0.18,10,49.9,1.16
,12:29:57,5,3590,278.5,1.2,13.3,7,22,0.174,10,49.9,1.16
,12:29:58,5,3590,279.5,1.2,13.3,7,22,0.173,10,49.9,1.15
,12:29:59,5,3590,280.5,1.18,13.3,7,22,0.17,10,49.9,1.13
,12:30:00,5,3590,281.5,1.17,13.3,7,22,0.168,10,49.9,1.13
,12:30:01,5,3590,282.5,1.17,13.3,7,22,0.169,10,49.9,1.13
,12:30:02,5,3590,283.5,1.17,13.3,7,22,0.169,10,49.9,1.13
,12:30:03,5,3590,284.5,1.18,13.3,7,22,0.171,10,49.9,1.14
,12:30:04,5,3590,285.5,1.19,13.3,7,22,0.172,10,49.9,1.15
,12:30:05,5,3590,286.5,1.21,13.3,7,22,0.175,10,49.9,1.17
,12:30:06,5,3590,287.5,1.23,13.3,7,22,0.171,10,49.9,1.19
,12:30:07,5,3590,288.5,1.22,13.3,7,22,0.17,10,49.9,1.18
,12:30:08,5,3590,289.5,1.2,13.3,7,22,0.168,10,49.9,1.16
,12:30:09,5,3590,290.5,1.19,13.3,7,22,0.171,10,49.9,1.14
,12:30:10,5,3590,291.5,1.17,13.3,7,22,0.169,10,49.9,1.13
,12:30:11,5,3590,292.5,1.17,13.3,7,22,0.168,10,49.9,1.13
,12:30:12,5,3590,293.5,1.18,13.3,7,22,0.171,10,49.9,1.14
,12:30:13,5,3590,294.5,1.21,13.3,7,22,0.175,10,49.9,1.17
,12:30:14,5,3590,295.5,1.23,13.3,7,22,0.171,10,49.9,1.19
,12:30:15,5,3590,296.5,1.24,13.3,7,21,0.172,10,49.9,1.19
,12:30:16,5,3590,297.5,1.22,13.3,7,21,0.177,10,49.9,1.18
,12:30:17,5,3590,298.5,1.2,13.3,7,21,0.168,10,49.9,1.16
,12:30:18,5,3590,299.5,1.18,13.3,7,21,0.171,10,49.9,1.14
,12:30:19,5,3590,300.5,1.17,13.3,7,21,0.169,10,49.9,1.13
,12:30:20,5,3590,301.5,1.18,13.3,7,21,0.164,10,49.9,1.14
,12:30:21,5,3590,302.5,1.19,13.3,7,21,0.166,10,49.9,1.15
,12:30:22,5,3590,303.5,1.21,13.3,7,21,0.168,10,49.9,1.17
,12:30:23,5,3590,304.5,1.23,13.3,7,21,0.172,10,49.9,1.19
,12:30:24,5,3590,305.5,1.24,13.3,7,21,0.173,10,49.9,1.2
,12:30:25,5,3590,306.5,1.23,13.3,7,21,0.171,10,49.9,1.19
,12:30:26,5,3590,307.5,1.2,13.3,7,21,0.173,10,49.9,1.16
,12:30:27,5,3590,308.5,1.18,13.3,7,21,0.17,10,49.9,1.14
,12:30:28,5,3590,309.5,1.18,13.3,7,21,0.164,10,49.9,1.13
,12:30:29,5,3590,310.5,1.17,13.3,7,22,0.163,10,49.9,1.13
,12:30:30,5,3590,311.5,1.17,13.3,7,22,0.163,10,49.9,1.13
,12:30:31,5,3590,312.5,1.18,13.3,7,22,0.164,10,49.9,1.14
,12:30:32,5,3590,313.5,1.21,13.3,7,22,0.168,10,49.9,1.17
,12:30:33,5,3590,314.5,1.22,13.3,7,22,0.169,10,49.9,1.17
,12:30:34,5,3590,315.5,1.22,13.3,7,22,0.176,10,49.9,1.18
,12:30:35,5,3590,316.5,1.21,13.3,7,22,0.168,10,49.9,1.17
,12:30:36,5,3590,317.5,1.2,13.3,7,22,0.167,10,49.9,1.16
,12:30:37,5,3590,318.5,1.18,13.3,7,21,0.158,10,49.9,1.14
,12:30:38,5,3590,319.5,1.17,13.3,7,21,0.157,10,49.9,1.13
,12:30:39,5,3590,320.5,1.18,13.3,8,21,0.153,10,49.9,1.14
,12:30:40,5,3590,321.5,1.21,13.3,8,21,0.157,10,49.9,1.17
,12:30:41,5,3590,322.5,1.22,13.3,7,21,0.164,10,49.9,1.18
,12:30:42,5,3590,323.5,1.23,13.3,7,21,0.171,10,49.9,1.19
,12:30:43,5,3590,324.5,1.21,13.3,7,22,0.168,10,49.9,1.16
,12:30:44,5,3590,325.5,1.19,13.3,7,22,0.165,10,49.9,1.14
,12:30:45,5,3590,326.5,1.16,13.3,7,21,0.168,10,49.9,1.12
,12:30:46,5,3590,327.5,1.15,13.3,7,21,0.167,10,49.9,1.11
,12:30:47,5,3590,328.5,1.16,13.3,7,22,0.173,10,49.9,1.12
,12:30:48,5,3590,329.5,1.16,13.3,7,22,0.168,10,49.9,1.12
,12:30:49,5,3590,330.5,1.18,13.3,7,22,0.171,10,49.9,1.14
,12:30:50,5,3590,331.5,1.21,13.3,7,22,0.174,10,49.9,1.17
,12:30:51,5,3590,332.5,1.23,13.3,7,21,0.178,10,49.9,1.19
,12:30:52,5,3590,333.5,1.23,13.3,7,21,0.178,10,49.9,1.19
,12:30:53,5,3590,334.5,1.21,13.3,7,21,0.175,10,49.9,1.17
,12:30:54,5,3590,335.5,1.18,13.3,7,21,0.171,10,49.9,1.14
,12:30:55,5,3590,336.5,1.17,13.3,7,21,0.176,10,49.9,1.13
,12:30:56,5,3590,337.5,1.17,13.3,7,21,0.169,10,49.9,1.13
,12:30:57,5,3590,338.5,1.18,13.3,7,21,0.17,10,49.9,1.14
,12:30:58,5,3590,339.5,1.19,13.3,7,21,0.166,10,49.9,1.15
,12:30:59,5,3590,340.5,1.21,13.3,7,21,0.169,10,49.9,1.17
,12:31:00,5,3590,341.5,1.22,13.3,7,21,0.17,10,49.9,1.18
,12:31:01,5,3590,342.5,1.22,13.3,7,21,0.176,10,49.9,1.17
,12:31:02,5,3590,343.5,1.19,13.3,7,21,0.172,10,49.9,1.15
,12:31:03,5,3590,344.5,1.18,13.3,7,21,0.17,10,49.9,1.14
,12:31:04,5,3590,345.5,1.17,13.3,7,21,0.169,10,49.9,1.13
,12:31:05,5,3590,346.5,1.18,13.3,7,22,0.17,10,49.9,1.13
,12:31:06,5,3590,347.5,1.18,13.3,7,22,0.171,10,49.9,1.14
,12:31:07,5,3590,348.5,1.21,13.3,7,22,0.174,10,49.9,1.17
,12:31:08,5,3590,349.5,1.23,13.3,7,22,0.172,10,49.9,1.19
,12:31:09,5,3590,350.5,1.25,13.3,7,22,0.173,10,49.9,1.2
,12:31:10,5,3590,351.5,1.23,13.3,7,22,0.177,10,49.9,1.18
,12:31:11,5,3590,352.5,1.21,13.3,7,22,0.168,10,49.9,1.16
,12:31:12,5,3590,353.5,1.19,13.3,7,22,0.165,10,49.9,1.14
,12:31:13,5,3590,354.5,1.18,13.3,7,21,0.164,10,49.9,1.13
,12:31:14,5,3590,355.5,1.16,13.3,7,21,0.168,10,49.9,1.13
,12:31:15,5,3590,356.5,1.18,13.3,7,21,0.165,10,49.9,1.14
,12:31:16,5,3590,357.5,1.22,13.3,7,21,0.163,10,49.9,1.18
,12:31:17,5,3590,358.5,1.24,13.3,8,21,0.161,10,49.9,1.2
,12:31:18,5,3590,359.5,1.23,13.3,7,21,0.165,10,49.9,1.19
,12:31:19,5,3590,360.5,1.21,13.3,8,21,0.157,10,49.9,1.17
,12:31:20,5,3590,361.5,1.19,13.3,7,21,0.16,10,49.9,1.14
,12:31:21,5,3590,362.5,1.17,13.3,7,21,0.158,10,49.9,1.13
,12:31:22,5,3590,363.5,1.16,13.3,7,21,0.161,10,49.9,1.11
,12:31:23,5,3590,364.5,1.16,13.3,7,21,0.167,10,49.9,1.12
,12:31:24,5,3590,365.5,1.15,13.3,7,21,0.166,10,49.9,1.11
,12:31:25,5,3590,366.5,1.17,13.3,7,21,0.175,10,49.9,1.13
,12:31:26,5,3590,367.5,1.19,13.3,7,21,0.178,10,49.9,1.15
,12:31:27,5,3590,368.5,1.21,13.3,7,21,0.175,10,49.9,1.17
,12:31:28,5,3590,369.5,1.23,13.3,7,21,0.177,10,49.9,1.18
,12:31:29,5,3590,370.5,1.21,13.3,7,21,0.169,10,49.9,1.17
,12:31:30,5,3590,371.5,1.21,13.3,7,22,0.168,10,49.9,1.16
,12:31:31,5,3590,372.5,1.19,13.3,7,22,0.165,10,49.9,1.15
,12:31:32,5,3590,373.5,1.19,13.3,7,21,0.165,10,49.9,1.14
,12:31:33,5,3590,374.5,1.18,13.3,7,21,0.164,10,49.9,1.13
,12:31:34,5,3590,375.5,1.18,13.3,7,21,0.164,10,49.9,1.14
,12:31:35,5,3590,376.5,1.19,13.3,7,21,0.171,10,49.9,1.14
,12:31:36,5,3590,377.5,1.2,13.3,7,21,0.179,10,49.9,1.16
,12:31:37,5,3590,378.5,1.21,13.3,7,21,0.175,10,49.9,1.17
