s,,DELRIN_DRY_T12_PO5.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,23/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,Delrin,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 15:55:56 on 23/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff ( ),Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,delrin_dry_t12_po5-h001.tsv,,,,,,,,,,
,16:00:52,5,3590,295.6,2.46,13.3,7,23,0.356,10,49.9,2.38
,16:00:53,5,3590,296.6,2.46,13.3,7,22,0.343,10,49.9,2.38
,16:00:54,5,3590,297.6,2.47,13.3,7,22,0.343,10,49.9,2.38
,16:00:55,5,3590,298.6,2.47,13.3,7,22,0.357,10,49.9,2.39
,16:00:56,5,3590,299.6,2.47,13.3,7,22,0.357,10,49.8,2.38
,16:00:57,5,3590,300.6,2.47,13.3,7,22,0.357,10,49.9,2.38
,16:00:58,5,3590,301.6,2.47,13.3,7,22,0.357,10,49.9,2.38
,16:00:59,5,3590,302.6,2.47,13.3,7,22,0.344,10,49.9,2.39
,16:01:00,5,3590,303.6,2.48,13.3,7,23,0.358,10,49.8,2.39
,16:01:01,5,3590,304.6,2.48,13.3,7,23,0.358,10,49.8,2.39
,16:01:02,5,3590,305.6,2.48,13.3,7,23,0.358,10,49.9,2.39
,16:01:03,5,3590,306.6,2.48,13.3,7,23,0.346,10,49.9,2.39
,16:01:04,5,3590,307.6,2.48,13.3,7,23,0.345,10,49.8,2.39
,16:01:05,5,3590,308.6,2.48,13.3,7,22,0.345,10,49.8,2.39
,16:01:06,5,3590,309.6,2.48,13.3,7,22,0.345,10,49.9,2.39
,16:01:07,5,3590,310.6,2.48,13.3,7,22,0.358,10,49.8,2.39
,16:01:08,5,3590,311.6,2.47,13.3,7,22,0.357,10,49.8,2.39
,16:01:09,5,3590,312.6,2.47,13.3,7,22,0.345,10,49.9,2.39
,16:01:10,5,3590,313.6,2.47,13.3,7,22,0.332,10,49.9,2.39
,16:01:11,5,3590,314.6,2.47,13.3,7,22,0.344,10,49.8,2.39
,16:01:12,5,3590,315.6,2.47,13.3,7,22,0.357,10,49.8,2.38
,16:01:13,5,3590,316.6,2.47,13.3,7,22,0.344,10,49.9,2.38
,16:01:14,5,3590,317.6,2.47,13.3,7,22,0.344,10,49.9,2.39
,16:01:15,5,3590,318.6,2.47,13.3,7,22,0.332,10,49.9,2.39
,16:01:16,5,3590,319.6,2.47,13.3,7,22,0.344,10,49.9,2.39
,16:01:17,5,3590,320.6,2.47,13.3,7,23,0.344,10,49.8,2.38
,16:01:18,5,3590,321.6,2.47,13.3,7,23,0.357,10,49.8,2.38
,16:01:19,5,3590,322.6,2.47,13.3,7,23,0.357,10,49.8,2.38
,16:01:20,5,3590,323.6,2.47,13.3,7,23,0.344,10,49.8,2.39
,16:01:21,5,3590,324.6,2.48,13.3,7,23,0.346,10,49.9,2.39
,16:01:22,5,3590,325.6,2.49,13.3,7,22,0.346,10,49.8,2.4
,16:01:23,5,3590,326.6,2.49,13.3,7,22,0.359,10,49.8,2.4
,16:01:24,5,3590,327.6,2.48,13.3,7,22,0.359,10,49.9,2.4
,16:01:25,5,3590,328.6,2.48,13.3,7,22,0.346,10,49.9,2.39
,16:01:26,5,3590,329.6,2.48,13.3,7,22,0.345,10,49.9,2.39
,16:01:27,5,3590,330.6,2.47,13.3,7,23,0.345,10,49.9,2.39
