Data file,,DELRIN_HEF_T40_PO3.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,30/03/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Delrin,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 14:05:41 on 30/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,delrin_hef_t40_po3-h001.tsv,,,,,,,,,,
,14:08:38,5,3590,176.2,0.68,13.3,7,22,0.094,10,49.8,0.65
,14:08:39,5,3590,177.2,0.67,13.3,7,22,0.093,10,49.8,0.64
,14:08:40,5,3590,178.2,0.66,13.3,7,22,0.089,10,49.8,0.64
,14:08:41,5,3590,179.2,0.65,13.3,7,22,0.088,10,49.8,0.63
,14:08:42,5,3590,180.2,0.66,13.3,7,21,0.088,10,49.8,0.63
,14:08:43,5,3590,181.2,0.66,13.3,7,21,0.088,10,49.8,0.63
,14:08:44,5,3590,182.2,0.66,13.3,7,21,0.089,10,49.8,0.64
,14:08:45,5,3590,183.2,0.66,13.3,7,21,0.089,10,49.8,0.64
,14:08:46,5,3590,184.2,0.66,13.3,7,21,0.092,10,49.8,0.64
,14:08:47,5,3590,185.2,0.66,13.3,7,21,0.095,10,49.8,0.64
,14:08:48,5,3590,186.2,0.66,13.3,7,21,0.095,10,49.8,0.64
,14:08:49,5,3590,187.2,0.66,13.3,7,21,0.095,10,49.8,0.63
,14:08:50,5,3590,188.2,0.66,13.3,7,21,0.095,10,49.8,0.63
,14:08:51,5,3590,189.2,0.65,13.3,7,21,0.094,10,49.8,0.63
,14:08:52,5,3590,190.2,0.65,13.3,7,21,0.093,10,49.8,0.62
,14:08:53,5,3590,191.2,0.65,13.3,7,21,0.093,10,49.8,0.63
,14:08:54,5,3590,192.2,0.66,13.3,7,21,0.095,10,49.8,0.63
,14:08:55,5,3590,193.2,0.66,13.3,7,21,0.099,10,49.8,0.64
,14:08:56,5,3590,194.2,0.67,13.3,7,21,0.096,10,49.8,0.65
,14:08:57,5,3590,195.2,0.67,13.3,7,21,0.094,10,49.8,0.65
