Data file,,RA0.3_PAO_-8C_003_1HOUR.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,15/03/2016,,,,,,,,,,
Lubricant,,PAO,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 16:20:59 on 15/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,16:59:45,4,3600,2326.1,2.09,13.3,9,-6.8,0.221,10,0.2,1.89
,16:59:46,4,3600,2327.1,2.09,13.3,9,-6.8,0.221,10,0.2,1.89
,16:59:47,4,3600,2328.1,2.09,13.3,9,-6.8,0.227,10,0.2,1.89
,16:59:48,4,3600,2329.1,2.09,13.3,9,-6.8,0.233,10,0.2,1.88
,16:59:49,4,3600,2330.1,2.08,13.3,9,-6.8,0.239,10,0.2,1.88
,16:59:50,4,3600,2331.1,2.07,13.3,9,-6.8,0.238,10,0.2,1.87
,16:59:51,4,3600,2332.1,2.07,13.3,9,-6.8,0.238,10,0.2,1.87
,16:59:52,4,3600,2333.1,2.08,13.3,9,-6.8,0.238,10,0.2,1.88
,16:59:53,4,3600,2334.1,2.08,13.3,9,-6.8,0.239,10,0.2,1.88
,16:59:54,4,3600,2335.1,2.08,13.3,9,-6.8,0.232,10,0.2,1.88
,16:59:55,4,3600,2336.1,2.09,13.3,9,-6.7,0.232,10,0.2,1.88
,16:59:56,4,3600,2337.1,2.09,13.3,9,-6.7,0.233,10,0.2,1.88
,16:59:57,4,3600,2338.1,2.09,13.3,9,-6.7,0.233,10,0.2,1.89
,16:59:58,4,3600,2339.1,2.09,13.3,9,-6.7,0.233,10,0.2,1.88
,16:59:59,4,3600,2340.1,2.09,13.3,9,-6.7,0.233,10,0.2,1.88
,17:00:00,4,3600,2341.1,2.09,13.3,9,-6.7,0.233,10,0.2,1.88
,17:00:01,4,3600,2342.1,2.09,13.3,9,-6.7,0.233,10,0.2,1.88
,17:00:02,4,3600,2343.1,2.09,13.3,9,-6.7,0.226,10,0.2,1.88
,17:00:03,4,3600,2344.1,2.09,13.3,9,-6.7,0.22,10,0.2,1.88
,17:00:04,4,3600,2345.1,2.09,13.3,9,-6.7,0.22,10,0.2,1.88
,17:00:05,4,3600,2346.1,2.09,13.3,9,-6.7,0.227,10,0.2,1.89
,17:00:06,4,3600,2347.1,2.09,13.3,9,-6.7,0.233,10,0.2,1.89
,17:00:07,4,3600,2348.1,2.09,13.3,9,-6.7,0.233,10,0.2,1.89
,17:00:08,4,3600,2349.1,2.09,13.3,9,-6.7,0.232,10,0.2,1.88
,17:00:09,4,3600,2350.1,2.08,13.3,9,-6.7,0.232,10,0.2,1.88
,17:00:10,4,3600,2351.1,2.08,13.3,9,-6.7,0.232,10,0.2,1.88
,17:00:11,4,3600,2352.1,2.08,13.3,9,-6.7,0.232,10,0.2,1.88
,17:00:12,4,3600,2353.1,2.08,13.3,9,-6.7,0.232,10,0.2,1.88
,17:00:13,4,3600,2354.1,2.08,13.3,9,-6.7,0.232,10,0.2,1.87
,17:00:14,4,3600,2355.1,2.08,13.3,9,-6.7,0.232,10,0.2,1.87
,17:00:15,4,3600,2356.1,2.08,13.3,9,-6.7,0.225,10,0.2,1.87
,17:00:16,4,3600,2357.1,2.08,13.3,9,-6.7,0.225,10,0.2,1.88
,17:00:17,4,3600,2358.1,2.08,13.3,9,-6.7,0.22,10,0.2,1.88
,17:00:18,4,3600,2359.1,2.09,13.3,9,-6.7,0.226,10,0.2,1.88
,17:00:19,4,3600,2360.1,2.09,13.3,9,-6.7,0.232,10,0.2,1.88
,17:00:20,4,3600,2361.1,2.08,13.3,9,-6.7,0.232,10,0.2,1.88
,17:00:21,4,3600,2362.1,2.08,13.3,9,-6.7,0.232,10,0.2,1.88
,17:00:22,4,3600,2363.1,2.08,13.3,9,-6.7,0.232,10,0.2,1.87
,17:00:23,4,3600,2364.1,2.08,13.3,9,-6.7,0.232,10,0.2,1.88
,17:00:24,4,3600,2365.1,2.08,13.3,9,-6.7,0.232,10,0.2,1.88
,17:00:25,4,3600,2366.1,2.08,13.3,9,-6.7,0.232,10,0.2,1.88
