Data file,,DELRIN500AF-UNHONED_ISO10_12DEG_007_12HRS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,22/11/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Delrin 500AF on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,12Hrs,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 09:52:39 on 22/11/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,09:55:36,6,21600,176.4,0.28,13.3,7,10.2,0.041,10,0.7,0.28
,09:55:37,6,21600,177.4,0.28,13.3,7,10.2,0.042,10,0.7,0.28
,09:55:38,6,21600,178.4,0.28,13.3,7,10.2,0.042,10,0.7,0.28
,09:55:39,6,21600,179.4,0.28,13.3,7,10.3,0.042,10,0.7,0.28
,09:55:40,6,21600,180.4,0.28,13.3,7,10.3,0.041,10,0.7,0.28
,09:55:41,6,21600,181.4,0.28,13.3,7,10.3,0.039,10,0.7,0.28
,09:55:42,6,21600,182.4,0.28,13.3,7,10.3,0.041,10,0.7,0.28
,09:55:43,6,21600,183.4,0.28,13.3,7,10.3,0.042,10,0.7,0.27
,09:55:44,6,21600,184.4,0.28,13.3,7,10.3,0.042,10,0.7,0.27
,09:55:45,6,21600,185.4,0.28,13.3,7,10.3,0.042,10,0.7,0.27
,09:55:46,6,21600,186.4,0.28,13.3,7,10.3,0.04,10,0.7,0.27
,09:55:47,6,21600,187.4,0.28,13.3,7,10.4,0.042,10,0.7,0.27
,09:55:48,6,21600,188.4,0.28,13.3,7,10.4,0.042,10,0.7,0.27
,09:55:49,6,21600,189.4,0.28,13.3,7,10.4,0.041,10,0.7,0.28
,09:55:50,6,21600,190.4,0.28,13.3,7,10.4,0.039,10,0.7,0.28
,09:55:51,6,21600,191.4,0.28,13.3,7,10.4,0.039,10,0.7,0.27
,09:55:52,6,21600,192.4,0.28,13.3,7,10.4,0.042,10,0.7,0.27
,09:55:53,6,21600,193.4,0.28,13.3,6,10.5,0.043,10,0.7,0.27
,09:55:54,6,21600,194.4,0.28,13.3,7,10.5,0.042,10,0.7,0.27
,09:55:55,6,21600,195.4,0.28,13.3,7,10.5,0.04,10,0.7,0.27
,09:55:56,6,21600,196.4,0.28,13.3,7,10.5,0.042,10,0.7,0.27
,09:55:57,6,21600,197.4,0.28,13.3,7,10.5,0.042,10,0.7,0.27
,09:55:58,6,21600,198.4,0.28,13.3,7,10.5,0.04,10,0.7,0.27
,09:55:59,6,21600,199.4,0.28,13.3,7,10.6,0.04,10,0.7,0.27
,09:56:00,6,21600,200.4,0.28,13.3,7,10.5,0.04,10,0.7,0.27
,09:56:01,6,21600,201.4,0.27,13.3,7,10.6,0.038,10,0.7,0.27
,09:56:02,6,21600,202.4,0.27,13.3,7,10.6,0.038,10,0.7,0.27
,09:56:03,6,21600,203.4,0.27,13.3,7,10.6,0.039,10,0.7,0.27
,09:56:04,6,21600,204.4,0.27,13.3,7,10.6,0.041,10,0.7,0.27
,09:56:05,6,21600,205.4,0.27,13.3,7,10.6,0.041,10,0.7,0.27
,09:56:06,6,21600,206.4,0.27,13.3,7,10.6,0.041,10,0.7,0.27
,09:56:07,6,21600,207.4,0.27,13.3,7,10.7,0.041,10,0.7,0.27
,09:56:08,6,21600,208.4,0.28,13.3,7,10.7,0.042,10,0.7,0.27
,09:56:09,6,21600,209.4,0.28,13.3,7,10.7,0.04,10,0.7,0.27
,09:56:10,6,21600,210.4,0.28,13.3,7,10.7,0.042,10,0.7,0.27
,09:56:11,6,21600,211.4,0.28,13.3,7,10.7,0.042,10,0.7,0.27
,09:56:12,6,21600,212.4,0.28,13.3,7,10.8,0.042,10,0.7,0.28
,09:56:13,6,21600,213.4,0.28,13.3,7,10.8,0.042,10,0.7,0.28
,09:56:14,6,21600,214.4,0.28,13.3,7,10.8,0.041,10,0.7,0.28
,09:56:15,6,21600,215.4,0.28,13.3,7,10.8,0.041,10,0.7,0.28
,09:56:16,6,21600,216.4,0.28,13.3,7,10.8,0.039,10,0.7,0.27
,09:56:17,6,21600,217.4,0.28,13.3,7,10.8,0.039,10,0.7,0.27
,09:56:18,6,21600,218.4,0.28,13.3,7,10.9,0.039,10,0.7,0.27
,09:56:19,6,21600,219.4,0.27,13.3,7,10.9,0.04,10,0.7,0.27
,09:56:20,6,21600,220.4,0.27,13.3,7,10.9,0.039,10,0.7,0.27
,09:56:21,6,21600,221.4,0.27,13.3,7,10.9,0.04,10,0.7,0.26
,09:56:22,6,21600,222.4,0.27,13.3,7,10.9,0.041,10,0.7,0.27
,09:56:23,6,21600,223.4,0.27,13.3,7,10.9,0.04,10,0.7,0.27
,09:56:24,6,21600,224.4,0.28,13.3,7,10.9,0.04,10,0.7,0.27
,09:56:25,6,21600,225.4,0.27,13.3,7,11,0.041,10,0.7,0.27
,09:56:26,6,21600,226.4,0.27,13.3,7,11,0.041,10,0.7,0.27
,09:56:27,6,21600,227.4,0.27,13.3,7,11,0.041,10,0.7,0.27
,09:56:28,6,21600,228.4,0.27,13.3,7,11,0.039,10,0.7,0.27
,09:56:29,6,21600,229.4,0.27,13.3,7,11,0.039,10,0.7,0.27
,09:56:30,6,21600,230.4,0.27,13.3,7,11.1,0.041,10,0.7,0.27
,09:56:31,6,21600,231.4,0.27,13.3,7,11.1,0.041,10,0.7,0.27
,09:56:32,6,21600,232.4,0.27,13.3,7,11.1,0.041,10,0.7,0.27
,09:56:33,6,21600,233.4,0.28,13.3,7,11.1,0.04,10,0.7,0.27
,09:56:34,6,21600,234.4,0.28,13.3,7,11.1,0.04,10,0.7,0.27
,09:56:35,6,21600,235.4,0.27,13.3,7,11.2,0.04,10,0.7,0.27
,09:56:36,6,21600,236.4,0.27,13.3,7,11.2,0.038,10,0.7,0.27
,09:56:37,6,21600,237.4,0.27,13.3,7,11.2,0.038,10,0.7,0.27
,09:56:38,6,21600,238.4,0.27,13.3,7,11.2,0.04,10,0.7,0.27
,09:56:39,6,21600,239.4,0.27,13.3,7,11.2,0.039,10,0.7,0.27
,09:56:40,6,21600,240.4,0.27,13.3,7,11.2,0.039,10,0.7,0.26
,09:56:41,6,21600,241.4,0.27,13.3,7,11.2,0.039,10,0.7,0.26
,09:56:42,6,21600,242.4,0.27,13.3,7,11.3,0.04,10,0.7,0.26
,09:56:43,6,21600,243.4,0.27,13.3,7,11.3,0.04,10,0.7,0.26
,09:56:44,6,21600,244.4,0.27,13.3,7,11.3,0.041,10,0.7,0.27
,09:56:45,6,21600,245.4,0.27,13.3,7,11.3,0.041,10,0.7,0.27
,09:56:46,6,21600,246.4,0.27,13.3,7,11.3,0.04,10,0.7,0.26
,09:56:47,6,21600,247.4,0.27,13.3,7,11.4,0.039,10,0.7,0.27
,09:56:48,6,21600,248.4,0.27,13.3,7,11.4,0.038,10,0.7,0.27
,09:56:49,6,21600,249.4,0.28,13.3,7,11.4,0.04,10,0.7,0.27
,09:56:50,6,21600,250.4,0.27,13.3,7,11.4,0.04,10,0.7,0.27
,09:56:51,6,21600,251.4,0.27,13.3,7,11.4,0.04,10,0.7,0.27
,09:56:52,6,21600,252.4,0.27,13.3,7,11.5,0.039,10,0.7,0.26
,09:56:53,6,21600,253.4,0.27,13.3,7,11.5,0.039,10,0.7,0.27
,09:56:54,6,21600,254.4,0.27,13.3,7,11.5,0.039,10,0.7,0.27
,09:56:55,6,21600,255.4,0.27,13.3,7,11.6,0.038,10,0.7,0.27
,09:56:56,6,21600,256.4,0.27,13.3,7,11.6,0.037,10,0.7,0.26
,09:56:57,6,21600,257.4,0.27,13.3,7,11.6,0.039,10,0.7,0.26
,09:56:58,6,21600,258.4,0.27,13.3,7,11.6,0.04,10,0.7,0.26
,09:56:59,6,21600,259.4,0.27,13.3,7,11.6,0.04,10,0.7,0.26
,09:57:00,6,21600,260.4,0.27,13.3,7,11.6,0.04,10,0.7,0.26
,09:57:01,6,21600,261.4,0.27,13.3,7,11.6,0.04,10,0.7,0.26
,09:57:02,6,21600,262.4,0.27,13.3,7,11.6,0.041,10,0.7,0.27
,09:57:03,6,21600,263.4,0.27,13.3,7,11.7,0.041,10,0.7,0.27
,09:57:04,6,21600,264.4,0.27,13.3,7,11.7,0.039,10,0.7,0.26
,09:57:05,6,21600,265.4,0.27,13.3,7,11.7,0.039,10,0.7,0.26
,09:57:06,6,21600,266.4,0.27,13.3,7,11.7,0.039,10,0.7,0.26
,09:57:07,6,21600,267.4,0.27,13.3,7,11.8,0.039,10,0.7,0.27
