Data file,,SORONA_ISO10_12C_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,03/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Sorona on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 11:33:55 on 03/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,11:39:03,4,3600,299.5,0.5,13.3,7,10.8,0.072,10,0.2,0.46
,11:39:04,4,3600,300.5,0.5,13.3,7,10.8,0.07,10,0.2,0.47
,11:39:06,4,3600,301.5,0.51,13.3,7,10.8,0.071,10,0.2,0.48
,11:39:07,4,3600,302.5,0.51,13.3,7,10.8,0.074,10,0.2,0.48
,11:39:08,4,3600,303.5,0.51,13.3,7,10.8,0.073,10,0.2,0.47
,11:39:09,4,3600,304.5,0.5,13.3,7,10.8,0.075,10,0.2,0.47
,11:39:11,4,3600,305.5,0.51,13.3,7,10.8,0.076,10,0.2,0.48
,11:39:12,4,3600,306.5,0.51,13.3,6,10.8,0.08,10,0.1,0.48
,11:39:13,4,3600,307.5,0.51,13.3,7,10.7,0.077,10,0.1,0.48
,11:39:15,4,3600,308.5,0.51,13.3,7,10.7,0.074,10,0.1,0.48
,11:39:16,4,3600,309.5,0.51,13.3,7,10.7,0.074,10,0.1,0.48
,11:39:17,4,3600,310.5,0.51,13.3,7,10.7,0.074,10,0.1,0.48
,11:39:19,4,3600,311.5,0.5,13.3,7,10.7,0.07,10,0.1,0.47
,11:39:20,4,3600,312.5,0.51,13.3,7,10.7,0.071,10,0.1,0.48
,11:39:21,4,3600,313.5,0.51,13.3,7,10.7,0.074,10,0.1,0.48
,11:39:22,4,3600,314.5,0.51,13.3,7,10.7,0.077,10,0.1,0.48
,11:39:24,4,3600,315.5,0.51,13.3,7,10.7,0.077,10,0.1,0.48
,11:39:25,4,3600,316.5,0.51,13.3,7,10.7,0.077,10,0.1,0.48
,11:39:26,4,3600,317.5,0.51,13.3,7,10.7,0.077,10,0.1,0.48
,11:39:28,4,3600,318.5,0.51,13.3,7,10.7,0.077,10,0.1,0.48
,11:39:29,4,3600,319.5,0.52,13.3,7,10.8,0.077,10,0.1,0.48
,11:39:30,4,3600,320.5,0.52,13.3,7,10.8,0.077,10,0.1,0.48
,11:39:32,4,3600,321.5,0.52,13.3,7,10.8,0.074,10,0.1,0.48
