Data file,,DELRIN500AF_ISO10_12C_004.TSV,,,,,,,,,,
,10:11:48,4,3600,78.7,0.94,13.3,7,11.5,0.141,10,0.2,0.88
,10:11:49,4,3600,79.7,0.95,13.3,7,11.5,0.142,10,0.1,0.89
,10:11:50,4,3600,80.7,0.95,13.3,7,11.5,0.138,10,0.1,0.89
,10:11:51,4,3600,81.7,0.96,13.3,7,11.6,0.139,10,0.1,0.9
,10:11:52,4,3600,82.7,0.96,13.3,7,11.6,0.139,10,0.1,0.9
,10:11:53,4,3600,83.7,0.96,13.3,7,11.6,0.138,10,0.1,0.9
,10:11:54,4,3600,84.7,0.95,13.3,7,11.6,0.137,10,0.1,0.89
,10:11:55,4,3600,85.7,0.94,13.3,7,11.6,0.136,10,0.1,0.88
,10:11:56,4,3600,86.7,0.95,13.3,7,11.7,0.142,10,0.1,0.89
,10:11:57,4,3600,87.7,0.95,13.3,7,11.7,0.143,10,0.1,0.89
,10:11:58,4,3600,88.7,0.96,13.3,7,11.7,0.144,10,0.1,0.9
,10:11:59,4,3600,89.7,0.96,13.3,7,11.7,0.139,10,0.1,0.9
,10:12:00,4,3600,90.7,0.97,13.3,7,11.7,0.14,10,0.1,0.91
,10:12:01,4,3600,91.7,0.97,13.3,7,11.7,0.14,10,0.1,0.91
,10:12:02,4,3600,92.7,0.96,13.3,7,11.8,0.144,10,0.1,0.9
,10:12:03,4,3600,93.7,0.96,13.3,7,11.8,0.144,10,0.1,0.9
,10:12:04,4,3600,94.7,0.96,13.3,7,11.8,0.145,10,0.1,0.91
,10:12:05,4,3600,95.7,0.97,13.3,7,11.8,0.14,10,0.1,0.91
,10:12:06,4,3600,96.7,0.98,13.3,7,11.8,0.141,10,0.1,0.91
,10:12:07,4,3600,97.7,0.98,13.3,7,11.8,0.142,10,0.1,0.92
,10:12:08,4,3600,98.7,0.98,13.3,7,11.8,0.141,10,0.1,0.91
,10:12:09,4,3600,99.7,0.98,13.3,7,11.8,0.136,10,0.1,0.91
,10:12:10,4,3600,100.7,0.97,13.3,7,11.8,0.14,10,0.1,0.91
,10:12:11,4,3600,101.7,0.97,13.3,7,11.9,0.146,10,0.1,0.91
,10:12:12,4,3600,102.7,0.98,13.3,7,11.9,0.147,10,0.1,0.91
,10:12:13,4,3600,103.7,0.98,13.3,7,11.9,0.142,10,0.1,0.92
,10:12:14,4,3600,104.7,0.98,13.3,7,11.9,0.142,10,0.1,0.92
,10:12:15,4,3600,105.7,0.98,13.3,7,12,0.142,10,0.1,0.92
,10:12:16,4,3600,106.7,0.98,13.3,7,12,0.148,10,0.1,0.92
,10:12:17,4,3600,107.7,0.99,13.3,7,12,0.148,10,0.1,0.93
,10:12:18,4,3600,108.7,1,13.3,7,12,0.144,10,0.1,0.93
,10:12:19,4,3600,109.7,1,13.3,7,12,0.145,10,0.2,0.94
,10:12:20,4,3600,110.7,1,13.3,7,12,0.144,10,0.1,0.93
,10:12:21,4,3600,111.7,0.99,13.3,7,12.1,0.143,10,0.1,0.93
,10:12:22,4,3600,112.7,0.99,13.3,7,12.1,0.138,10,0.1,0.93
,10:12:23,4,3600,113.7,0.99,13.3,7,12.1,0.138,10,0.1,0.93
,10:12:24,4,3600,114.7,1,13.3,7,12.1,0.134,10,0.1,0.93
,10:12:25,4,3600,115.7,0.99,13.3,7,12.1,0.133,10,0.1,0.93
,10:12:26,4,3600,116.7,0.99,13.3,7,12.1,0.133,10,0.1,0.93
,10:12:27,4,3600,117.7,0.99,13.3,7,12.2,0.138,10,0.1,0.92
,10:12:28,4,3600,118.7,0.98,13.3,7,12.2,0.142,10,0.2,0.92
,10:12:29,4,3600,119.7,0.97,13.3,7,12.2,0.146,10,0.1,0.91
,10:12:30,4,3600,120.7,0.97,13.3,7,12.2,0.146,10,0.1,0.91
,10:12:31,4,3600,121.7,0.98,13.3,7,12.2,0.148,10,0.1,0.92
,10:12:32,4,3600,122.7,0.99,13.3,7,12.3,0.149,10,0.2,0.93
,10:12:33,4,3600,123.7,0.99,13.3,7,12.3,0.149,10,0.1,0.93
,10:12:34,4,3600,124.7,0.99,13.3,7,12.3,0.143,10,0.1,0.93
,10:12:35,4,3600,125.7,0.99,13.3,7,12.3,0.143,10,0.1,0.92
,10:12:36,4,3600,126.7,0.98,13.3,7,12.3,0.142,10,0.1,0.92
,10:12:37,4,3600,127.7,0.98,13.3,7,12.4,0.147,10,0.1,0.92
,10:12:38,4,3600,128.7,0.99,13.3,7,12.4,0.148,10,0.1,0.93
,10:12:39,4,3600,129.7,1,13.3,7,12.4,0.149,10,0.1,0.93
,10:12:40,4,3600,130.7,1,13.3,7,12.4,0.15,10,0.1,0.94
,10:12:41,4,3600,131.7,1.01,13.3,7,12.4,0.151,10,0.1,0.94
,10:12:42,4,3600,132.7,1.01,13.3,7,12.5,0.151,10,0.1,0.94
,10:12:43,4,3600,133.7,1.01,13.3,7,12.5,0.152,10,0.1,0.95
,10:12:44,4,3600,134.7,1.01,13.3,7,12.5,0.146,10,0.1,0.94
,10:12:45,4,3600,135.7,1.01,13.3,7,12.5,0.152,10,0.1,0.95
,10:12:46,4,3600,136.7,1.01,13.3,7,12.5,0.146,10,0.1,0.95
,10:12:47,4,3600,137.7,1.01,13.3,7,12.5,0.146,10,0.2,0.95
,10:12:48,4,3600,138.7,1.01,13.3,7,12.5,0.146,10,0.1,0.95
,10:12:49,4,3600,139.7,1.02,13.3,7,12.5,0.152,10,0.1,0.95
,10:12:50,4,3600,140.7,1.02,13.3,7,12.6,0.153,10,0.1,0.95
,10:12:51,4,3600,141.7,1.02,13.3,7,12.6,0.147,10,0.1,0.95
,10:12:52,4,3600,142.7,1.02,13.3,7,12.6,0.142,10,0.1,0.95
,10:12:53,4,3600,143.7,1.02,13.3,7,12.6,0.137,10,0.1,0.95
,10:12:54,4,3600,144.7,1.01,13.3,7,12.6,0.141,10,0.1,0.95
,10:12:55,4,3600,145.7,1.01,13.3,7,12.7,0.145,10,0.2,0.94
,10:12:56,4,3600,146.7,1,13.3,7,12.7,0.15,10,0.2,0.94
,10:12:57,4,3600,147.7,1,13.3,7,12.7,0.15,10,0.1,0.94
,10:12:58,4,3600,148.7,1.01,13.3,7,12.7,0.151,10,0.1,0.94
,10:12:59,4,3600,149.7,1.02,13.3,7,12.7,0.152,10,0.1,0.95
,10:13:00,4,3600,150.7,1.02,13.3,7,12.7,0.153,10,0.1,0.95
,10:13:01,4,3600,151.7,1.02,13.3,7,12.8,0.153,10,0.1,0.96
,10:13:02,4,3600,152.7,1.02,13.3,7,12.8,0.154,10,0.1,0.96
,10:13:03,4,3600,153.7,1.03,13.3,7,12.8,0.154,10,0.1,0.96
,10:13:04,4,3600,154.7,1.03,13.3,7,12.8,0.154,10,0.1,0.96
,10:13:05,4,3600,155.7,1.02,13.3,7,12.8,0.154,10,0.1,0.96
,10:13:06,4,3600,156.7,1.02,13.3,7,12.8,0.154,10,0.1,0.96
,10:13:07,4,3600,157.7,1.03,13.3,7,12.8,0.154,10,0.1,0.96
,10:13:08,4,3600,158.7,1.03,13.3,7,12.8,0.154,10,0.1,0.96
,10:13:09,4,3600,159.7,1.03,13.3,7,12.8,0.154,10,0.1,0.96
,10:13:10,4,3600,160.7,1.03,13.3,7,12.8,0.154,10,0.1,0.96
,10:13:11,4,3600,161.7,1.03,13.3,7,12.9,0.155,10,0.1,0.97
,10:13:12,4,3600,162.7,1.04,13.3,7,12.9,0.15,10,0.1,0.98
,10:13:13,4,3600,163.7,1.04,13.3,7,12.9,0.156,10,0.1,0.98
,10:13:14,4,3600,164.7,1.04,13.3,7,12.9,0.156,10,0.1,0.97
,10:13:15,4,3600,165.7,1.04,13.3,7,12.9,0.15,10,0.1,0.97
,10:13:16,4,3600,166.7,1.04,13.3,7,12.9,0.14,10,0.1,0.97
,10:13:17,4,3600,167.7,1.04,13.3,7,12.9,0.14,10,0.1,0.97
,10:13:18,4,3600,168.7,1.04,13.3,7,13,0.145,10,0.1,0.97
,10:13:19,4,3600,169.7,1.04,13.3,7,13,0.15,10,0.1,0.97
,10:13:20,4,3600,170.7,1.04,13.3,7,13,0.156,10,0.1,0.97
,10:13:21,4,3600,171.7,1.04,13.3,7,13,0.156,10,0.2,0.98
,10:13:22,4,3600,172.7,1.04,13.3,7,13,0.156,10,0.1,0.98
,10:13:23,4,3600,173.7,1.04,13.3,7,13,0.156,10,0.1,0.97
,10:13:24,4,3600,174.7,1.04,13.3,7,13,0.15,10,0.1,0.97
,10:13:25,4,3600,175.7,1.04,13.3,7,13,0.15,10,0.1,0.98
,10:13:26,4,3600,176.7,1.04,13.3,7,13,0.15,10,0.1,0.98
,10:13:27,4,3600,177.7,1.05,13.3,7,13,0.151,10,0.1,0.98
,10:13:28,4,3600,178.7,1.04,13.3,7,13,0.157,10,0.2,0.98
,10:13:29,4,3600,179.7,1.05,13.3,7,13.1,0.157,10,0.1,0.98
,10:13:30,4,3600,180.7,1.05,13.3,7,13.1,0.157,10,0.1,0.98
,10:13:31,4,3600,181.7,1.05,13.3,7,13.1,0.157,10,0.1,0.98
,10:13:32,4,3600,182.7,1.05,13.3,7,13.1,0.157,10,0.1,0.98
,10:13:33,4,3600,183.7,1.05,13.3,7,13.1,0.157,10,0.1,0.99
,10:13:34,4,3600,184.7,1.06,13.3,7,13.1,0.159,10,0.1,0.99
,10:13:35,4,3600,185.7,1.07,13.3,7,13.1,0.154,10,0.1,1
,10:13:36,4,3600,186.7,1.07,13.3,7,13.1,0.155,10,0.1,1
,10:13:37,4,3600,187.7,1.06,13.3,7,13.1,0.154,10,0.1,1
,10:13:38,4,3600,188.7,1.06,13.3,7,13.2,0.153,10,0.1,0.99
,10:13:39,4,3600,189.7,1.05,13.3,7,13.2,0.152,10,0.1,0.99
,10:13:40,4,3600,190.7,1.05,13.3,7,13.2,0.158,10,0.1,0.99
,10:13:41,4,3600,191.7,1.06,13.3,7,13.2,0.159,10,0.1,0.99
,10:13:42,4,3600,192.7,1.07,13.3,7,13.2,0.154,10,0.1,1
,10:13:43,4,3600,193.7,1.07,13.3,7,13.2,0.154,10,0.1,1
,10:13:44,4,3600,194.7,1.06,13.3,7,13.2,0.153,10,0.1,0.99
,10:13:45,4,3600,195.7,1.06,13.3,7,13.2,0.153,10,0.1,0.99
,10:13:46,4,3600,196.7,1.06,13.3,7,13.2,0.159,10,0.1,0.99
,10:13:47,4,3600,197.7,1.06,13.3,7,13.2,0.153,10,0.2,0.99
,10:13:48,4,3600,198.7,1.06,13.3,7,13.2,0.159,10,0.1,0.99
,10:13:49,4,3600,199.7,1.06,13.3,7,13.2,0.159,10,0.1,0.99
,10:13:50,4,3600,200.7,1.06,13.3,7,13.2,0.159,10,0.1,0.99
,10:13:51,4,3600,201.7,1.06,13.3,7,13.2,0.153,10,0.1,0.99
,10:13:52,4,3600,202.7,1.06,13.3,7,13.2,0.154,10,0.1,1
,10:13:53,4,3600,203.7,1.06,13.3,7,13.3,0.154,10,0.1,0.99
,10:13:54,4,3600,204.7,1.06,13.3,7,13.3,0.159,10,0.1,0.99
,10:13:55,4,3600,205.7,1.06,13.3,7,13.3,0.159,10,0.1,0.99
,10:13:56,4,3600,206.7,1.07,13.3,7,13.3,0.154,10,0.1,1
,10:13:57,4,3600,207.7,1.07,13.3,7,13.3,0.155,10,0.1,1
,10:13:58,4,3600,208.7,1.07,13.3,7,13.3,0.161,10,0.1,1
,10:13:59,4,3600,209.7,1.07,13.3,7,13.3,0.155,10,0.1,1
,10:14:00,4,3600,210.7,1.07,13.3,7,13.3,0.155,10,0.1,1
,10:14:01,4,3600,211.7,1.07,13.3,7,13.3,0.155,10,0.1,1
,10:14:02,4,3600,212.7,1.06,13.3,7,13.3,0.154,10,0.1,1
,10:14:03,4,3600,213.7,1.06,13.3,7,13.3,0.16,10,0.1,1
,10:14:04,4,3600,214.7,1.06,13.3,7,13.3,0.154,10,0.1,1
,10:14:05,4,3600,215.7,1.07,13.3,7,13.3,0.155,10,0.1,1
,10:14:06,4,3600,216.7,1.07,13.3,7,13.3,0.155,10,0.1,1
,10:14:07,4,3600,217.7,1.07,13.3,7,13.3,0.154,10,0.2,1
,10:14:08,4,3600,218.7,1.06,13.3,7,13.3,0.159,10,0.1,0.99
,10:14:09,4,3600,219.7,1.06,13.3,7,13.3,0.16,10,0.1,1
,10:14:10,4,3600,220.7,1.07,13.3,7,13.3,0.155,10,0.1,1
,10:14:11,4,3600,221.7,1.07,13.3,7,13.3,0.155,10,0.1,1
,10:14:12,4,3600,222.7,1.07,13.3,7,13.3,0.154,10,0.1,1
,10:14:13,4,3600,223.7,1.06,13.3,7,13.3,0.153,10,0.1,0.99
,10:14:14,4,3600,224.7,1.06,13.3,7,13.3,0.153,10,0.2,0.99
,10:14:15,4,3600,225.7,1.06,13.3,7,13.3,0.153,10,0.1,0.99
,10:14:16,4,3600,226.7,1.06,13.3,7,13.3,0.153,10,0.1,0.99
,10:14:17,4,3600,227.7,1.05,13.3,7,13.3,0.152,10,0.1,0.99
,10:14:18,4,3600,228.7,1.05,13.3,7,13.4,0.158,10,0.1,0.99
,10:14:19,4,3600,229.7,1.05,13.3,7,13.4,0.152,10,0.1,0.99
,10:14:20,4,3600,230.7,1.05,13.3,7,13.4,0.158,10,0.2,0.99
,10:14:21,4,3600,231.7,1.05,13.3,7,13.4,0.158,10,0.1,0.99
,10:14:22,4,3600,232.7,1.06,13.3,7,13.4,0.159,10,0.2,0.99
,10:14:23,4,3600,233.7,1.06,13.3,7,13.4,0.16,10,0.1,1
,10:14:24,4,3600,234.7,1.07,13.3,7,13.4,0.161,10,0.1,1
,10:14:25,4,3600,235.7,1.07,13.3,7,13.4,0.155,10,0.1,1
,10:14:26,4,3600,236.7,1.06,13.3,7,13.4,0.154,10,0.1,1
,10:14:27,4,3600,237.7,1.06,13.3,7,13.4,0.153,10,0.1,0.99
,10:14:28,4,3600,238.7,1.06,13.3,7,13.4,0.159,10,0.2,0.99
,10:14:29,4,3600,239.7,1.06,13.3,7,13.4,0.154,10,0.1,1
,10:14:30,4,3600,240.7,1.07,13.3,7,13.4,0.161,10,0.1,1
,10:14:31,4,3600,241.7,1.07,13.3,7,13.4,0.154,10,0.1,1
,10:14:32,4,3600,242.7,1.06,13.3,7,13.4,0.159,10,0.1,0.99
,10:14:33,4,3600,243.7,1.06,13.3,7,13.4,0.153,10,0.1,0.99
,10:14:34,4,3600,244.7,1.06,13.3,7,13.4,0.153,10,0.1,0.99
,10:14:35,4,3600,245.7,1.06,13.3,7,13.4,0.159,10,0.1,0.99
,10:14:36,4,3600,246.7,1.06,13.3,7,13.4,0.159,10,0.1,0.99
,10:14:37,4,3600,247.7,1.06,13.3,7,13.4,0.154,10,0.1,1
,10:14:38,4,3600,248.7,1.06,13.3,7,13.4,0.154,10,0.2,1
,10:14:39,4,3600,249.7,1.06,13.3,7,13.4,0.153,10,0.1,0.99
,10:14:40,4,3600,250.7,1.06,13.3,7,13.4,0.159,10,0.1,0.99
,10:14:41,4,3600,251.7,1.06,13.3,7,13.4,0.16,10,0.1,1
,10:14:42,4,3600,252.7,1.07,13.3,7,13.4,0.161,10,0.1,1
,10:14:43,4,3600,253.7,1.08,13.3,7,13.4,0.155,10,0.1,1.01
,10:14:44,4,3600,254.7,1.08,13.3,7,13.4,0.156,10,0.2,1.01
,10:14:45,4,3600,255.7,1.08,13.3,7,13.4,0.15,10,0.1,1.01
,10:14:46,4,3600,256.7,1.07,13.3,7,13.4,0.155,10,0.1,1
,10:14:47,4,3600,257.7,1.07,13.3,7,13.4,0.154,10,0.1,1
,10:14:48,4,3600,258.7,1.06,13.3,7,13.4,0.153,10,0.1,0.99
,10:14:49,4,3600,259.7,1.06,13.3,7,13.4,0.153,10,0.1,0.99
,10:14:50,4,3600,260.7,1.06,13.3,7,13.4,0.153,10,0.2,0.99
,10:14:51,4,3600,261.7,1.06,13.3,7,13.4,0.153,10,0.1,0.99
,10:14:52,4,3600,262.7,1.06,13.3,7,13.4,0.159,10,0.1,0.99
,10:14:53,4,3600,263.7,1.06,13.3,7,13.4,0.159,10,0.1,0.99
,10:14:54,4,3600,264.7,1.06,13.3,7,13.4,0.154,10,0.1,1
,10:14:55,4,3600,265.7,1.07,13.3,7,13.4,0.155,10,0.2,1
,10:14:56,4,3600,266.7,1.07,13.3,7,13.4,0.161,10,0.1,1
,10:14:57,4,3600,267.7,1.07,13.3,7,13.4,0.161,10,0.1,1
,10:14:58,4,3600,268.7,1.07,13.3,7,13.4,0.155,10,0.1,1
,10:14:59,4,3600,269.7,1.07,13.3,7,13.3,0.161,10,0.1,1
,10:15:00,4,3600,270.7,1.07,13.3,7,13.4,0.161,10,0.1,1
,10:15:01,4,3600,271.7,1.07,13.3,7,13.3,0.155,10,0.2,1
,10:15:02,4,3600,272.7,1.07,13.3,7,13.3,0.155,10,0.1,1
,10:15:03,4,3600,273.7,1.07,13.3,7,13.3,0.155,10,0.1,1
,10:15:04,4,3600,274.7,1.07,13.3,7,13.3,0.16,10,0.1,1
,10:15:05,4,3600,275.7,1.07,13.3,7,13.3,0.161,10,0.1,1
,10:15:06,4,3600,276.7,1.08,13.3,7,13.3,0.161,10,0.1,1.01
,10:15:07,4,3600,277.7,1.08,13.3,7,13.3,0.156,10,0.1,1.01
,10:15:08,4,3600,278.7,1.09,13.3,7,13.3,0.157,10,0.1,1.02
,10:15:09,4,3600,279.7,1.08,13.3,7,13.3,0.156,10,0.1,1.01
,10:15:10,4,3600,280.7,1.08,13.3,7,13.3,0.155,10,0.1,1
,10:15:11,4,3600,281.7,1.07,13.3,7,13.3,0.154,10,0.1,1
,10:15:12,4,3600,282.7,1.06,13.3,7,13.3,0.154,10,0.1,1
,10:15:13,4,3600,283.7,1.06,13.3,7,13.3,0.154,10,0.1,1
,10:15:14,4,3600,284.7,1.07,13.3,7,13.3,0.16,10,0.1,1
,10:15:15,4,3600,285.7,1.07,13.3,7,13.3,0.155,10,0.1,1
,10:15:16,4,3600,286.7,1.08,13.3,7,13.3,0.155,10,0.1,1.01
,10:15:17,4,3600,287.7,1.08,13.3,7,13.3,0.155,10,0.1,1.01
,10:15:18,4,3600,288.7,1.08,13.3,7,13.3,0.155,10,0.1,1
,10:15:19,4,3600,289.7,1.07,13.3,7,13.3,0.155,10,0.1,1
,10:15:20,4,3600,290.7,1.07,13.3,7,13.3,0.155,10,0.2,1
,10:15:21,4,3600,291.7,1.07,13.3,7,13.3,0.149,10,0.1,1
,10:15:22,4,3600,292.7,1.07,13.3,7,13.3,0.155,10,0.1,1
,10:15:23,4,3600,293.7,1.07,13.3,7,13.3,0.154,10,0.1,1
,10:15:24,4,3600,294.7,1.07,13.3,7,13.3,0.154,10,0.2,1
,10:15:25,4,3600,295.7,1.07,13.3,7,13.3,0.154,10,0.1,1
,10:15:26,4,3600,296.7,1.07,13.3,7,13.3,0.149,10,0.1,1
,10:15:27,4,3600,297.7,1.07,13.3,7,13.3,0.149,10,0.1,1
,10:15:28,4,3600,298.7,1.07,13.3,7,13.3,0.144,10,0.1,1
,10:15:29,4,3600,299.7,1.06,13.3,7,13.3,0.143,10,0.1,1
,10:15:30,4,3600,300.7,1.06,13.3,7,13.2,0.147,10,0.1,0.99
,10:15:31,4,3600,301.7,1.05,13.3,7,13.2,0.157,10,0.1,0.98
,10:15:32,4,3600,302.7,1.04,13.3,6,13.2,0.163,10,0.2,0.97
,10:15:33,4,3600,303.7,1.04,13.3,6,13.2,0.163,10,0.1,0.98
,10:15:34,4,3600,304.7,1.05,13.3,6,13.2,0.164,10,0.1,0.98
,10:15:35,4,3600,305.7,1.06,13.3,7,13.2,0.159,10,0.1,0.99
,10:15:36,4,3600,306.7,1.06,13.3,7,13.2,0.16,10,0.1,1
,10:15:37,4,3600,307.7,1.07,13.3,7,13.2,0.161,10,0.1,1
,10:15:38,4,3600,308.7,1.07,13.3,7,13.2,0.161,10,0.1,1
,10:15:39,4,3600,309.7,1.07,13.3,7,13.2,0.161,10,0.1,1
,10:15:40,4,3600,310.7,1.07,13.3,7,13.2,0.155,10,0.1,1
,10:15:41,4,3600,311.7,1.07,13.3,7,13.2,0.149,10,0.1,1
,10:15:42,4,3600,312.7,1.07,13.3,7,13.2,0.149,10,0.1,1
,10:15:43,4,3600,313.7,1.07,13.3,7,13.2,0.149,10,0.1,1
,10:15:44,4,3600,314.7,1.07,13.3,7,13.2,0.155,10,0.1,1
,10:15:45,4,3600,315.7,1.07,13.3,7,13.2,0.155,10,0.1,1
,10:15:46,4,3600,316.7,1.08,13.3,7,13.2,0.155,10,0.1,1.01
,10:15:47,4,3600,317.7,1.08,13.3,7,13.2,0.155,10,0.1,1.01
,10:15:48,4,3600,318.7,1.07,13.3,7,13.1,0.16,10,0.1,1
,10:15:49,4,3600,319.7,1.06,13.3,7,13.1,0.159,10,0.1,0.99
,10:15:50,4,3600,320.7,1.06,13.3,7,13.1,0.154,10,0.1,1
,10:15:51,4,3600,321.7,1.07,13.3,7,13.1,0.155,10,0.1,1
,10:15:52,4,3600,322.7,1.07,13.3,7,13.1,0.155,10,0.1,1
,10:15:53,4,3600,323.7,1.07,13.3,7,13.1,0.161,10,0.2,1
,10:15:54,4,3600,324.7,1.07,13.3,7,13.1,0.161,10,0.1,1
,10:15:55,4,3600,325.7,1.08,13.3,7,13.1,0.155,10,0.1,1.01
,10:15:56,4,3600,326.7,1.07,13.3,7,13.1,0.149,10,0.2,1
,10:15:57,4,3600,327.7,1.07,13.3,7,13.1,0.149,10,0.1,1
,10:15:58,4,3600,328.7,1.07,13.3,7,13.1,0.149,10,0.1,1
,10:15:59,4,3600,329.7,1.06,13.3,7,13.1,0.148,10,0.1,0.99
,10:16:00,4,3600,330.7,1.05,13.3,7,13.1,0.152,10,0.1,0.99
,10:16:01,4,3600,331.7,1.05,13.3,7,13.1,0.157,10,0.1,0.98
,10:16:02,4,3600,332.7,1.05,13.3,6,13.1,0.164,10,0.1,0.98
,10:16:03,4,3600,333.7,1.05,13.3,7,13,0.158,10,0.1,0.99
,10:16:04,4,3600,334.7,1.06,13.3,7,13,0.159,10,0.1,0.99
,10:16:05,4,3600,335.7,1.07,13.3,7,13,0.154,10,0.1,1
,10:16:06,4,3600,336.7,1.07,13.3,7,13,0.161,10,0.1,1
,10:16:07,4,3600,337.7,1.07,13.3,7,13,0.161,10,0.1,1
,10:16:08,4,3600,338.7,1.07,13.3,7,13,0.161,10,0.1,1
,10:16:09,4,3600,339.7,1.08,13.3,7,13,0.161,10,0.1,1.01
,10:16:10,4,3600,340.7,1.08,13.3,7,13,0.161,10,0.1,1.01
,10:16:11,4,3600,341.7,1.08,13.3,7,13,0.161,10,0.1,1.01
,10:16:12,4,3600,342.7,1.08,13.3,7,13,0.155,10,0.1,1.01
,10:16:13,4,3600,343.7,1.08,13.3,7,13,0.161,10,0.1,1.01
,10:16:14,4,3600,344.7,1.08,13.3,7,12.9,0.156,10,0.1,1.01
,10:16:15,4,3600,345.7,1.08,13.3,7,12.9,0.156,10,0.1,1.01
,10:16:16,4,3600,346.7,1.08,13.3,7,12.9,0.15,10,0.1,1.01
,10:16:17,4,3600,347.7,1.08,13.3,7,12.9,0.15,10,0.1,1.01
,10:16:18,4,3600,348.7,1.08,13.3,7,12.9,0.15,10,0.1,1.01
,10:16:19,4,3600,349.7,1.08,13.3,7,12.9,0.156,10,0.1,1.01
,10:16:20,4,3600,350.7,1.08,13.3,7,12.9,0.156,10,0.1,1.01
,10:16:21,4,3600,351.7,1.08,13.3,7,12.9,0.156,10,0.1,1.01
,10:16:22,4,3600,352.7,1.09,13.3,7,12.9,0.157,10,0.1,1.02
,10:16:23,4,3600,353.7,1.08,13.3,7,12.9,0.156,10,0.1,1.01
,10:16:24,4,3600,354.7,1.08,13.3,7,12.9,0.162,10,0.1,1.01
,10:16:25,4,3600,355.7,1.08,13.3,7,12.9,0.162,10,0.1,1.01
,10:16:26,4,3600,356.7,1.08,13.3,7,12.9,0.162,10,0.1,1.01
,10:16:27,4,3600,357.7,1.08,13.3,7,12.8,0.162,10,0.1,1.01
,10:16:28,4,3600,358.7,1.08,13.3,7,12.8,0.162,10,0.1,1.01
,10:16:29,4,3600,359.7,1.08,13.3,7,12.8,0.162,10,0.1,1.01
,10:16:30,4,3600,360.7,1.08,13.3,7,12.8,0.162,10,0.2,1.01
,10:16:31,4,3600,361.7,1.09,13.3,7,12.8,0.163,10,0.1,1.02
,10:16:32,4,3600,362.7,1.09,13.3,7,12.8,0.163,10,0.1,1.02
,10:16:33,4,3600,363.7,1.09,13.3,7,12.8,0.164,10,0.2,1.02
,10:16:34,4,3600,364.7,1.1,13.3,7,12.8,0.164,10,0.1,1.03
,10:16:35,4,3600,365.7,1.1,13.3,7,12.8,0.165,10,0.1,1.03
