Data file,,PRELIM_SORONA_DRY_001.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,17/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,PTT,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 25,,,,,,,,,,,,
Test started at 16:28:33 on 17/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,prelim_sorona_dry_001-h001.tsv,,,,,,,,,,
,16:31:08,5,10790,154.9,10.2,13.3,25,21,0.415,10,49.9,9.85
,16:31:09,5,10790,155.9,10.2,13.3,25,21,0.415,10,49.9,9.85
,16:31:10,5,10790,156.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:31:11,5,10790,157.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:31:12,5,10790,158.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:31:13,5,10790,159.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:31:14,5,10790,160.9,10.2,13.3,25,21,0.415,10,49.9,9.85
,16:31:15,5,10790,161.9,10.2,13.3,25,21,0.415,10,49.9,9.85
,16:31:16,5,10790,162.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:31:17,5,10790,163.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:31:18,5,10790,164.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:31:19,5,10790,165.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:31:20,5,10790,166.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:31:21,5,10790,167.9,10.2,13.3,25,21,0.41,10,49.8,9.85
,16:31:22,5,10790,168.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:31:23,5,10790,169.9,10.2,13.3,25,21,0.414,10,49.9,9.85
,16:31:24,5,10790,170.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:31:25,5,10790,171.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:31:26,5,10790,172.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:31:27,5,10790,173.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:31:28,5,10790,174.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:31:29,5,10790,175.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:31:30,5,10790,176.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:31:31,5,10790,177.9,10.2,13.3,25,22,0.402,10,49.9,9.85
,16:31:32,5,10790,178.9,10.2,13.3,25,22,0.402,10,49.9,9.85
,16:31:33,5,10790,179.9,10.2,13.3,26,22,0.398,10,49.9,9.85
,16:31:34,5,10790,180.9,10.2,13.3,25,22,0.402,10,49.9,9.85
,16:31:35,5,10790,181.9,10.2,13.3,25,22,0.402,10,49.9,9.85
,16:31:36,5,10790,182.9,10.2,13.3,25,22,0.402,10,49.9,9.85
,16:31:37,5,10790,183.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:31:38,5,10790,184.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:31:39,5,10790,185.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:31:40,5,10790,186.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:31:41,5,10790,187.9,10.2,13.3,25,21,0.415,10,49.9,9.85
,16:31:42,5,10790,188.9,10.2,13.3,25,21,0.415,10,49.9,9.85
,16:31:43,5,10790,189.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:31:44,5,10790,190.9,10.2,13.3,25,21,0.406,10,49.9,9.85
,16:31:45,5,10790,191.9,10.19,13.3,25,21,0.41,10,49.9,9.84
,16:31:46,5,10790,192.9,10.17,13.3,25,21,0.409,10,49.9,9.82
,16:31:47,5,10790,193.9,10.17,13.3,25,21,0.413,10,49.9,9.82
,16:31:48,5,10790,194.9,10.18,13.3,25,22,0.414,10,49.9,9.83
,16:31:49,5,10790,195.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:31:50,5,10790,196.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:31:51,5,10790,197.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:31:52,5,10790,198.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:31:53,5,10790,199.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:31:54,5,10790,200.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:31:55,5,10790,201.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:31:56,5,10790,202.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:31:57,5,10790,203.9,10.2,13.3,25,22,0.415,10,49.9,9.85
,16:31:58,5,10790,204.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:31:59,5,10790,205.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:00,5,10790,206.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:01,5,10790,207.9,10.2,13.3,25,22,0.415,10,49.9,9.85
,16:32:02,5,10790,208.9,10.2,13.3,25,22,0.415,10,49.9,9.85
,16:32:03,5,10790,209.9,10.2,13.3,25,22,0.415,10,49.9,9.85
,16:32:04,5,10790,210.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:05,5,10790,211.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:06,5,10790,212.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:07,5,10790,213.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:32:08,5,10790,214.9,10.2,13.3,25,22,0.414,10,49.9,9.85
,16:32:09,5,10790,215.9,10.2,13.3,25,22,0.41,10,49.9,9.85
